Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,7, 266520142, 1,60,0.015959739685058594, 3.831751585006714, 40, 49, 40, 48, 14, 5985
2,12345678,7, 1122602228, 1,60,0.02091240882873535, 0.5206401348114014, 61, 75, 61, 76, 13, 712
3,12345678,7, 1848264218, 1,60,0.013953924179077148, 1.902864694595337, 43, 55, 43, 54, 12, 2242
4,12345678,7, 220300731, 1,60,0.04986858367919922, 0.4149444103240967, 50, 59, 50, 59, 40, 649
5,12345678,7, 1149347706, 1,60,0.019946813583374023, 0.13361072540283203, 52, 62, 52, 63, 5, 228
6,12345678,7, 1250071244, 1,60,0.4817330837249756, -1, 62, 76, -1, -1, 123, -1
7,12345678,7, 135163950, 1,60,0.07275104522705078, 49.35100531578064, 59, 75, 59, 75, 4, 51224
8,12345678,7, 232926758, 1,60,0.11868047714233398, 7.742131233215332, 36, 46, 36, 47, 91, 12413
9,12345678,7, 1951920628, 1,60,0.014962434768676758, 0.09967756271362305, 52, 66, 52, 66, 4, 112
10,12345678,7, 1166827208, 1,60,0.009973526000976562, 0.15561771392822266, 53, 63, 53, 64, 5, 193
11,12345678,7, 1015037947, 1,60,0.012964725494384766, 0.6353027820587158, 61, 79, 61, 79, 6, 815
12,12345678,7, 321504034, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
13,12345678,7, 1644530398, 1,60,0.12370467185974121, 4.296509742736816, 51, 65, 51, 65, 95, 7008
15,12345678,7, 1211794136, 1,60,0.061859846115112305, 3.946455717086792, 52, 67, 52, 68, 20, 4053
17,12345678,7, 1952195049, 1,60,0.010972738265991211, 0.21838092803955078, 57, 81, 57, 81, 4, 206
18,12345678,7, 52072689, 1,60,0.03487515449523926, 0.378023624420166, 42, 51, 42, 51, 21, 609
19,12345678,7, 196822703, 1,60,0.008948564529418945, 0.18648600578308105, 49, 64, 49, 64, 5, 245
22,12345678,7, 416746009, 1,60,0.008951187133789062, 0.09879136085510254, 57, 68, 57, 68, 6, 129
23,12345678,7, 1533194793, 1,60,0.004984378814697266, 0.13065266609191895, 51, 64, 51, 64, 3, 154
24,12345678,7, 1998718019, 1,60,0.07378101348876953, 3.7320120334625244, 55, 69, 55, 68, 18, 4428
25,12345678,7, 1541157214, 1,60,12.303129196166992, -1, 59, 77, -1, -1, 2859, -1
27,12345678,7, 225155734, 1,60,0.009974956512451172, 0.0968325138092041, 37, 46, 37, 46, 2, 94
28,12345678,7, 423105278, 1,60,0.006960630416870117, 0.09973430633544922, 48, 60, 48, 60, 5, 142
29,12345678,7, 1200789250, 1,60,0.05193018913269043, 0.2623915672302246, 62, 74, 62, 74, 18, 357
30,12345678,7, 441914009, 1,60,0.2832467555999756, 15.52640175819397, 53, 69, 53, 69, 22, 13213

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.4849041779836019, 96.66666666666667%, 51.93103448275862 to 64.93103448275862, 1.0
ODA-queue, 3.2991751273473104, 90.0%, 51.074074074074076 to 63.925925925925924, 6.803767171209812
