Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,2, 1264968722, 2,60,0.530580997467041, 3.1126904487609863, 1143, 1726, 1143, 1726, 1, 1529
2,12345678,2, 1694915420, 2,60,0.6831324100494385, 4.98766303062439, 1647, 2447, 1647, 2447, 1, 1526
3,12345678,2, 661390653, 2,60,0.04493355751037598, 0.23435521125793457, 369, 572, 369, 572, 1, 323
4,12345678,2, 343515218, 2,60,0.01894974708557129, 0.06582474708557129, 218, 335, 218, 335, 1, 163
5,12345678,2, 667620417, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,2, 1014706143, 2,60,0.05787825584411621, 0.4049046039581299, 396, 620, 396, 620, 1, 417
7,12345678,2, 1538861486, 2,60,0.23537111282348633, 1.5040113925933838, 902, 1368, 902, 1368, 1, 839
8,12345678,2, 1500401463, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
9,12345678,2, 737558993, 2,60,0.6901566982269287, 6.468736886978149, 1245, 1906, 1245, 1906, 1, 1829
10,12345678,2, 853046722, 2,60,0.48871827125549316, 4.389237880706787, 1204, 1855, 1204, 1855, 1, 1420
11,12345678,2, 555642419, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,2, 158299772, 2,60,0.12170767784118652, 0.5535182952880859, 643, 1006, 643, 1006, 1, 516
13,12345678,2, 762583918, 2,60,0.33504819869995117, 2.856393575668335, 1063, 1597, 1063, 1597, 1, 1162
14,12345678,2, 1689243588, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
15,12345678,2, 1766929486, 2,60,0.34606027603149414, 3.1136703491210938, 891, 1331, 891, 1331, 1, 1297
16,12345678,2, 1630800202, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
17,12345678,2, 531281740, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,2, 1094072260, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,2, 1199890365, 2,60,1.072077751159668, 7.766266584396362, 1519, 2280, 1519, 2280, 1, 2346
20,12345678,2, 872081745, 2,60,0.506650447845459, 4.523927211761475, 1129, 1711, 1129, 1711, 1, 1507
21,12345678,2, 1286536977, 2,60,0.5545225143432617, 5.021604537963867, 1219, 1827, 1219, 1827, 1, 1572
22,12345678,2, 789188775, 2,60,1.622687578201294, 1.2177186012268066, 425, 677, 425, 677, 4, 2557
23,12345678,2, 2084780456, 2,60,0.246307373046875, 1.2107973098754883, 983, 1488, 983, 1488, 1, 765
24,12345678,2, 1657146676, 2,60,0.5694847106933594, 4.489964962005615, 1397, 2128, 1397, 2128, 1, 1426
25,12345678,2, 1049310031, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,2, 610803308, 2,60,0.8237893581390381, 4.489990472793579, 1886, 2833, 1886, 2833, 1, 1509
27,12345678,2, 503758560, 2,60,0.9245254993438721, 6.0269083976745605, 1949, 2914, 1949, 2914, 1, 1717
28,12345678,2, 1546852892, 2,60,0.6073400974273682, 4.554822206497192, 1360, 2041, 1360, 2041, 1, 1596
29,12345678,2, 1867632481, 2,60,0.5146217346191406, 4.562767744064331, 1038, 1569, 1038, 1569, 1, 1540
30,12345678,2, 2080992123, 2,60,0.14661169052124023, 1.187788963317871, 710, 1056, 710, 1056, 1, 734

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.371371865272522, 73.33333333333333%, 1060.7272727272727 to 1603.9545454545455, 1.0
ODA-queue, 2.4247854471206667, 73.33333333333333%, 1060.7272727272727 to 1603.9545454545455, 6.529265337160903
