Algorithm,Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,Runtime (secs),Success,Min SOC,Max SOC,CT Nodes,ODA* Nodes
ODA*,Circular,12345678, 0,10, 1670793853, 8.763040781021118,1, 1230, 1230,-, 3642
CBS,Circular,12345678, 0,10, 1956026912,0.642289400100708,1, 1165, 1165, 6,-
ODA*,Circular,12345678, 0,10, 1956026912, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 1102971010,0.3999979496002197,1, 1480, 1480, 5,-
ODA*,Circular,12345678, 0,10, 1102971010, 11.570113182067871,1, 1480, 1480,-, 4488
CBS,Circular,12345678, 0,10, 1424150033,5.8419189453125,1, 1235, 1235, 5,-
ODA*,Circular,12345678, 0,10, 1424150033, 8.336920976638794,1, 1235, 1235,-, 3657
CBS,Circular,12345678, 0,10, 726632933,0.16655445098876953,1, 1000, 1000, 3,-
ODA*,Circular,12345678, 0,10, 726632933, 6.026562213897705,1, 1000, 1000,-, 2777
CBS,Circular,12345678, 0,10, 1569386021,0.7492496967315674,1, 1854, 1854, 9,-
ODA*,Circular,12345678, 0,10, 1569386021, 8.070232629776001,1, 1854, 1854,-, 3849
CBS,Circular,12345678, 0,10, 1179829394,0.5160856246948242,1, 1640, 1640, 6,-
ODA*,Circular,12345678, 0,10, 1179829394, 10.060519456863403,1, 1640, 1640,-, 4141
CBS,Circular,12345678, 0,10, 2129729487,-1,0,-,-,-,-
ODA*,Circular,12345678, 0,10, 2129729487, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 1660011740,11.452636957168579,1, 2124, 2124, 133,-
ODA*,Circular,12345678, 0,10, 1660011740, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 650546657,42.47663164138794,1, 1337, 1337, 138,-
ODA*,Circular,12345678, 0,10, 650546657, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 402030349,0.4636225700378418,1, 1483, 1483, 6,-
ODA*,Circular,12345678, 0,10, 402030349, 9.887197732925415,1, 1483, 1483,-, 4199
CBS,Circular,12345678, 0,10, 1406534404,5.068089246749878,1, 1223, 1223, 4,-
ODA*,Circular,12345678, 0,10, 1406534404, 15.224844455718994,1, 1223, 1223,-, 4857
CBS,Circular,12345678, 0,10, 1413492760,10.945233583450317,1, 1530, 1530, 50,-
ODA*,Circular,12345678, 0,10, 1413492760, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 1461542114,1.2309412956237793,1, 1971, 1971, 9,-
ODA*,Circular,12345678, 0,10, 1461542114, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 1596527034,0.5460155010223389,1, 1584, 1584, 11,-
ODA*,Circular,12345678, 0,10, 1596527034, 4.742149114608765,1, 1584, 1584,-, 3162
CBS,Circular,12345678, 0,10, 794634814,0.409501314163208,1, 2022, 2022, 5,-
ODA*,Circular,12345678, 0,10, 794634814, 7.295225620269775,1, 2022, 2022,-, 3926
CBS,Circular,12345678, 0,10, 1759467773,-1,0,-,-,-,-
ODA*,Circular,12345678, 0,10, 1759467773, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 819667323,0.5645656585693359,1, 1544, 1544, 7,-
ODA*,Circular,12345678, 0,10, 819667323, 8.789807558059692,1, 1544, 1544,-, 3831
CBS,Circular,12345678, 0,10, 1591383704,0.18392038345336914,1, 1400, 1400, 3,-
ODA*,Circular,12345678, 0,10, 1591383704, 5.812431812286377,1, 1400, 1400,-, 3322
CBS,Circular,12345678, 0,10, 1620799143,21.317750692367554,1, 2569, 2569, 17,-
ODA*,Circular,12345678, 0,10, 1620799143, 4.6560704708099365,1, 2569, 2569,-, 3590
CBS,Circular,12345678, 0,10, 1000421136,0.6494929790496826,1, 1810, 1810, 7,-
ODA*,Circular,12345678, 0,10, 1000421136, 12.024706840515137,1, 1810, 1810,-, 4757
CBS,Circular,12345678, 0,10, 1259493612,0.989997386932373,1, 2108, 2108, 11,-
ODA*,Circular,12345678, 0,10, 1259493612, 6.813862562179565,1, 2108, 2108,-, 4292
CBS,Circular,12345678, 0,10, 487199804,0.39165687561035156,1, 1354, 1354, 6,-
ODA*,Circular,12345678, 0,10, 487199804, 7.729628324508667,1, 1354, 1354,-, 3796
CBS,Circular,12345678, 0,10, 187657928,2.639244794845581,1, 1626, 1626, 56,-
ODA*,Circular,12345678, 0,10, 187657928, 7.1679792404174805,1, 1626, 1626,-, 3782
CBS,Circular,12345678, 0,10, 1091243524,0.46819639205932617,1, 1532, 1532, 5,-
ODA*,Circular,12345678, 0,10, 1091243524, 8.551360607147217,1, 1532, 1532,-, 3922
CBS,Circular,12345678, 0,10, 1190429040,0.544957160949707,1, 1720, 1720, 6,-
ODA*,Circular,12345678, 0,10, 1190429040, 8.562123537063599,1, 1720, 1720,-, 4283
CBS,Circular,12345678, 0,10, 1538571061,0.25275230407714844,1, 1078, 1078, 5,-
ODA*,Circular,12345678, 0,10, 1538571061, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 1904673722,31.794800996780396,1, 1038, 1038, 87,-
ODA*,Circular,12345678, 0,10, 1904673722, 12.640170335769653,1, 1038, 1038,-, 4507
CBS,Circular,12345678, 0,10, 1258829452,-1,0,-,-,-,-
ODA*,Circular,12345678, 0,10, 1258829452, -1,0,-,-,-,-
CBS,Circular,12345678, 0,10, 516519009,7.851180553436279,1, 1656, 1656, 10,-
ODA*,Circular,12345678, 0,10, 516519009, 11.436721086502075,1, 1656, 1656,-, 4994
CBS,Open Map,12345678,0,10,266520142,0.005949736,1,46,46,4,-
ODA*,Open Map,12345678,0,10,266520142,0.469306707,1,46,46,-,490
CBS,Open Map,12345678,0,10,1267192108,0.014961243,1,61,61,7,-
ODA*,Open Map,12345678,0,10,1267192108,1.798582554,1,61,61,-,1792
CBS,Open Map,12345678,0,10,1244051389,0.011976957,1,60,60,7,-
ODA*,Open Map,12345678,0,10,1244051389,0.244870663,1,60,60,-,253
CBS,Open Map,12345678,0,10,639360760,0.015956402,1,48,48,10,-
ODA*,Open Map,12345678,0,10,639360760,11.01109362,1,48,48,-,11045
CBS,Open Map,12345678,0,10,2117357666,0.064826965,1,65,65,40,-
ODA*,Open Map,12345678,0,10,2117357666,-1,0,-,-,-,-1
CBS,Open Map,12345678,0,10,962996588,0.008975506,1,40,40,9,-
ODA*,Open Map,12345678,0,10,962996588,2.053389311,1,40,40,-,2152
CBS,Open Map,12345678,0,10,462397916,0.008975983,1,51,51,6,-
ODA*,Open Map,12345678,0,10,462397916,3.494618177,1,51,51,-,4035
CBS,Open Map,12345678,0,10,1512874431,0.07180953,1,63,63,40,-
ODA*,Open Map,12345678,0,10,1512874431,-1,0,-,-,-,-1
CBS,Open Map,12345678,0,10,1242539540,0.168625116,1,64,64,96,-
ODA*,Open Map,12345678,0,10,1242539540,12.82516527,1,64,64,-,13228
CBS,Open Map,12345678,0,10,383776522,0.002994061,1,50,50,2,-
ODA*,Open Map,12345678,0,10,383776522,0.950065851,1,50,50,-,938
CBS,Open Map,12345678,0,10,687646080,0.004989147,1,48,48,3,-
ODA*,Open Map,12345678,0,10,687646080,0.10366416,1,48,48,-,108
CBS,Open Map,12345678,0,10,1778773027,0.010011435,1,50,50,5,-
ODA*,Open Map,12345678,0,10,1778773027,5.75865531,1,50,50,-,6186
CBS,Open Map,12345678,0,10,1736826218,0.012964487,1,49,49,10,-
ODA*,Open Map,12345678,0,10,1736826218,28.35759115,1,49,49,-,27906
CBS,Open Map,12345678,0,10,624537405,0.015989542,1,43,43,9,-
ODA*,Open Map,12345678,0,10,624537405,1.981500626,1,43,43,-,2000
CBS,Open Map,12345678,0,10,2133605177,0.014902115,1,55,55,5,-
ODA*,Open Map,12345678,0,10,2133605177,0.267394066,1,55,55,-,281
CBS,Open Map,12345678,0,10,872834815,0.020451069,1,54,54,15,-
ODA*,Open Map,12345678,0,10,872834815,5.875540257,1,54,54,-,6483
CBS,Open Map,12345678,0,10,1487521963,0.057878017,1,52,52,47,-
ODA*,Open Map,12345678,0,10,1487521963,3.197846889,1,52,52,-,3183
CBS,Open Map,12345678,0,10,8838803,0.017904758,1,67,67,11,-
ODA*,Open Map,12345678,0,10,8838803,0.381037235,1,67,67,-,387
