Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Serial Time,ODA Queue Time
1,12345678,5, 1002330110, 2,5,0.14560914039611816,-1, 2.546820878982544
2,12345678,5, 1039156381, 2,5,0.000997304916381836,-1, 0.023935794830322266
3,12345678,5, 2134619836, 2,5,-1,-1, 3.5026440620422363
4,12345678,5, 2059919106, 2,5,0.14859890937805176,-1, -1
5,12345678,5, 2055345749, 2,5,0.008016586303710938,-1, 0.03240609169006348
6,12345678,5, 1811676779, 2,5,0.0030221939086914062,-1, 0.03385472297668457
7,12345678,5, 456370986, 2,5,0.007978677749633789,0.08876252174377441, 0.11768531799316406
8,12345678,5, 2067061722, 2,5,0.0049860477447509766,-1, 0.042896270751953125
9,12345678,5, 1887502260, 2,5,0.01995396614074707,-1, 0.07381129264831543
10,12345678,5, 503705437, 2,5,0.0029916763305664062,-1, 0.014984846115112305
11,12345678,5, 2035831540, 2,5,0.0009970664978027344,-1, 0.012968301773071289
12,12345678,5, 2065408828, 2,5,0.004001140594482422,-1, 0.04788541793823242
13,12345678,5, 1381460312, 2,5,0.0009963512420654297,-1, 0.02792525291442871
14,12345678,5, 286444921, 2,5,0.000986337661743164,-1, 0.027958154678344727
15,12345678,5, 1312796556, 2,5,0.08381366729736328,-1, 0.3444359302520752
16,12345678,5, 805233540, 2,5,0.002996683120727539,-1, 0.028934717178344727
17,12345678,5, 699995869, 2,5,0.010970354080200195,-1, 0.03789710998535156
18,12345678,5, 222832415, 2,5,0.08274531364440918,-1, 0.41954755783081055
19,12345678,5, 901929347, 2,5,0.545539379119873,-1, -1
20,12345678,5, 306048324, 2,5,0.545539379119873,-1, 0.020936250686645508
21,12345678,5, 1743380830, 2,5,0.01596546173095703,-1, 0.059860944747924805
22,12345678,5, 141127117, 2,5,0.009973526000976562,-1, 0.0498661994934082
23,12345678,5, 600560699, 2,5,0.002991914749145508,-1, 0.03396487236022949
24,12345678,5, 571138938, 2,5,0.08379220962524414,-1, 0.8562583923339844
25,12345678,5, 162627418, 2,5,0.004986763000488281,-1, 0.019946575164794922
26,12345678,5, 693344863, 2,5,0.0030460357666015625,-1, 0.04485940933227539
27,12345678,5, 386253941, 2,5,0.01894831657409668,-1, 0.18251252174377441
28,12345678,5, 2013997864, 2,5,0.01794910430908203,-1, 0.44331979751586914
29,12345678,5, 2019689348, 2,5,0.5477676391601562,-1, 0.48569226264953613
30,12345678,5, 1141589125, 2,5,0.15019512176513672,-1, 0.0339045524597168
31,12345678,5, 1880447251, 2,5,0.18949341773986816,-1, 1.101017713546753
32,12345678,5, 10115333, 2,5,0.0009975433349609375,-1, 0.030916690826416016
33,12345678,5, 601353227, 2,5,0.0329437255859375,-1, 0.48267507553100586
34,12345678,5, 1107623134, 2,5,0.002991199493408203,-1, 0.02487635612487793
35,12345678,5, 179652352, 2,5,0.002991914749145508,-1, 0.03789806365966797
36,12345678,5, 1785206220, 2,5,0.010970354080200195,-1, 0.1725449562072754
37,12345678,5, 4058691, 2,5,0.07183694839477539,-1, -1
38,12345678,5, 1357225089, 2,5,0.0029714107513427734,-1, 0.06379294395446777
39,12345678,5, 75154806, 2,5,0.05387449264526367,-1, 4.682687520980835
40,12345678,5, 974931273, 2,5,0.028040647506713867,-1, 0.2333376407623291
41,12345678,5, 863231615, 2,5,0.00897979736328125,-1, 0.33330559730529785
42,12345678,5, 1714241096, 2,5,0.0009741783142089844,-1, 0.013962745666503906
43,12345678,5, 657229859, 2,5,0.004044294357299805,-1, 0.14128637313842773
44,12345678,5, 1752472992, 2,5,0.007979631423950195,-1, 0.04487919807434082
45,12345678,5, 530323789, 2,5,0.027924060821533203,-1, 0.412402868270874
46,12345678,5, 1402475152, 2,5,-1,-1, -1
47,12345678,5, 1714802303, 2,5,0.010970354080200195,-1, 0.4643404483795166
48,12345678,5, 1197045539, 2,5,0.02992105484008789,-1, 0.2603027820587158
49,12345678,5, 2082989704, 2,5,0.008975505828857422,-1, 0.07275080680847168
50,12345678,5, 1496935890, 2,5,0.11066889762878418,-1, 0.027925968170166016

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.05076732635498047, 94.0%, 44.76 to 59.92, 28.597275830855477
ODA-serial, 0.0017752504348754882, 2.0%, 0.92 to 1.24, 1.0
ODA-queue, 0.36337234497070314, 92.0%, 43.54 to 58.66, 204.68793463283347
