Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,2,1222917164,0,300,0.210472345,1.297529936
2,12345678,2,389942972,0,300,0.10268116,0.749051094
3,12345678,2,1530737597,0,300,0.058824301,0.257279873
4,12345678,2,1522432060,0,300,0.037898064,0.348070145
5,12345678,2,1528401207,0,300,0.096738815,1.086155176
6,12345678,2,735988143,0,300,0.01894927,0.097738743
7,12345678,2,1514128548,0,300,0.093749046,1.0591681
8,12345678,2,1705770117,0,300,0.005992174,0.011970043
9,12345678,2,14747133,0,300,0.084756613,0.670230865
10,12345678,2,786009439,0,300,0.122639418,0.433840036
11,12345678,2,520709308,0,300,0.088740587,0.39095211
12,12345678,2,868505444,0,300,0.147605419,2.406511784
13,12345678,2,253651431,0,300,0.10473752,0.847722292
14,12345678,2,1821242798,0,300,0.390920162,0.617382765
15,12345678,2,201043158,0,300,0.084770918,0.204454899
16,12345678,2,2086069678,0,300,0.303188086,0.61196208
17,12345678,2,1587343684,0,300,0.063806772,0.744992018
18,12345678,2,2132298257,0,300,0.035889387,0.100735426
19,12345678,2,1682091381,0,300,0.062861919,0.436807394
20,12345678,2,1161669032,0,300,0.337098122,0.336101532
21,12345678,2,759816724,0,300,0.042891741,0.157578468
22,12345678,2,1199833016,0,300,0.173567057,0.225366592
23,12345678,2,94767900,0,300,1.026206732,11.22997069
24,12345678,2,1472024625,0,300,0.058844805,0.137657881
25,12345678,2,1794860104,0,300,0.058839083,0.260250092
26,12345678,2,1996700972,0,300,0.11369586,0.218447924
27,12345678,2,301120688,0,300,272.412307,1.750322342
28,12345678,2,1875084536,0,300,0.054881811,0.144557476
29,12345678,2,1012296908,0,300,0.09372282,1.042250156
30,12345678,2,1766209765,0,300,0.142591,0.349101543
31,12345678,2,1871804368,0,300,0.119709969,0.661229849
32,12345678,2,629946872,0,300,0.081783056,0.159571886
33,12345678,2,1901311360,0,300,0.026957512,0.098737478
34,12345678,2,537110061,0,300,0.122708082,1.798156023
35,12345678,2,1868803499,0,300,1.269603968,7.384311438
36,12345678,2,1859083664,0,300,0.031921148,0.148572445
37,12345678,2,16047933,0,300,0.107745647,1.03918767
38,12345678,2,2140449875,0,300,0.044879436,0.104707956
39,12345678,2,1812355049,0,300,0.09079361,0.839733362
40,12345678,2,1885156513,0,300,0.128630638,1.984728336
41,12345678,2,1283590087,0,300,0.029944181,0.163541794
42,12345678,2,1873967569,0,300,0.082777977,0.450793743
43,12345678,2,1373121984,0,300,0.032948256,0.066784859
44,12345678,2,1753893626,0,300,0.072815418,0.844682932
45,12345678,2,1642746601,0,300,0.01695466,0.135671377
46,12345678,2,1856861160,0,300,0.295211315,0.380980492
47,12345678,2,1051968802,0,300,0.052858114,0.217417955
48,12345678,2,143993353,0,300,0.137630224,1.064155102
49,12345678,2,423384149,0,300,0.082778931,0.242407084
50,12345678,2,1216281185,0,300,0.061780691,0.200465202
,,,,,,,
Algorithm, Average Run Time, Success Rate, Average Cost, Ratio ,,,
CCBS,5.590406017,100.00%, 923.62 to 923.62,6.048914137,,,
ODA-queue,0.924199929,100.00%, 923.62 to 923.62,1,,,
