Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,2, 1670793853, 0,300,0.012966394424438477, 0.0997319221496582
2,12345678,2, 28847271, 0,300,0.0349116325378418, 0.054825782775878906
3,12345678,2, 2035715587, 0,300,0.017953157424926758, 0.03294539451599121
4,12345678,2, 1956443925, 0,300,0.00897526741027832, 0.018950700759887695
5,12345678,2, 874774739, 0,300,0.09776926040649414, 0.14060115814208984
6,12345678,2, 920409079, 0,300,0.03187966346740723, 0.28623342514038086
7,12345678,2, 1977853038, 0,300,0.012966394424438477, 0.06587767601013184
8,12345678,2, 2070364940, 0,300,0.022939443588256836, 0.13866400718688965
9,12345678,2, 1911523318, 0,300,0.01997828483581543, 0.03690314292907715
10,12345678,2, 1134596139, 0,300,0.045844316482543945, 0.08078384399414062
11,12345678,2, 1095815598, 0,300,0.08371758460998535, 0.10076737403869629
12,12345678,2, 1384954360, 0,300,0.02895641326904297, 0.21239805221557617
13,12345678,2, 382482624, 0,300,0.018964767456054688, 0.18248224258422852
14,12345678,2, 449914435, 0,300,0.014016866683959961, 0.1345839500427246
15,12345678,2, 681654323, 0,300,0.010970592498779297, 0.021941423416137695
16,12345678,2, 340546919, 0,300,0.013963460922241211, 0.0997321605682373
17,12345678,2, 979850317, 0,300,0.042830705642700195, 0.23836374282836914
18,12345678,2, 1843600804, 0,300,0.10566186904907227, 0.17752456665039062
19,12345678,2, 637569403, 0,300,0.03591465950012207, 0.07278037071228027
20,12345678,2, 821331552, 0,300,0.0718080997467041, 0.07177519798278809
21,12345678,2, 774470434, 0,300,0.01499319076538086, 0.035871028900146484
22,12345678,2, 1197362979, 0,300,0.016955852508544922, 0.12765884399414062
23,12345678,2, 1832373191, 0,300,0.012964963912963867, 0.03390836715698242
24,12345678,2, 516407294, 0,300,0.05286097526550293, 0.0777890682220459
25,12345678,2, 1787707117, 0,300,0.053856849670410156, 0.05385470390319824
26,12345678,2, 908018320, 0,300,0.024937152862548828, 0.19345879554748535
27,12345678,2, 345797803, 0,300,0.016954660415649414, 0.04986715316772461
28,12345678,2, 1914087685, 0,300,0.02493119239807129, 0.0907590389251709
29,12345678,2, 539966825, 0,300,0.0019941329956054688, 0.006981372833251953
30,12345678,2, 328452496, 0,300,0.007978200912475586, 0.027957916259765625
31,12345678,2, 1782980170, 0,300,0.02792501449584961, 0.3001985549926758
32,12345678,2, 1591854961, 0,300,0.06583166122436523, 0.08579277992248535
33,12345678,2, 1200582005, 0,300,0.0069811344146728516, 0.013962507247924805
34,12345678,2, 2009276036, 0,300,0.019945859909057617, 0.13666820526123047
35,12345678,2, 1797362257, 0,300,0.01798868179321289, 0.09769940376281738
36,12345678,2, 823250782, 0,300,0.02895498275756836, 0.31612133979797363
37,12345678,2, 1027951165, 0,300,0.008979082107543945, 0.01694774627685547
38,12345678,2, 92254289, 0,300,0.01992321014404297, 0.22240376472473145
39,12345678,2, 1212697320, 0,300,0.07978582382202148, 0.20345473289489746
40,12345678,2, 1085523645, 0,300,0.007979154586791992, 0.013962984085083008
41,12345678,2, 1316569475, 0,300,0.028888940811157227, 0.08776545524597168
42,12345678,2, 1147027460, 0,300,0.08975982666015625, 0.12765860557556152
43,12345678,2, 243402535, 0,300,0.026928186416625977, 0.11967897415161133
44,12345678,2, 205773788, 0,300,0.2852597236633301, 1.9228031635284424
45,12345678,2, 1638435090, 0,300,0.02487921714782715, 0.11269712448120117
46,12345678,2, 1700119787, 0,300,0.02593255043029785, 0.3011918067932129
47,12345678,2, 1513487835, 0,300,0.010973930358886719, 0.04085421562194824
48,12345678,2, 430581271, 0,300,0.0349125862121582, 0.2901945114135742
49,12345678,2, 717907285, 0,300,0.005951881408691406, 0.00900721549987793
50,12345678,2, 790399446, 0,300,0.010009288787841797, 0.05581474304199219

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.03578413486480713, 100.0%, 341.58 to 341.58, 1.0
ODA-queue, 0.1488170051574707, 100.0%, 341.58 to 341.58, 4.1587425745991355
