Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,15, 266520142, 0,60,0.05681443214416504, -1
2,12345678,15, 473803591, 0,60,0.5864319801330566, -1
3,12345678,15, 727307794, 0,60,15.739879369735718, -1
4,12345678,15, 1558913900, 0,60,-1, -1
5,12345678,15, 841867886, 0,60,0.017940521240234375, 0.5574836730957031
6,12345678,15, 1610810227, 0,60,0.043904781341552734, -1
7,12345678,15, 1437559719, 0,60,-1, -1
8,12345678,15, 637909176, 0,60,1.0352320671081543, -1
9,12345678,15, 1189140295, 0,60,0.2602963447570801, -1
10,12345678,15, 1236130001, 0,60,-1, -1
11,12345678,15, 1373463659, 0,60,0.028924226760864258, 46.36400032043457
12,12345678,15, 2028795792, 0,60,0.0678253173828125, -1
13,12345678,15, 1556374225, 0,60,0.010970830917358398, -1
14,12345678,15, 126321294, 0,60,4.153892993927002, -1
15,12345678,15, 1647194723, 0,60,0.03890347480773926, 2.7805309295654297
16,12345678,15, 1968966612, 0,60,-1, -1
17,12345678,15, 85742287, 0,60,0.31615495681762695, -1
18,12345678,15, 1317683295, 0,60,-1, -1
19,12345678,15, 469223877, 0,60,-1, -1
20,12345678,15, 110831638, 0,60,0.10072875022888184, -1
21,12345678,15, 770629561, 0,60,0.485675573348999, 59.091989040374756
22,12345678,15, 1604724462, 0,60,4.8878984451293945, -1
23,12345678,15, 1033368195, 0,60,0.028922557830810547, 11.361619234085083
24,12345678,15, 981078760, 0,60,0.5136287212371826, -1
25,12345678,15, 1534502973, 0,60,-1, -1
26,12345678,15, 1196581807, 0,60,-1, -1
27,12345678,15, 1793711405, 0,60,-1, -1
28,12345678,15, 1307193205, 0,60,6.611321449279785, -1
29,12345678,15, 626510166, 0,60,0.48769545555114746, -1
30,12345678,15, 1901715478, 0,60,12.54844331741333, -1
31,12345678,15, 230212812, 0,60,3.234351634979248, -1
32,12345678,15, 1122238523, 0,60,0.532522439956665, -1
33,12345678,15, 1656169626, 0,60,7.672979116439819, -1
34,12345678,15, 1558265487, 0,60,0.03388381004333496, -1
35,12345678,15, 1271785512, 0,60,0.0648345947265625, -1
36,12345678,15, 469220239, 0,60,1.5777828693389893, -1
37,12345678,15, 995713882, 0,60,0.38994789123535156, -1
38,12345678,15, 1835550750, 0,60,0.10372304916381836, 21.581321477890015
39,12345678,15, 128484219, 0,60,0.021964550018310547, 0.7349765300750732
40,12345678,15, 711529228, 0,60,-1, -1
41,12345678,15, 2008618891, 0,60,0.1306157112121582, -1
42,12345678,15, 337878627, 0,60,0.2782566547393799, -1
44,12345678,15, 1793245525, 0,60,0.17154145240783691, -1
45,12345678,15, 1712911518, 0,60,18.395779848098755, -1
46,12345678,15, 942887134, 0,60,7.666465759277344, -1
47,12345678,15, 1256965801, 0,60,0.34108805656433105, -1
48,12345678,15, 765437435, 0,60,24.29304051399231, -1
49,12345678,15, 1147757037, 0,60,-1, -1
50,12345678,15, 538746056, 0,60,0.03492140769958496, 7.1738035678863525

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 2.259922409057617, 78.0%, 62.14 to 62.14, 1.0
ODA-queue, 3.7257141494750976, 18.0%, 13.68 to 13.68, 1.6486026841198997
