Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Serial Time,ODA Queue Time
1,12345678,5, 266520142, 1,5,0.0039899349212646484,-1, 0.020943403244018555
2,12345678,5, 734909180, 1,5,0.005984067916870117,-1, 0.06083798408508301
3,12345678,5, 2069101159, 1,5,0.021941184997558594,-1, 1.9112272262573242
4,12345678,5, 1538018909, 1,5,0.0070018768310546875,-1, 0.07579994201660156
5,12345678,5, 984284364, 1,5,0.0019948482513427734,-1, 0.021941661834716797
6,12345678,5, 1311733683, 1,5,0.0019943714141845703,-1, 0.02593064308166504
7,12345678,5, 154003961, 1,5,0.008975982666015625,0.03590989112854004, 0.03490638732910156
8,12345678,5, 2044142643, 1,5,0.002993345260620117,-1, 0.04188728332519531
9,12345678,5, 905040667, 1,5,0.0009984970092773438,-1, 0.02643418312072754
10,12345678,5, 2105007495, 1,5,0.0019402503967285156,-1, 0.02393627166748047
11,12345678,5, 1384239710, 1,5,0.001993417739868164,-1, 0.017986059188842773
12,12345678,5, 526969566, 1,5,0.00393366813659668,-1, 0.04697895050048828
13,12345678,5, 639866556, 1,5,0.0009968280792236328,-1, 0.015956878662109375
14,12345678,5, 656399422, 1,5,0.004987955093383789,-1, 0.10342717170715332
15,12345678,5, 1315826947, 1,5,0.43583250045776367,-1, 0.3450782299041748
16,12345678,5, 1764853890, 1,5,0.0009963512420654297,-1, 0.01695561408996582
17,12345678,5, 1956356350, 1,5,0.019946575164794922,-1, 0.07985734939575195
18,12345678,5, 2091540009, 1,5,0.0019948482513427734,-1, 0.023936033248901367
19,12345678,5, 1622356054, 1,5,0.0029909610748291016,-1, 0.04089093208312988
20,12345678,5, 1167383171, 1,5,0.6755735874176025,-1, 0.0668478012084961
21,12345678,5, 1439447504, 1,5,0.001993894577026367,-1, 0.023934602737426758
22,12345678,5, 327827485, 1,5,0.0030281543731689453,-1, 0.03390979766845703
23,12345678,5, 1926321005, 1,5,0.005983829498291016,-1, 0.049866437911987305
24,12345678,5, 41996642, 1,5,0.003989219665527344,-1, 0.018949270248413086
25,12345678,5, 1168000592, 1,5,0.004075765609741211,-1, 0.13518786430358887
26,12345678,5, 1537239467, 1,5,0.383514404296875,-1, 0.8307435512542725
27,12345678,5, 1133355675, 1,5,0.004985332489013672,-1, 0.03294825553894043
28,12345678,5, 199937437, 1,5,0.004044771194458008,-1, 0.13222193717956543
29,12345678,5, 435591767, 1,5,0.004044771194458008,-1, 0.05585789680480957
30,12345678,5, 257406216, 1,5,0.0019948482513427734,0.015510797500610352, 0.015042781829833984
31,12345678,5, 2129166466, 1,5,0.0049896240234375,-1, 0.11676192283630371
32,12345678,5, 1663924441, 1,5,0.003024578094482422,-1, 0.033898115158081055
33,12345678,5, 1924972353, 1,5,0.001994609832763672,-1, 0.017959117889404297
34,12345678,5, 1869964054, 1,5,0.001993894577026367,-1, 0.024931907653808594
35,12345678,5, 895252362, 1,5,0.008939027786254883,-1, 0.664257287979126
36,12345678,5, 1462862916, 1,5,0.003325939178466797,-1, 0.025468111038208008
37,12345678,5, 2005008217, 1,5,0.0019998550415039062,-1, 0.020943880081176758
38,12345678,5, 1764094281, 1,5,0.007977008819580078,-1, 0.054856300354003906
39,12345678,5, 296705214, 1,5,0.0009965896606445312,0.02393651008605957, 0.020943880081176758
40,12345678,5, 351357056, 1,5,0.01795172691345215,-1, 0.061835289001464844
41,12345678,5, 1629115965, 1,5,0.0049839019775390625,-1, 0.021939992904663086
42,12345678,5, 852398928, 1,5,0.09674239158630371,-1, 2.430687189102173
43,12345678,5, 553392170, 1,5,0.02094268798828125,-1, 0.22923660278320312
44,12345678,5, 1869932830, 1,5,0.010970592498779297,-1, 0.13463973999023438
45,12345678,5, 1947343276, 1,5,0.0009965896606445312,-1, 0.03989410400390625
46,12345678,5, 1565217319, 1,5,0.0019941329956054688,-1, 0.03090071678161621
47,12345678,5, 1137531278, 1,5,0.0019936561584472656,-1, 0.020395994186401367
48,12345678,5, 1379279946, 1,5,0.001995086669921875,-1, 0.017951011657714844
49,12345678,5, 1266448182, 1,5,1.8882825374603271,-1, -1
50,12345678,5, 1554604431, 1,5,0.010970592498779297,-1, 0.03191399574279785

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.07427472591400147, 98.0%, 33.36 to 42.92, 49.281772133476345
ODA-serial, 0.0015071439743041992, 6.0%, 1.46 to 2.02, 1.0
ODA-queue, 0.16659675121307374, 98.0%, 32.64 to 42.04, 110.53804683124994
