Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,1951124391,2, 12814617, 0,60,0.007978439331054688, 0.01694631576538086
2,1951124391,2, 161148127, 0,60,0.0019948482513427734, 0.007030487060546875
3,1951124391,2, 717251772, 0,60,0.006984233856201172, 0.012961864471435547
4,1951124391,2, 946724642, 0,60,-1, 32.615050077438354
5,1951124391,2, 2128862496, 0,60,0.003989458084106445, 0.00698089599609375
6,1951124391,2, 1712207633, 0,60,0.013965129852294922, 0.017951011657714844
7,1951124391,2, 46210073, 0,60,0.006982564926147461, 0.02088642120361328
8,1951124391,2, 185032593, 0,60,0.0019948482513427734, 0.0029914379119873047
9,1951124391,2, 1376058881, 0,60,0.004987001419067383, 0.030883073806762695
10,1951124391,2, 1389567060, 0,60,0.005940437316894531, 0.010964393615722656
11,1951124391,2, 1125085215, 0,60,0.0030133724212646484, 0.012967586517333984
13,1951124391,2, 911573025, 0,60,0.0009970664978027344, 0.001994609832763672
14,1951124391,2, 1653229588, 0,60,6.84170389175415, 0.32413458824157715
15,1951124391,2, 2069920183, 0,60,0.11164474487304688, 0.041890621185302734
16,1951124391,2, 432141384, 0,60,0.0039899349212646484, 0.013962268829345703
17,1951124391,2, 2076879920, 0,60,0.001994609832763672, 0.0029916763305664062
18,1951124391,2, 1265152626, 0,60,0.0029916763305664062, 0.009998083114624023
19,1951124391,2, 643441731, 0,60,-1, 0.11417078971862793
21,1951124391,2, 1909473165, 0,60,0.005980014801025391, 0.011967897415161133
22,1951124391,2, 1619112671, 0,60,0.0020313262939453125, 0.003952741622924805
23,1951124391,2, 1408746722, 0,60,0.006985902786254883, 0.013965845108032227
24,1951124391,2, 200840641, 0,60,0.004983425140380859, 0.008977890014648438
25,1951124391,2, 164439419, 0,60,0.005983829498291016, 0.011967897415161133
26,1951124391,2, 530913292, 0,60,0.9155600070953369, 1.0491607189178467
27,1951124391,2, 1279930495, 0,60,-1, 0.8467121124267578
28,1951124391,2, 848226307, 0,60,0.002991914749145508, 0.004987001419067383
29,1951124391,2, 663546587, 0,60,-1, 2.3537068367004395
30,1951124391,2, 62960999, 0,60,0.0029914379119873047, 0.005983829498291016
31,1951124391,2, 803387807, 0,60,0.0, 0.0009970664978027344
33,1951124391,2, 1689281367, 0,60,0.00299072265625, 0.006981372833251953
34,1951124391,2, 1062608233, 0,60,0.005983829498291016, 0.01994633674621582
36,1951124391,2, 2111634416, 0,60,0.004020214080810547, 0.008977174758911133
37,1951124391,2, 2143356013, 0,60,6.022658824920654, 0.23038220405578613
39,1951124391,2, 631065593, 0,60,0.003989696502685547, 0.0049860477447509766
40,1951124391,2, 340875954, 0,60,0.007979154586791992, 0.022960901260375977
41,1951124391,2, 674707251, 0,60,1.5458648204803467, 1.1759121417999268
42,1951124391,2, 145418885, 0,60,0.0069506168365478516, 0.014991521835327148
43,1951124391,2, 106299297, 0,60,0.003933906555175781, 0.01894998550415039
44,1951124391,2, 1772333960, 0,60,0.002992868423461914, 0.00498652458190918
45,1951124391,2, 1216076864, 0,60,0.001979351043701172, 0.004984855651855469
46,1951124391,2, 995766296, 0,60,-1, 3.3364648818969727
47,1951124391,2, 355799774, 0,60,0.0019953250885009766, 0.00498652458190918
48,1951124391,2, 204751636, 0,60,0.0029578208923339844, 0.008975505828857422
49,1951124391,2, 1236256326, 0,60,0.0030460357666015625, 0.004972696304321289
50,1951124391,2, 916987311, 0,60,0.004986286163330078, 0.006982326507568359

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 1.1122512769699098, 90.0%, 105.16 to 105.16, 1.0
ODA-queue, 1.4666705894470216, 100.0%, 120.3 to 120.3, 1.3186503983548135
