Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,2, 266520142, 1,300,0.0, 0.0009980201721191406
2,12345678,2, 1568945314, 1,300,0.0009963512420654297, 0.000997781753540039
3,12345678,2, 1568945314, 1,300,0.000997304916381836, 0.0
4,12345678,2, 1568945314, 1,300,0.0, 0.000993490219116211
5,12345678,2, 1568945314, 1,300,0.0, 0.0009970664978027344
6,12345678,2, 1568945314, 1,300,0.000997304916381836, 0.0
7,12345678,2, 1568945314, 1,300,0.0, 0.0009932518005371094
8,12345678,2, 1568945314, 1,300,0.0009987354278564453, 0.0
9,12345678,2, 1568945314, 1,300,0.0, 0.0009672641754150391
10,12345678,2, 1568945314, 1,300,0.0009996891021728516, 0.0
11,12345678,2, 1568945314, 1,300,0.0009608268737792969, 0.0
12,12345678,2, 1568945314, 1,300,0.0, 0.0009965896606445312
13,12345678,2, 1568945314, 1,300,0.0009636878967285156, 0.0
14,12345678,2, 1568945314, 1,300,0.0009970664978027344, 0.0009992122650146484
15,12345678,2, 1568945314, 1,300,0.0009970664978027344, 0.0009992122650146484
16,12345678,2, 1568945314, 1,300,0.0, 0.0009927749633789062
17,12345678,2, 1568945314, 1,300,0.001004934310913086, 0.0009906291961669922
18,12345678,2, 1568945314, 1,300,0.0009946823120117188, 0.0
19,12345678,2, 1568945314, 1,300,0.0, 0.0009932518005371094
20,12345678,2, 1568945314, 1,300,0.0, 0.0009970664978027344
21,12345678,2, 1568945314, 1,300,0.000997304916381836, 0.0
22,12345678,2, 1568945314, 1,300,0.0, 0.0009915828704833984
23,12345678,2, 1568945314, 1,300,0.0009951591491699219, 0.0
24,12345678,2, 1568945314, 1,300,0.0, 0.0009961128234863281
25,12345678,2, 1568945314, 1,300,0.0009968280792236328, 0.0
26,12345678,2, 1568945314, 1,300,0.000997781753540039, 0.0
27,12345678,2, 1568945314, 1,300,0.0, 0.000997781753540039
28,12345678,2, 1568945314, 1,300,0.0, 0.0009970664978027344
29,12345678,2, 1568945314, 1,300,0.0, 0.0009968280792236328
30,12345678,2, 1568945314, 1,300,0.0009968280792236328, 0.0009965896606445312
31,12345678,2, 1568945314, 1,300,0.0, 0.0009987354278564453
32,12345678,2, 1568945314, 1,300,0.0009970664978027344, 0.0009951591491699219
33,12345678,2, 1568945314, 1,300,0.0, 0.0009963512420654297
34,12345678,2, 1568945314, 1,300,0.0009970664978027344, 0.0009772777557373047
35,12345678,2, 1568945314, 1,300,0.0, 0.0009996891021728516
36,12345678,2, 1568945314, 1,300,0.0, 0.0009961128234863281
37,12345678,2, 1568945314, 1,300,0.0010292530059814453, 0.0009930133819580078
38,12345678,2, 1568945314, 1,300,0.0, 0.0009968280792236328
39,12345678,2, 1568945314, 1,300,0.0, 0.0019638538360595703
40,12345678,2, 1568945314, 1,300,0.0, 0.0009951591491699219
41,12345678,2, 1568945314, 1,300,0.000997304916381836, 0.0
42,12345678,2, 1568945314, 1,300,0.0, 0.0009968280792236328
43,12345678,2, 1568945314, 1,300,0.0, 0.0009622573852539062
44,12345678,2, 1568945314, 1,300,0.0, 0.0009620189666748047
45,12345678,2, 1568945314, 1,300,0.0, 0.0009965896606445312
46,12345678,2, 1568945314, 1,300,0.0009970664978027344, 0.0
47,12345678,2, 1568945314, 1,300,0.0009970664978027344, 0.0
48,12345678,2, 1568945314, 1,300,0.0, 0.0009989738464355469
49,12345678,2, 1568945314, 1,300,0.0010020732879638672, 0.0
50,12345678,2, 1568945314, 1,300,0.0009922981262207031, 0.0

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.00047801494598388673, 100.0%, 10.0 to 13.0, 1.0
ODA-queue, 0.0006944084167480469, 100.0%, 10.0 to 13.0, 1.4526918511277145
