Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,4,10637296,2,60,0.0117340087890625,33,48,15,40,40,40,0,40,0.75,False
2,96372106,4,10637297,2,60,0.0028846263885498047,19,36,17,29,29,29,0,29,0.75,False
3,96372106,4,10637298,2,60,0.378373384475708,35,57,22,46,44,46,2,46,0.75,False
4,96372106,4,10637299,2,60,0.011652231216430664,30,48,18,39,39,39,0,39,0.75,False
5,96372106,4,10637300,2,60,2.672222375869751,42,60,18,51,50,52,2,50,0.75,False
6,96372106,4,10637301,2,60,0.032842159271240234,36,53,17,43,43,43,0,43,0.75,False
7,96372106,4,10637302,2,60,0.027857303619384766,42,68,26,55,53,55,2,55,0.75,False
8,96372106,4,10637303,2,60,0.0028228759765625,23,41,18,31,30,33,3,31,0.75,False
9,96372106,4,10637304,2,60,0.012815713882446289,29,42,13,33,33,33,0,33,0.75,False
10,96372106,4,10637305,2,60,0.24234843254089355,34,52,18,39,39,39,0,39,0.75,False
11,96372106,4,10637306,2,60,0.0037086009979248047,22,40,18,32,32,32,0,32,0.75,False
12,96372106,4,10637307,2,60,0.10705161094665527,43,61,18,55,54,54,0,54,0.75,False
13,96372106,4,10637308,2,60,0.01764392852783203,32,54,22,43,43,43,0,43,0.75,False
14,96372106,4,10637309,2,60,0.054198265075683594,35,50,15,40,40,42,2,40,0.75,False
15,96372106,4,10637310,2,60,4.2104926109313965,49,73,24,60,57,60,3,59,0.75,False
16,96372106,4,10637311,2,60,0.0032091140747070312,28,43,15,37,37,37,0,37,0.75,False
17,96372106,4,10637312,2,60,0.007021665573120117,26,48,22,37,37,38,1,37,0.75,False
18,96372106,4,10637313,2,60,0.6542117595672607,40,61,21,48,46,46,0,46,0.75,False
19,96372106,4,10637314,2,60,0.17254042625427246,39,55,16,50,49,49,0,49,0.75,False
20,96372106,4,10637315,2,60,0.004747867584228516,28,51,23,35,35,35,0,35,0.75,False
21,96372106,4,10637316,2,60,0.03352022171020508,45,60,15,54,51,51,0,51,0.75,False
22,96372106,4,10637317,2,60,0.004446268081665039,29,45,16,37,37,37,0,37,0.75,False
23,96372106,4,10637318,2,60,0.006396055221557617,24,41,17,33,32,34,2,33,0.75,False
24,96372106,4,10637319,2,60,0.029651403427124023,33,55,22,45,45,46,1,45,0.75,False
25,96372106,4,10637320,2,60,0.002409219741821289,19,32,13,27,27,27,0,27,0.75,False
26,96372106,4,10637321,2,60,0.0029795169830322266,24,41,17,31,31,32,1,31,0.75,False
27,96372106,4,10637322,2,60,0.0040361881256103516,20,29,9,25,24,25,1,25,0.75,False
28,96372106,4,10637323,2,60,0.06620383262634277,34,56,22,43,42,42,0,42,0.75,False
29,96372106,4,10637324,2,60,0.00951528549194336,22,32,10,25,24,25,1,25,0.75,False
30,96372106,4,10637325,2,60,0.015024662017822266,23,36,13,30,27,31,4,29,0.75,False
31,96372106,4,10637326,2,60,0.30522775650024414,36,56,20,48,48,48,0,48,0.75,False
32,96372106,4,10637327,2,60,0.008898019790649414,32,43,11,34,34,34,0,34,0.75,False
33,96372106,4,10637328,2,60,0.015152931213378906,38,51,13,48,46,48,2,48,0.75,False
34,96372106,4,10637329,2,60,0.009647607803344727,28,41,13,33,32,33,1,33,0.75,False
35,96372106,4,10637330,2,60,0.003208637237548828,21,32,11,26,26,26,0,26,0.75,False
36,96372106,4,10637331,2,60,0.003042936325073242,23,40,17,35,35,35,0,35,0.75,False
37,96372106,4,10637332,2,60,0.007292032241821289,25,36,11,32,30,30,0,30,0.75,False
38,96372106,4,10637333,2,60,0.016694307327270508,31,48,17,41,41,42,1,41,0.75,False
39,96372106,4,10637334,2,60,0.00807809829711914,29,46,17,38,37,38,1,38,0.75,False
40,96372106,4,10637335,2,60,0.0013964176177978516,10,15,5,13,11,14,3,13,0.75,False
41,96372106,4,10637336,2,60,0.03786110877990723,44,67,23,53,53,54,1,53,0.75,False
42,96372106,4,10637337,2,60,0.02163076400756836,29,43,14,37,37,39,2,37,0.75,False
43,96372106,4,10637338,2,60,0.04979062080383301,39,54,15,45,45,45,0,45,0.75,False
44,96372106,4,10637339,2,60,0.02919602394104004,24,38,14,34,34,34,0,34,0.75,False
45,96372106,4,10637340,2,60,0.011505126953125,32,51,19,37,37,37,0,37,0.75,False
46,96372106,4,10637341,2,60,0.0031290054321289062,20,34,14,29,29,29,0,29,0.75,False
47,96372106,4,10637342,2,60,0.011224031448364258,26,40,14,32,32,33,1,32,0.75,False
48,96372106,4,10637343,2,60,0.0031425952911376953,22,42,20,32,32,34,2,32,0.75,False
49,96372106,4,10637344,2,60,0.01721024513244629,27,45,18,37,36,37,1,37,0.75,False
50,96372106,4,10637345,2,60,0.02113485336303711,32,61,29,47,45,48,3,47,0.75,False
