Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,7,10637296,2,60,0.22381210327148438,49,80,31,61,59,65,6,61,0.5,True
2,96372106,7,10637297,2,60,1.4665687084197998,54,75,21,62,62,65,3,62,0.5,True
3,96372106,7,10637298,2,60,0.6817059516906738,55,80,25,68,67,71,4,68,0.5,True
4,96372106,7,10637299,2,60,6.13862419128418,75,103,28,92,86,91,5,88,0.5,True
5,96372106,7,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,True
6,96372106,7,10637301,2,60,0.09754538536071777,44,69,25,58,57,63,6,59,0.5,True
7,96372106,7,10637302,2,60,0.5630452632904053,68,99,31,83,82,86,4,84,0.5,True
8,96372106,7,10637303,2,60,0.07795381546020508,47,77,30,63,62,65,3,62,0.5,True
9,96372106,7,10637304,2,60,0.0705256462097168,48,69,21,58,57,60,3,58,0.5,True
10,96372106,7,10637305,2,60,1.8789186477661133,55,83,28,66,65,71,6,67,0.5,True
11,96372106,7,10637306,2,60,0.4183635711669922,57,80,23,72,64,77,13,72,0.5,True
12,96372106,7,10637307,2,60,2.8400657176971436,70,99,29,85,78,84,6,80,0.5,True
13,96372106,7,10637308,2,60,0.4241924285888672,66,99,33,85,81,86,5,84,0.5,True
14,96372106,7,10637309,2,60,0.20281672477722168,53,76,23,67,66,68,2,67,0.5,True
15,96372106,7,10637310,2,60,7.404014348983765,71,105,34,86,81,85,4,82,0.5,True
16,96372106,7,10637311,2,60,0.02599477767944336,55,85,30,69,65,74,9,67,0.5,True
17,96372106,7,10637312,2,60,0.17993927001953125,42,63,21,53,51,55,4,53,0.5,True
18,96372106,7,10637313,2,60,1.4130077362060547,62,92,30,75,70,82,12,74,0.5,True
19,96372106,7,10637314,2,60,1.0426790714263916,72,100,28,86,83,88,5,85,0.5,True
20,96372106,7,10637315,2,60,1.650486707687378,69,106,37,89,83,92,9,89,0.5,True
21,96372106,7,10637316,2,60,2.0913913249969482,74,104,30,88,85,87,2,86,0.5,True
22,96372106,7,10637317,2,60,0.07039141654968262,60,87,27,75,73,74,1,74,0.5,True
23,96372106,7,10637318,2,60,0.015494823455810547,39,61,22,51,51,54,3,53,0.5,True
24,96372106,7,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,True
25,96372106,7,10637320,2,60,0.05103349685668945,40,63,23,54,51,58,7,54,0.5,True
26,96372106,7,10637321,2,60,0.0795893669128418,46,72,26,54,50,54,4,53,0.5,True
27,96372106,7,10637322,2,60,2.2166364192962646,59,85,26,71,67,74,7,70,0.5,True
28,96372106,7,10637323,2,60,0.3901073932647705,62,82,20,74,67,71,4,71,0.5,True
29,96372106,7,10637324,2,60,0.7658123970031738,50,67,17,54,54,56,2,54,0.5,True
30,96372106,7,10637325,2,60,0.3828246593475342,54,74,20,60,59,60,1,59,0.5,True
31,96372106,7,10637326,2,60,1.15541410446167,71,103,32,89,89,95,6,93,0.5,True
32,96372106,7,10637327,2,60,0.02675008773803711,50,80,30,62,56,62,6,60,0.5,True
33,96372106,7,10637328,2,60,0.3272979259490967,65,94,29,81,77,83,6,81,0.5,True
34,96372106,7,10637329,2,60,0.09837579727172852,58,81,23,70,66,74,8,69,0.5,True
35,96372106,7,10637330,2,60,0.07264590263366699,55,87,32,71,71,72,1,71,0.5,True
36,96372106,7,10637331,2,60,0.22385406494140625,43,66,23,55,54,60,6,55,0.5,True
37,96372106,7,10637332,2,60,0.19684076309204102,45,64,19,52,52,55,3,52,0.5,True
38,96372106,7,10637333,2,60,3.6729071140289307,56,74,18,63,55,62,7,58,0.5,True
39,96372106,7,10637334,2,60,0.028573036193847656,60,86,26,75,68,83,15,75,0.5,True
40,96372106,7,10637335,2,60,0.3489961624145508,42,69,27,57,57,57,0,57,0.5,True
41,96372106,7,10637336,2,60,0.2280137538909912,72,110,38,93,89,98,9,92,0.5,True
42,96372106,7,10637337,2,60,0.04347515106201172,39,58,19,46,46,48,2,46,0.5,True
43,96372106,7,10637338,2,60,5.42140007019043,55,82,27,70,68,72,4,72,0.5,True
44,96372106,7,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,True
45,96372106,7,10637340,2,60,3.0605390071868896,49,76,27,64,64,65,1,65,0.5,True
46,96372106,7,10637341,2,60,0.03494119644165039,48,77,29,66,63,70,7,66,0.5,True
47,96372106,7,10637342,2,60,0.23039627075195312,52,86,34,63,58,59,1,59,0.5,True
48,96372106,7,10637343,2,60,0.01578044891357422,37,58,21,47,41,48,7,46,0.5,True
49,96372106,7,10637344,2,60,0.7587242126464844,49,70,21,62,58,63,5,61,0.5,True
50,96372106,7,10637345,2,60,1.1175754070281982,67,106,39,87,80,86,6,85,0.5,True
