Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,13,10637296,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
2,96372106,13,10637297,1,60,14.437496662139893,92,115,23,104,92,115,23,104,0.0,True
3,96372106,13,10637298,1,60,3.8282766342163086,97,114,17,110,97,114,17,110,0.0,True
4,96372106,13,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
5,96372106,13,10637300,1,60,2.9883289337158203,104,125,21,116,104,125,21,116,0.0,True
6,96372106,13,10637301,1,60,0.3000040054321289,78,100,22,90,78,100,22,90,0.0,True
7,96372106,13,10637302,1,60,7.811948776245117,110,129,19,121,110,129,19,121,0.0,True
8,96372106,13,10637303,1,60,0.18819141387939453,83,108,25,95,83,108,25,95,0.0,True
9,96372106,13,10637304,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
10,96372106,13,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
11,96372106,13,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
12,96372106,13,10637307,1,60,5.187625408172607,91,114,23,105,91,114,23,105,0.0,True
13,96372106,13,10637308,1,60,5.433761119842529,100,124,24,112,100,124,24,112,0.0,True
14,96372106,13,10637309,1,60,3.800224781036377,106,124,18,117,106,124,18,117,0.0,True
15,96372106,13,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
16,96372106,13,10637311,1,60,0.21503782272338867,99,125,26,106,99,125,26,106,0.0,True
17,96372106,13,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
18,96372106,13,10637313,1,60,0.8393795490264893,98,119,21,110,98,119,21,110,0.0,True
19,96372106,13,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
20,96372106,13,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
21,96372106,13,10637316,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
22,96372106,13,10637317,1,60,0.6795401573181152,84,106,22,99,84,106,22,99,0.0,True
23,96372106,13,10637318,1,60,0.23112034797668457,80,100,20,93,80,100,20,93,0.0,True
24,96372106,13,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
25,96372106,13,10637320,1,60,0.0751032829284668,74,91,17,85,74,91,17,85,0.0,True
26,96372106,13,10637321,1,60,1.4003880023956299,90,115,25,102,90,115,25,102,0.0,True
27,96372106,13,10637322,1,60,3.7645978927612305,92,112,20,100,92,112,20,100,0.0,True
28,96372106,13,10637323,1,60,4.700734853744507,103,121,18,113,103,121,18,113,0.0,True
29,96372106,13,10637324,1,60,2.9571170806884766,82,97,15,90,82,97,15,90,0.0,True
30,96372106,13,10637325,1,60,6.384548664093018,82,105,23,98,82,105,23,98,0.0,True
31,96372106,13,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
32,96372106,13,10637327,1,60,11.727432250976562,83,102,19,94,83,102,19,94,0.0,True
33,96372106,13,10637328,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
34,96372106,13,10637329,1,60,2.165950059890747,98,126,28,106,98,126,28,106,0.0,True
35,96372106,13,10637330,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
36,96372106,13,10637331,1,60,0.35897254943847656,74,92,18,81,74,92,18,81,0.0,True
37,96372106,13,10637332,1,60,0.10568094253540039,67,83,16,72,67,83,16,72,0.0,True
38,96372106,13,10637333,1,60,0.4332458972930908,87,111,24,100,87,111,24,100,0.0,True
39,96372106,13,10637334,1,60,0.6402425765991211,92,114,22,103,92,114,22,103,0.0,True
40,96372106,13,10637335,1,60,0.2811260223388672,71,90,19,78,71,90,19,78,0.0,True
41,96372106,13,10637336,1,60,38.836341857910156,122,144,22,135,122,144,22,135,0.0,True
42,96372106,13,10637337,1,60,47.41979479789734,75,94,19,83,75,94,19,83,0.0,True
43,96372106,13,10637338,1,60,18.506840229034424,89,113,24,101,89,113,24,101,0.0,True
44,96372106,13,10637339,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
45,96372106,13,10637340,1,60,33.37909746170044,95,118,23,113,95,118,23,113,0.0,True
46,96372106,13,10637341,1,60,0.27718377113342285,73,92,19,83,73,92,19,83,0.0,True
47,96372106,13,10637342,1,60,0.5130507946014404,92,111,19,99,92,111,19,99,0.0,True
48,96372106,13,10637343,1,60,2.148846387863159,72,96,24,86,72,96,24,86,0.0,True
49,96372106,13,10637344,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
50,96372106,13,10637345,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,True
