Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,7,10637296,1,60,0.02442646026611328,45,59,14,53,51,55,4,53,0.5,False
2,96372106,7,10637297,1,60,0.23347020149230957,45,56,11,48,48,48,0,48,0.5,False
3,96372106,7,10637298,1,60,0.026350736618041992,46,54,8,52,48,54,6,52,0.5,False
4,96372106,7,10637299,1,60,0.8326599597930908,58,74,16,65,63,65,2,64,0.5,False
5,96372106,7,10637300,1,60,0.22601652145385742,61,75,14,68,67,68,1,67,0.5,False
6,96372106,7,10637301,1,60,0.01748204231262207,35,51,16,41,40,45,5,41,0.5,False
7,96372106,7,10637302,1,60,0.1208033561706543,59,73,14,65,64,65,1,65,0.5,False
8,96372106,7,10637303,1,60,0.013416767120361328,42,53,11,45,44,45,1,45,0.5,False
9,96372106,7,10637304,1,60,0.022457599639892578,37,51,14,48,45,50,5,48,0.5,False
10,96372106,7,10637305,1,60,3.950934648513794,47,59,12,51,50,54,4,51,0.5,False
11,96372106,7,10637306,1,60,0.0950782299041748,45,59,14,53,52,54,2,53,0.5,False
12,96372106,7,10637307,1,60,0.06484103202819824,49,69,20,56,56,57,1,56,0.5,False
13,96372106,7,10637308,1,60,0.16839981079101562,55,69,14,62,61,63,2,62,0.5,False
14,96372106,7,10637309,1,60,0.04642796516418457,42,58,16,51,48,50,2,50,0.5,False
15,96372106,7,10637310,1,60,3.1707582473754883,56,70,14,60,60,60,0,60,0.5,False
16,96372106,7,10637311,1,60,0.013568639755249023,48,63,15,57,57,58,1,57,0.5,False
17,96372106,7,10637312,1,60,0.08334636688232422,38,49,11,41,41,41,0,41,0.5,False
18,96372106,7,10637313,1,60,0.06815481185913086,50,64,14,55,54,56,2,55,0.5,False
19,96372106,7,10637314,1,60,0.18430233001708984,56,73,17,66,65,67,2,66,0.5,False
20,96372106,7,10637315,1,60,0.05587148666381836,57,76,19,63,62,63,1,63,0.5,False
21,96372106,7,10637316,1,60,0.23223090171813965,61,83,22,72,72,72,0,72,0.5,False
22,96372106,7,10637317,1,60,0.023960113525390625,50,68,18,57,56,61,5,57,0.5,False
23,96372106,7,10637318,1,60,0.016957759857177734,33,44,11,36,35,36,1,36,0.5,False
24,96372106,7,10637319,1,60,3.1793313026428223,64,75,11,68,68,69,1,68,0.5,False
25,96372106,7,10637320,1,60,0.009417533874511719,34,46,12,39,38,40,2,39,0.5,False
26,96372106,7,10637321,1,60,0.023728609085083008,39,52,13,43,43,46,3,43,0.5,False
27,96372106,7,10637322,1,60,0.13570952415466309,51,65,14,57,57,58,1,57,0.5,False
28,96372106,7,10637323,1,60,0.06326556205749512,49,63,14,58,57,58,1,58,0.5,False
29,96372106,7,10637324,1,60,0.03894686698913574,40,50,10,43,43,43,0,43,0.5,False
30,96372106,7,10637325,1,60,0.028130054473876953,40,56,16,47,46,49,3,47,0.5,False
31,96372106,7,10637326,1,60,0.22753453254699707,57,73,16,65,64,66,2,65,0.5,False
32,96372106,7,10637327,1,60,0.06432294845581055,45,58,13,53,50,54,4,53,0.5,False
33,96372106,7,10637328,1,60,0.027726173400878906,54,68,14,58,55,62,7,58,0.5,False
34,96372106,7,10637329,1,60,0.08212614059448242,47,60,13,56,54,57,3,56,0.5,False
35,96372106,7,10637330,1,60,0.05805063247680664,48,65,17,58,58,58,0,58,0.5,False
36,96372106,7,10637331,1,60,0.037483930587768555,36,47,11,42,39,45,6,42,0.5,False
37,96372106,7,10637332,1,60,0.01546931266784668,36,49,13,39,38,40,2,39,0.5,False
38,96372106,7,10637333,1,60,0.14579343795776367,43,52,9,49,46,48,2,47,0.5,False
39,96372106,7,10637334,1,60,0.024274826049804688,48,67,19,55,52,59,7,55,0.5,False
40,96372106,7,10637335,1,60,0.022350549697875977,35,45,10,43,40,43,3,43,0.5,False
41,96372106,7,10637336,1,60,0.7298755645751953,66,79,13,73,73,73,0,73,0.5,False
42,96372106,7,10637337,1,60,0.013598442077636719,35,46,11,41,40,41,1,40,0.5,False
43,96372106,7,10637338,1,60,1.469142198562622,53,61,8,59,57,59,2,59,0.5,False
44,96372106,7,10637339,1,60,2.474959135055542,51,67,16,64,59,63,4,63,0.5,False
45,96372106,7,10637340,1,60,0.14140748977661133,43,54,11,46,45,46,1,46,0.5,False
46,96372106,7,10637341,1,60,0.015616178512573242,45,58,13,51,50,52,2,51,0.5,False
47,96372106,7,10637342,1,60,0.01604318618774414,43,57,14,51,51,51,0,51,0.5,False
48,96372106,7,10637343,1,60,0.00742793083190918,33,42,9,36,36,37,1,36,0.5,False
49,96372106,7,10637344,1,60,0.07839274406433105,42,51,9,48,48,50,2,48,0.5,False
50,96372106,7,10637345,1,60,0.05283975601196289,57,74,17,64,63,65,2,64,0.5,False
