Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,11,10637296,0,60,0.20644927024841309,57,57,0,57,57,57,0,57,0.75,False
2,96372106,11,10637297,0,60,0.07779097557067871,61,61,0,61,61,61,0,61,0.75,False
3,96372106,11,10637298,0,60,0.04188656806945801,63,63,0,63,63,63,0,63,0.75,False
4,96372106,11,10637299,0,60,0.05684804916381836,64,64,0,64,64,64,0,64,0.75,False
5,96372106,11,10637300,0,60,0.3949427604675293,70,70,0,70,70,70,0,70,0.75,False
6,96372106,11,10637301,0,60,0.1156923770904541,60,60,0,60,60,60,0,60,0.75,False
7,96372106,11,10637302,0,60,0.0618433952331543,78,78,0,78,78,78,0,78,0.75,False
8,96372106,11,10637303,0,60,0.050864458084106445,55,55,0,55,55,55,0,55,0.75,False
9,96372106,11,10637304,0,60,0.045912742614746094,43,43,0,43,43,43,0,43,0.75,False
10,96372106,11,10637305,0,60,1.5707900524139404,66,66,0,66,66,66,0,66,0.75,False
11,96372106,11,10637306,0,60,0.1246342658996582,65,65,0,65,65,65,0,65,0.75,False
12,96372106,11,10637307,0,60,0.06682085990905762,60,60,0,60,60,60,0,60,0.75,False
13,96372106,11,10637308,0,60,0.08075141906738281,65,65,0,65,65,65,0,65,0.75,False
14,96372106,11,10637309,0,60,0.05184173583984375,63,63,0,63,63,63,0,63,0.75,False
15,96372106,11,10637310,0,60,0.09873533248901367,65,65,0,65,65,65,0,65,0.75,False
16,96372106,11,10637311,0,60,0.05878758430480957,68,68,0,68,68,68,0,68,0.75,False
17,96372106,11,10637312,0,60,6.309067249298096,54,54,0,54,54,54,0,54,0.75,False
18,96372106,11,10637313,0,60,0.25430941581726074,66,66,0,66,66,66,0,66,0.75,False
19,96372106,11,10637314,0,60,6.158601760864258,63,63,0,63,63,63,0,63,0.75,False
20,96372106,11,10637315,0,60,0.33107519149780273,81,81,0,81,81,81,0,81,0.75,False
21,96372106,11,10637316,0,60,0.10770320892333984,64,64,0,64,64,64,0,64,0.75,False
22,96372106,11,10637317,0,60,0.06383013725280762,63,63,0,63,63,63,0,63,0.75,False
23,96372106,11,10637318,0,60,0.02094244956970215,53,53,0,53,53,53,0,53,0.75,False
24,96372106,11,10637319,0,60,0.46455955505371094,61,61,0,61,61,61,0,61,0.75,False
25,96372106,11,10637320,0,60,0.04288458824157715,55,55,0,55,55,55,0,55,0.75,False
26,96372106,11,10637321,0,60,0.14261841773986816,57,57,0,57,57,57,0,57,0.75,False
27,96372106,11,10637322,0,60,0.9394891262054443,63,63,0,63,63,63,0,63,0.75,False
28,96372106,11,10637323,0,60,36.00751757621765,70,70,0,70,70,70,0,70,0.75,False
29,96372106,11,10637324,0,60,0.0359039306640625,52,52,0,52,52,52,0,52,0.75,False
30,96372106,11,10637325,0,60,0.28719210624694824,51,51,0,51,51,51,0,51,0.75,False
31,96372106,11,10637326,0,60,0.05884122848510742,60,60,0,60,60,60,0,60,0.75,False
32,96372106,11,10637327,0,60,0.013962745666503906,56,56,0,56,56,56,0,56,0.75,False
33,96372106,11,10637328,0,60,2.9790284633636475,63,63,0,63,63,63,0,63,0.75,False
34,96372106,11,10637329,0,60,0.0718073844909668,65,65,0,65,65,65,0,65,0.75,False
35,96372106,11,10637330,0,60,0.47475171089172363,68,68,0,68,68,68,0,68,0.75,False
36,96372106,11,10637331,0,60,0.04089212417602539,48,48,0,48,48,48,0,48,0.75,False
37,96372106,11,10637332,0,60,0.03895425796508789,46,46,0,46,46,46,0,46,0.75,False
38,96372106,11,10637333,0,60,0.036899566650390625,60,60,0,60,60,60,0,60,0.75,False
39,96372106,11,10637334,0,60,0.09577727317810059,64,64,0,64,64,64,0,64,0.75,False
40,96372106,11,10637335,0,60,0.027920007705688477,52,52,0,52,52,52,0,52,0.75,False
41,96372106,11,10637336,0,60,0.10674881935119629,79,79,0,79,79,79,0,79,0.75,False
42,96372106,11,10637337,0,60,0.05282092094421387,52,52,0,52,52,52,0,52,0.75,False
43,96372106,11,10637338,0,60,0.03897905349731445,65,65,0,65,65,65,0,65,0.75,False
44,96372106,11,10637339,0,60,0.11469388008117676,71,71,0,71,71,71,0,71,0.75,False
45,96372106,11,10637340,0,60,0.7260992527008057,64,64,0,64,64,64,0,64,0.75,False
46,96372106,11,10637341,0,60,0.2064495086669922,57,57,0,57,57,57,0,57,0.75,False
47,96372106,11,10637342,0,60,0.7729074954986572,61,61,0,61,61,61,0,61,0.75,False
48,96372106,11,10637343,0,60,0.05086398124694824,54,54,0,54,54,54,0,54,0.75,False
49,96372106,11,10637344,0,60,0.18151617050170898,59,59,0,59,59,59,0,59,0.75,False
50,96372106,11,10637345,0,60,0.08873295783996582,68,68,0,68,68,68,0,68,0.75,False
