Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,8,10637296,4,60,0.1097574234008789,81,145,64,116,102,124,22,116,0.25,False
2,96372106,8,10637297,4,60,36.7722589969635,101,162,61,124,117,122,5,121,0.25,False
3,96372106,8,10637298,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
4,96372106,8,10637299,4,60,23.361328601837158,116,184,68,146,138,157,19,145,0.25,False
5,96372106,8,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
6,96372106,8,10637301,4,60,0.15785574913024902,80,137,57,115,95,125,30,115,0.25,False
7,96372106,8,10637302,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
8,96372106,8,10637303,4,60,0.9108998775482178,87,140,53,116,101,126,25,116,0.25,False
9,96372106,8,10637304,4,60,0.27694010734558105,69,115,46,89,80,98,18,87,0.25,False
10,96372106,8,10637305,4,60,28.50078773498535,93,145,52,119,104,124,20,118,0.25,False
11,96372106,8,10637306,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
12,96372106,8,10637307,4,60,1.573925495147705,101,161,60,130,112,152,40,130,0.25,False
13,96372106,8,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
14,96372106,8,10637309,4,60,20.18879985809326,92,145,53,114,103,126,23,114,0.25,False
15,96372106,8,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
16,96372106,8,10637311,4,60,45.98504877090454,104,159,55,126,112,141,29,126,0.25,False
17,96372106,8,10637312,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
18,96372106,8,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
19,96372106,8,10637314,4,60,51.917224645614624,114,172,58,143,134,141,7,138,0.25,False
20,96372106,8,10637315,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
21,96372106,8,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
22,96372106,8,10637317,4,60,0.1151888370513916,91,166,75,134,123,140,17,134,0.25,False
23,96372106,8,10637318,4,60,0.502244234085083,79,125,46,99,91,110,19,99,0.25,False
24,96372106,8,10637319,4,60,22.377729177474976,116,178,62,150,137,157,20,147,0.25,False
25,96372106,8,10637320,4,60,1.6654551029205322,73,127,54,102,87,108,21,101,0.25,False
26,96372106,8,10637321,4,60,25.198132276535034,84,138,54,108,101,126,25,108,0.25,False
27,96372106,8,10637322,4,60,34.664053440093994,117,180,63,148,139,152,13,147,0.25,False
28,96372106,8,10637323,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
29,96372106,8,10637324,4,60,53.99277424812317,75,117,42,95,82,107,25,95,0.25,False
30,96372106,8,10637325,4,60,10.566203594207764,88,136,48,108,97,126,29,108,0.25,False
31,96372106,8,10637326,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
32,96372106,8,10637327,4,60,0.25824403762817383,83,131,48,108,106,113,7,108,0.25,False
33,96372106,8,10637328,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
34,96372106,8,10637329,4,60,23.927355766296387,89,141,52,113,103,118,15,112,0.25,False
35,96372106,8,10637330,4,60,2.4821033477783203,108,158,50,129,116,148,32,126,0.25,False
36,96372106,8,10637331,4,60,0.39284753799438477,65,114,49,96,83,105,22,96,0.25,False
37,96372106,8,10637332,4,60,4.384366750717163,70,123,53,93,92,97,5,93,0.25,False
38,96372106,8,10637333,4,60,32.93402171134949,97,151,54,118,113,123,10,117,0.25,False
39,96372106,8,10637334,4,60,9.592121601104736,96,155,59,123,115,136,21,121,0.25,False
40,96372106,8,10637335,4,60,9.771651268005371,73,128,55,98,89,114,25,98,0.25,False
41,96372106,8,10637336,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
42,96372106,8,10637337,4,60,1.5494184494018555,70,121,51,99,90,106,16,99,0.25,False
43,96372106,8,10637338,4,60,7.549992561340332,100,155,55,130,106,143,37,130,0.25,False
44,96372106,8,10637339,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
45,96372106,8,10637340,4,60,0.4177687168121338,88,133,45,105,99,120,21,104,0.25,False
46,96372106,8,10637341,4,60,0.3250575065612793,89,163,74,126,113,135,22,125,0.25,False
47,96372106,8,10637342,4,60,2.3323354721069336,91,148,57,121,107,134,27,121,0.25,False
48,96372106,8,10637343,4,60,8.953962087631226,90,136,46,123,109,133,24,123,0.25,False
49,96372106,8,10637344,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
50,96372106,8,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,False
