Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,5,10637296,4,60,0.10602831840515137,61,106,45,73,78,5,0.25,False
2,96372106,5,10637297,4,60,0.010912656784057617,44,74,30,54,65,11,0.25,False
3,96372106,5,10637298,4,60,0.36949634552001953,59,114,55,84,92,8,0.25,False
4,96372106,5,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,0.25,False
5,96372106,5,10637300,4,60,44.02919602394104,94,127,33,101,115,14,0.25,False
6,96372106,5,10637301,4,60,0.06783795356750488,54,90,36,67,74,7,0.25,False
7,96372106,5,10637302,4,60,5.2497780323028564,90,139,49,103,129,26,0.25,False
8,96372106,5,10637303,4,60,0.014959573745727539,50,90,40,59,84,25,0.25,False
9,96372106,5,10637304,4,60,0.34928083419799805,52,87,35,63,83,20,0.25,False
10,96372106,5,10637305,4,60,9.19088625907898,64,107,43,83,84,1,0.25,False
11,96372106,5,10637306,4,60,0.18402695655822754,47,99,52,66,73,7,0.25,False
12,96372106,5,10637307,4,60,0.0738210678100586,57,102,45,68,90,22,0.25,False
13,96372106,5,10637308,4,60,0.4810659885406494,62,110,48,65,98,33,0.25,False
14,96372106,5,10637309,4,60,14.044870376586914,63,99,36,68,89,21,0.25,False
15,96372106,5,10637310,4,60,56.82405924797058,76,123,47,96,112,16,0.25,False
16,96372106,5,10637311,4,60,0.06881046295166016,54,99,45,71,91,20,0.25,False
17,96372106,5,10637312,4,60,3.0519309043884277,49,74,25,53,72,19,0.25,False
18,96372106,5,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,0.25,False
19,96372106,5,10637314,4,60,17.54247260093689,61,91,30,77,79,2,0.25,False
20,96372106,5,10637315,4,60,0.3132195472717285,67,110,43,80,103,23,0.25,False
21,96372106,5,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,0.25,False
22,96372106,5,10637317,4,60,0.05385613441467285,43,91,48,68,73,5,0.25,False
23,96372106,5,10637318,4,60,0.851722240447998,51,101,50,55,89,34,0.25,False
24,96372106,5,10637319,4,60,7.954104661941528,72,112,40,84,101,17,0.25,False
25,96372106,5,10637320,4,60,0.033910512924194336,46,84,38,54,74,20,0.25,False
26,96372106,5,10637321,4,60,0.010970592498779297,38,80,42,50,67,17,0.25,False
27,96372106,5,10637322,4,60,0.8886237144470215,62,97,35,70,82,12,0.25,False
28,96372106,5,10637323,4,60,12.56242847442627,64,103,39,77,88,11,0.25,False
29,96372106,5,10637324,4,60,26.456162691116333,52,89,37,57,83,26,0.25,False
30,96372106,5,10637325,4,60,0.14162206649780273,42,75,33,47,64,17,0.25,False
31,96372106,5,10637326,4,60,0.3251674175262451,65,98,33,70,93,23,0.25,False
32,96372106,5,10637327,4,60,1.3513846397399902,59,100,41,78,87,9,0.25,False
33,96372106,5,10637328,4,60,0.11272382736206055,65,100,35,79,82,3,0.25,False
34,96372106,5,10637329,4,60,24.589179515838623,63,98,35,81,86,5,0.25,False
35,96372106,5,10637330,4,60,0.011968135833740234,40,80,40,52,72,20,0.25,False
36,96372106,5,10637331,4,60,0.027926921844482422,35,63,28,41,53,12,0.25,False
37,96372106,5,10637332,4,60,0.1575927734375,42,80,38,46,72,26,0.25,False
38,96372106,5,10637333,4,60,0.48169779777526855,52,91,39,54,76,22,0.25,False
39,96372106,5,10637334,4,60,0.020937681198120117,48,86,38,57,79,22,0.25,False
40,96372106,5,10637335,4,60,0.001994609832763672,23,45,22,28,43,15,0.25,False
41,96372106,5,10637336,4,60,35.754767656326294,86,130,44,105,113,8,0.25,False
42,96372106,5,10637337,4,60,0.3999476432800293,41,76,35,49,75,26,0.25,False
43,96372106,5,10637338,4,60,0.03789567947387695,50,103,53,67,94,27,0.25,False
44,96372106,5,10637339,4,60,8.857264280319214,62,89,27,74,80,6,0.25,False
45,96372106,5,10637340,4,60,0.18157005310058594,51,85,34,59,79,20,0.25,False
46,96372106,5,10637341,4,60,0.014960765838623047,51,95,44,70,82,12,0.25,False
47,96372106,5,10637342,4,60,0.23839950561523438,48,82,34,60,72,12,0.25,False
48,96372106,5,10637343,4,60,0.08178329467773438,52,91,39,71,79,8,0.25,False
49,96372106,5,10637344,4,60,9.158864974975586,53,91,38,71,77,6,0.25,False
50,96372106,5,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,0.25,False
