Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,7,10637296,0,60,0.022904396057128906,39,39,0,39,39,39,0,39,0.5,False
2,96372106,7,10637297,0,60,0.015955686569213867,36,36,0,36,36,36,0,36,0.5,False
3,96372106,7,10637298,0,60,0.00797891616821289,38,38,0,38,38,38,0,38,0.5,False
4,96372106,7,10637299,0,60,0.011960268020629883,49,49,0,49,49,49,0,49,0.5,False
5,96372106,7,10637300,0,60,0.01596689224243164,51,51,0,51,51,51,0,51,0.5,False
6,96372106,7,10637301,0,60,0.019948720932006836,33,33,0,33,33,33,0,33,0.5,False
7,96372106,7,10637302,0,60,0.0229032039642334,50,50,0,50,50,50,0,50,0.5,False
8,96372106,7,10637303,0,60,0.02393937110900879,38,38,0,38,38,38,0,38,0.5,False
9,96372106,7,10637304,0,60,0.012961864471435547,32,32,0,32,32,32,0,32,0.5,False
10,96372106,7,10637305,0,60,0.06776189804077148,37,37,0,37,37,37,0,37,0.5,False
11,96372106,7,10637306,0,60,0.025931119918823242,39,39,0,39,39,39,0,39,0.5,False
12,96372106,7,10637307,0,60,0.014924049377441406,43,43,0,43,43,43,0,43,0.5,False
13,96372106,7,10637308,0,60,0.044853925704956055,46,46,0,46,46,46,0,46,0.5,False
14,96372106,7,10637309,0,60,0.009941577911376953,37,37,0,37,37,37,0,37,0.5,False
15,96372106,7,10637310,0,60,0.02296280860900879,47,47,0,47,47,47,0,47,0.5,False
16,96372106,7,10637311,0,60,0.029919147491455078,42,42,0,42,42,42,0,42,0.5,False
17,96372106,7,10637312,0,60,0.03091740608215332,31,31,0,31,31,31,0,31,0.5,False
18,96372106,7,10637313,0,60,0.03789854049682617,43,43,0,43,43,43,0,43,0.5,False
19,96372106,7,10637314,0,60,0.09276962280273438,46,46,0,46,46,46,0,46,0.5,False
20,96372106,7,10637315,0,60,0.0489044189453125,54,54,0,54,54,54,0,54,0.5,False
21,96372106,7,10637316,0,60,0.050862789154052734,49,49,0,49,49,49,0,49,0.5,False
22,96372106,7,10637317,0,60,0.014960050582885742,43,43,0,43,43,43,0,43,0.5,False
23,96372106,7,10637318,0,60,0.008975744247436523,30,30,0,30,30,30,0,30,0.5,False
24,96372106,7,10637319,0,60,0.06187295913696289,49,49,0,49,49,49,0,49,0.5,False
25,96372106,7,10637320,0,60,0.004980564117431641,28,28,0,28,28,28,0,28,0.5,False
26,96372106,7,10637321,0,60,0.02692699432373047,33,33,0,33,33,33,0,33,0.5,False
27,96372106,7,10637322,0,60,0.03690075874328613,44,44,0,44,44,44,0,44,0.5,False
28,96372106,7,10637323,0,60,0.019957542419433594,45,45,0,45,45,45,0,45,0.5,False
29,96372106,7,10637324,0,60,0.023935794830322266,33,33,0,33,33,33,0,33,0.5,False
30,96372106,7,10637325,0,60,0.009976863861083984,34,34,0,34,34,34,0,34,0.5,False
31,96372106,7,10637326,0,60,0.01994466781616211,45,45,0,45,45,45,0,45,0.5,False
32,96372106,7,10637327,0,60,0.008980512619018555,36,36,0,36,36,36,0,36,0.5,False
33,96372106,7,10637328,0,60,0.10966753959655762,45,45,0,45,45,45,0,45,0.5,False
34,96372106,7,10637329,0,60,0.021974563598632812,40,40,0,40,40,40,0,40,0.5,False
35,96372106,7,10637330,0,60,0.014960289001464844,41,41,0,41,41,41,0,41,0.5,False
36,96372106,7,10637331,0,60,0.008975744247436523,30,30,0,30,30,30,0,30,0.5,False
37,96372106,7,10637332,0,60,0.008975982666015625,31,31,0,31,31,31,0,31,0.5,False
38,96372106,7,10637333,0,60,0.00797891616821289,31,31,0,31,31,31,0,31,0.5,False
39,96372106,7,10637334,0,60,0.009973287582397461,40,40,0,40,40,40,0,40,0.5,False
40,96372106,7,10637335,0,60,0.007978200912475586,30,30,0,30,30,30,0,30,0.5,False
41,96372106,7,10637336,0,60,0.018955707550048828,55,55,0,55,55,55,0,55,0.5,False
42,96372106,7,10637337,0,60,0.009973764419555664,28,28,0,28,28,28,0,28,0.5,False
43,96372106,7,10637338,0,60,0.014958620071411133,41,41,0,41,41,41,0,41,0.5,False
44,96372106,7,10637339,0,60,0.016954660415649414,44,44,0,44,44,44,0,44,0.5,False
45,96372106,7,10637340,0,60,0.00897526741027832,34,34,0,34,34,34,0,34,0.5,False
46,96372106,7,10637341,0,60,0.009973526000976562,39,39,0,39,39,39,0,39,0.5,False
47,96372106,7,10637342,0,60,0.018950939178466797,36,36,0,36,36,36,0,36,0.5,False
48,96372106,7,10637343,0,60,0.010974407196044922,30,30,0,30,30,30,0,30,0.5,False
49,96372106,7,10637344,0,60,0.11170268058776855,35,35,0,35,35,35,0,35,0.5,False
50,96372106,7,10637345,0,60,0.013962745666503906,50,50,0,50,50,50,0,50,0.5,False
