Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,6,10637296,2,60,0.013557195663452148,44,65,21,56,53,59,6,56,0.25,False
2,96372106,6,10637297,2,60,0.8929383754730225,43,63,20,51,48,54,6,51,0.25,False
3,96372106,6,10637298,2,60,0.6068441867828369,50,72,22,57,54,61,7,57,0.25,False
4,96372106,6,10637299,2,60,0.4229400157928467,56,81,25,70,67,74,7,70,0.25,False
5,96372106,6,10637300,2,60,52.628305196762085,68,96,28,88,83,91,8,88,0.25,False
6,96372106,6,10637301,2,60,0.06881976127624512,41,62,21,48,45,53,8,48,0.25,False
7,96372106,6,10637302,2,60,0.3960874080657959,67,93,26,80,70,85,15,79,0.25,False
8,96372106,6,10637303,2,60,0.0037932395935058594,33,59,26,51,46,53,7,51,0.25,False
9,96372106,6,10637304,2,60,0.04519796371459961,43,63,20,53,48,58,10,53,0.25,False
10,96372106,6,10637305,2,60,0.18445944786071777,50,71,21,63,61,64,3,63,0.25,False
11,96372106,6,10637306,2,60,0.2864494323730469,52,78,26,66,62,69,7,66,0.25,False
12,96372106,6,10637307,2,60,1.3726143836975098,61,88,27,76,70,79,9,76,0.25,False
13,96372106,6,10637308,2,60,0.5677893161773682,52,80,28,64,60,66,6,63,0.25,False
14,96372106,6,10637309,2,60,0.061733245849609375,45,61,16,54,51,54,3,54,0.25,False
15,96372106,6,10637310,2,60,4.667390823364258,65,96,31,79,74,79,5,76,0.25,False
16,96372106,6,10637311,2,60,0.00441288948059082,47,75,28,61,58,65,7,61,0.25,False
17,96372106,6,10637312,2,60,0.025789260864257812,35,60,25,45,41,54,13,45,0.25,False
18,96372106,6,10637313,2,60,1.1927521228790283,52,78,26,67,65,69,4,67,0.25,False
19,96372106,6,10637314,2,60,0.7609570026397705,59,83,24,68,66,72,6,67,0.25,False
20,96372106,6,10637315,2,60,0.04114651679992676,53,91,38,67,57,79,22,67,0.25,False
21,96372106,6,10637316,2,60,2.06856632232666,65,92,27,75,70,79,9,75,0.25,False
22,96372106,6,10637317,2,60,0.014045953750610352,46,68,22,57,57,60,3,57,0.25,False
23,96372106,6,10637318,2,60,0.010764598846435547,33,51,18,42,39,46,7,42,0.25,False
24,96372106,6,10637319,2,60,5.020243167877197,59,93,34,75,73,78,5,74,0.25,False
25,96372106,6,10637320,2,60,0.023639202117919922,34,53,19,42,37,50,13,42,0.25,False
26,96372106,6,10637321,2,60,0.03463411331176758,39,58,19,49,42,52,10,49,0.25,False
27,96372106,6,10637322,2,60,0.10412716865539551,42,67,25,53,51,55,4,53,0.25,False
28,96372106,6,10637323,2,60,0.1874697208404541,44,70,26,59,57,60,3,59,0.25,False
29,96372106,6,10637324,2,60,0.06857633590698242,40,58,18,47,42,50,8,47,0.25,False
30,96372106,6,10637325,2,60,0.027451038360595703,41,63,22,50,48,55,7,50,0.25,False
31,96372106,6,10637326,2,60,0.694058895111084,58,87,29,78,74,81,7,78,0.25,False
32,96372106,6,10637327,2,60,0.019117355346679688,47,75,28,60,53,68,15,60,0.25,False
33,96372106,6,10637328,2,60,0.04275822639465332,57,82,25,67,65,73,8,67,0.25,False
34,96372106,6,10637329,2,60,0.06716227531433105,54,76,22,67,59,71,12,67,0.25,False
35,96372106,6,10637330,2,60,0.013734817504882812,40,69,29,49,46,60,14,49,0.25,False
36,96372106,6,10637331,2,60,0.16055893898010254,33,53,20,37,35,50,15,37,0.25,False
37,96372106,6,10637332,2,60,0.14815783500671387,40,59,19,47,43,51,8,46,0.25,False
38,96372106,6,10637333,2,60,3.609010696411133,52,69,17,61,56,65,9,61,0.25,False
39,96372106,6,10637334,2,60,0.015252828598022461,50,75,25,63,56,65,9,63,0.25,False
40,96372106,6,10637335,2,60,0.006680727005004883,27,39,12,31,29,37,8,31,0.25,False
41,96372106,6,10637336,2,60,0.12260794639587402,64,101,37,82,70,86,16,82,0.25,False
42,96372106,6,10637337,2,60,0.04004335403442383,38,55,17,44,40,50,10,44,0.25,False
43,96372106,6,10637338,2,60,0.23050832748413086,52,74,22,64,60,68,8,64,0.25,False
44,96372106,6,10637339,2,60,22.773317098617554,53,81,28,68,62,73,11,68,0.25,False
45,96372106,6,10637340,2,60,0.06944513320922852,41,68,27,53,44,63,19,53,0.25,False
46,96372106,6,10637341,2,60,0.016274690628051758,39,65,26,55,49,57,8,55,0.25,False
47,96372106,6,10637342,2,60,0.055602312088012695,40,61,21,47,44,53,9,47,0.25,False
48,96372106,6,10637343,2,60,0.010997772216796875,36,57,21,43,42,47,5,43,0.25,False
49,96372106,6,10637344,2,60,0.5308773517608643,42,65,23,49,46,58,12,49,0.25,False
50,96372106,6,10637345,2,60,0.07992959022521973,59,95,36,76,73,78,5,76,0.25,False
