Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,9,10637296,1,60,0.24037742614746094,54,66,12,66,63,67,4,67,0.5,uniform,True
2,96372106,9,10637297,1,60,0.30915355682373047,63,78,15,78,79,81,2,81,0.5,uniform,True
3,96372106,9,10637298,1,60,0.26627039909362793,61,72,11,72,71,72,1,72,0.5,uniform,True
4,96372106,9,10637299,1,60,1.5109329223632812,67,88,21,88,83,87,4,87,0.5,uniform,True
5,96372106,9,10637300,1,60,1.5728142261505127,77,92,15,92,87,90,3,90,0.5,uniform,True
6,96372106,9,10637301,1,60,0.826777458190918,47,63,16,63,61,62,1,62,0.5,uniform,True
7,96372106,9,10637302,1,60,1.126981258392334,76,93,17,93,91,93,2,93,0.5,uniform,True
8,96372106,9,10637303,1,60,0.03390932083129883,51,66,15,66,63,66,3,66,0.5,uniform,True
9,96372106,9,10637304,1,60,0.0927269458770752,44,60,16,60,60,61,1,61,0.5,uniform,True
10,96372106,9,10637305,1,60,29.418301105499268,64,83,19,83,80,83,3,83,0.5,uniform,True
11,96372106,9,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
12,96372106,9,10637307,1,60,1.420226812362671,60,82,22,82,75,81,6,81,0.5,uniform,True
13,96372106,9,10637308,1,60,0.3650474548339844,71,90,19,90,83,87,4,87,0.5,uniform,True
14,96372106,9,10637309,1,60,0.160569429397583,61,79,18,79,69,77,8,77,0.5,uniform,True
15,96372106,9,10637310,1,60,22.03811478614807,68,84,16,84,78,80,2,80,0.5,uniform,True
16,96372106,9,10637311,1,60,0.06781840324401855,60,78,18,78,72,78,6,78,0.5,uniform,True
17,96372106,9,10637312,1,60,0.4098663330078125,53,64,11,64,64,64,0,64,0.5,uniform,True
18,96372106,9,10637313,1,60,0.2304079532623291,66,82,16,82,77,83,6,83,0.5,uniform,True
19,96372106,9,10637314,1,60,9.258218765258789,73,92,19,92,94,97,3,97,0.5,uniform,True
20,96372106,9,10637315,1,60,0.2034311294555664,77,97,20,97,98,99,1,99,0.5,uniform,True
21,96372106,9,10637316,1,60,2.227018356323242,70,90,20,90,84,89,5,89,0.5,uniform,True
22,96372106,9,10637317,1,60,0.08179211616516113,65,86,21,86,79,86,7,86,0.5,uniform,True
23,96372106,9,10637318,1,60,0.06581449508666992,49,64,15,64,61,63,2,63,0.5,uniform,True
24,96372106,9,10637319,1,60,14.317705869674683,67,85,18,85,82,84,2,84,0.5,uniform,True
25,96372106,9,10637320,1,60,0.08076238632202148,50,63,13,63,61,64,3,64,0.5,uniform,True
26,96372106,9,10637321,1,60,0.2044527530670166,55,72,17,72,66,71,5,71,0.5,uniform,True
27,96372106,9,10637322,1,60,0.3759944438934326,63,77,14,77,74,76,2,76,0.5,uniform,True
28,96372106,9,10637323,1,60,2.165203332901001,66,85,19,85,83,86,3,86,0.5,uniform,True
29,96372106,9,10637324,1,60,0.08078956604003906,47,60,13,60,59,62,3,62,0.5,uniform,True
30,96372106,9,10637325,1,60,0.32913923263549805,60,79,19,79,73,76,3,76,0.5,uniform,True
31,96372106,9,10637326,1,60,0.7819035053253174,70,86,16,86,83,86,3,86,0.5,uniform,True
32,96372106,9,10637327,1,60,0.1994640827178955,53,68,15,68,58,66,8,66,0.5,uniform,True
33,96372106,9,10637328,1,60,0.09175324440002441,57,74,17,74,73,75,2,75,0.5,uniform,True
34,96372106,9,10637329,1,60,0.3799762725830078,60,81,21,81,76,80,4,80,0.5,uniform,True
35,96372106,9,10637330,1,60,0.7330405712127686,67,85,18,85,82,87,5,87,0.5,uniform,True
36,96372106,9,10637331,1,60,0.2533113956451416,52,67,15,67,63,66,3,66,0.5,uniform,True
37,96372106,9,10637332,1,60,0.04892683029174805,42,57,15,57,52,58,6,58,0.5,uniform,True
38,96372106,9,10637333,1,60,0.15655994415283203,62,75,13,75,72,74,2,74,0.5,uniform,True
39,96372106,9,10637334,1,60,0.1605677604675293,59,82,23,82,80,84,4,84,0.5,uniform,True
40,96372106,9,10637335,1,60,0.19946026802062988,53,66,13,66,65,66,1,66,0.5,uniform,True
41,96372106,9,10637336,1,60,7.469961166381836,79,98,19,98,96,99,3,99,0.5,uniform,True
42,96372106,9,10637337,1,60,0.06581664085388184,46,61,15,61,56,61,5,61,0.5,uniform,True
43,96372106,9,10637338,1,60,3.2423818111419678,62,72,10,72,70,73,3,73,0.5,uniform,True
44,96372106,9,10637339,1,60,3.5933704376220703,75,96,21,96,88,93,5,93,0.5,uniform,True
45,96372106,9,10637340,1,60,4.297475814819336,55,68,13,68,66,67,1,67,0.5,uniform,True
46,96372106,9,10637341,1,60,0.1605684757232666,51,70,19,70,69,72,3,72,0.5,uniform,True
47,96372106,9,10637342,1,60,0.07579636573791504,59,78,19,78,73,79,6,79,0.5,uniform,True
48,96372106,9,10637343,1,60,0.24136567115783691,49,66,17,66,59,64,5,64,0.5,uniform,True
49,96372106,9,10637344,1,60,0.5485327243804932,59,76,17,76,74,74,0,74,0.5,uniform,True
50,96372106,9,10637345,1,60,0.9275188446044922,70,89,19,89,90,94,4,94,0.5,uniform,True
