Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,3,10637296,2,60,0.010160207748413086,29,44,15,38,38,38,0,38,0.5,False
2,96372106,3,10637297,2,60,0.002211332321166992,17,34,17,25,25,26,1,25,0.5,False
3,96372106,3,10637298,2,60,0.36554813385009766,30,50,20,42,39,43,4,42,0.5,False
4,96372106,3,10637299,2,60,0.009662389755249023,28,44,16,36,36,38,2,36,0.5,False
5,96372106,3,10637300,2,60,0.007211208343505859,26,45,19,32,29,35,6,32,0.5,False
6,96372106,3,10637301,2,60,0.008809566497802734,31,47,16,36,36,36,0,36,0.5,False
7,96372106,3,10637302,2,60,0.015868425369262695,32,50,18,39,39,39,0,39,0.5,False
8,96372106,3,10637303,2,60,0.0018668174743652344,16,28,12,23,18,25,7,23,0.5,False
9,96372106,3,10637304,2,60,0.011357545852661133,26,39,13,36,35,36,1,36,0.5,False
10,96372106,3,10637305,2,60,0.028966903686523438,28,41,13,35,35,35,0,35,0.5,False
11,96372106,3,10637306,2,60,0.001493692398071289,12,19,7,17,13,17,4,17,0.5,False
12,96372106,3,10637307,2,60,0.013508081436157227,26,41,15,34,33,35,2,34,0.5,False
13,96372106,3,10637308,2,60,0.005499601364135742,21,36,15,28,26,30,4,28,0.5,False
14,96372106,3,10637309,2,60,0.00590968132019043,22,37,15,31,30,32,2,31,0.5,False
15,96372106,3,10637310,2,60,0.0034165382385253906,27,49,22,40,39,40,1,40,0.5,False
16,96372106,3,10637311,2,60,0.001959085464477539,21,30,9,26,26,26,0,26,0.5,False
17,96372106,3,10637312,2,60,0.004583597183227539,18,31,13,27,26,27,1,27,0.5,False
18,96372106,3,10637313,2,60,0.49566221237182617,30,51,21,43,41,44,3,43,0.5,False
19,96372106,3,10637314,2,60,0.016807079315185547,25,40,15,35,34,35,1,34,0.5,False
20,96372106,3,10637315,2,60,0.0016398429870605469,16,28,12,21,18,23,5,21,0.5,False
21,96372106,3,10637316,2,60,0.010036230087280273,26,41,15,34,34,34,0,34,0.5,False
22,96372106,3,10637317,2,60,0.0034232139587402344,26,42,16,31,30,32,2,31,0.5,False
23,96372106,3,10637318,2,60,0.0024118423461914062,17,33,16,26,25,26,1,26,0.5,False
24,96372106,3,10637319,2,60,0.0022835731506347656,19,38,19,32,28,34,6,32,0.5,False
25,96372106,3,10637320,2,60,0.0013988018035888672,13,22,9,15,15,17,2,15,0.5,False
26,96372106,3,10637321,2,60,0.0019397735595703125,20,33,13,27,26,30,4,27,0.5,False
27,96372106,3,10637322,2,60,0.003036022186279297,15,22,7,18,18,18,0,18,0.5,False
28,96372106,3,10637323,2,60,0.016968488693237305,24,37,13,29,29,29,0,29,0.5,False
29,96372106,3,10637324,2,60,0.002106904983520508,13,24,11,18,13,20,7,18,0.5,False
30,96372106,3,10637325,2,60,0.004006147384643555,16,26,10,21,21,23,2,21,0.5,False
31,96372106,3,10637326,2,60,0.17398381233215332,28,44,16,35,34,39,5,35,0.5,False
32,96372106,3,10637327,2,60,0.004592180252075195,23,35,12,26,26,30,4,26,0.5,False
33,96372106,3,10637328,2,60,0.008909940719604492,28,35,7,29,29,29,0,29,0.5,False
34,96372106,3,10637329,2,60,0.002790689468383789,22,31,9,28,28,28,0,28,0.5,False
35,96372106,3,10637330,2,60,0.0010442733764648438,10,16,6,12,12,13,1,12,0.5,False
36,96372106,3,10637331,2,60,0.002252340316772461,21,36,15,32,26,34,8,32,0.5,False
37,96372106,3,10637332,2,60,0.0013751983642578125,13,22,9,16,16,16,0,16,0.5,False
38,96372106,3,10637333,2,60,0.011405706405639648,22,35,13,28,28,28,0,28,0.5,False
39,96372106,3,10637334,2,60,0.002409219741821289,21,32,11,29,26,30,4,29,0.5,False
40,96372106,3,10637335,2,60,0.0009667873382568359,6,10,4,8,6,10,4,8,0.5,False
41,96372106,3,10637336,2,60,0.019011735916137695,28,45,17,35,33,37,4,35,0.5,False
42,96372106,3,10637337,2,60,0.017041683197021484,24,35,11,27,26,29,3,27,0.5,False
43,96372106,3,10637338,2,60,0.012012958526611328,30,45,15,37,37,37,0,37,0.5,False
44,96372106,3,10637339,2,60,0.026671886444091797,19,31,12,27,27,27,0,27,0.5,False
45,96372106,3,10637340,2,60,0.0041904449462890625,19,31,12,24,24,25,1,24,0.5,False
46,96372106,3,10637341,2,60,0.0019974708557128906,17,30,13,23,23,23,0,23,0.5,False
47,96372106,3,10637342,2,60,0.008581876754760742,20,31,11,25,25,27,2,25,0.5,False
48,96372106,3,10637343,2,60,0.0019283294677734375,16,29,13,22,21,25,4,22,0.5,False
49,96372106,3,10637344,2,60,0.004672527313232422,17,30,13,23,22,26,4,23,0.5,False
50,96372106,3,10637345,2,60,0.010622262954711914,27,51,24,39,37,41,4,39,0.5,False
