Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,6,10637296,2,60,0.016116857528686523,44,65,21,56,56,56,0,56,1.0,False
2,96372106,6,10637297,2,60,0.9012560844421387,43,63,20,51,51,51,0,51,1.0,False
3,96372106,6,10637298,2,60,0.6090970039367676,50,72,22,57,57,57,0,57,1.0,False
4,96372106,6,10637299,2,60,0.42687201499938965,56,81,25,70,69,69,0,69,1.0,False
5,96372106,6,10637300,2,60,53.08708429336548,68,96,28,88,86,86,0,86,1.0,False
6,96372106,6,10637301,2,60,0.07127785682678223,41,62,21,48,48,48,0,48,1.0,False
7,96372106,6,10637302,2,60,0.4032585620880127,67,93,26,80,79,79,0,79,1.0,False
8,96372106,6,10637303,2,60,0.00481867790222168,33,59,26,51,51,51,0,51,1.0,False
9,96372106,6,10637304,2,60,0.04660654067993164,43,63,20,53,53,53,0,53,1.0,False
10,96372106,6,10637305,2,60,0.18811702728271484,50,71,21,63,63,63,0,63,1.0,False
11,96372106,6,10637306,2,60,0.28847765922546387,52,78,26,66,66,66,0,66,1.0,False
12,96372106,6,10637307,2,60,1.38751220703125,61,88,27,76,74,74,0,74,1.0,False
13,96372106,6,10637308,2,60,0.5683844089508057,52,80,28,64,62,62,0,62,1.0,False
14,96372106,6,10637309,2,60,0.06418108940124512,45,61,16,54,54,54,0,54,1.0,False
15,96372106,6,10637310,2,60,4.697091341018677,65,96,31,79,76,76,0,76,1.0,False
16,96372106,6,10637311,2,60,0.006629228591918945,47,75,28,61,61,61,0,61,1.0,False
17,96372106,6,10637312,2,60,0.027741432189941406,35,60,25,45,45,45,0,45,1.0,False
18,96372106,6,10637313,2,60,1.1998133659362793,52,78,26,67,67,67,0,67,1.0,False
19,96372106,6,10637314,2,60,0.7677764892578125,59,83,24,68,67,67,0,67,1.0,False
20,96372106,6,10637315,2,60,0.04514002799987793,53,91,38,67,67,67,0,67,1.0,False
21,96372106,6,10637316,2,60,2.058253288269043,65,92,27,75,75,75,0,75,1.0,False
22,96372106,6,10637317,2,60,0.016791582107543945,46,68,22,57,57,57,0,57,1.0,False
23,96372106,6,10637318,2,60,0.012590646743774414,33,51,18,42,42,42,0,42,1.0,False
24,96372106,6,10637319,2,60,5.028991937637329,59,93,34,75,74,74,0,74,1.0,False
25,96372106,6,10637320,2,60,0.02468705177307129,34,53,19,42,42,42,0,42,1.0,False
26,96372106,6,10637321,2,60,0.03616499900817871,39,58,19,49,48,48,0,48,1.0,False
27,96372106,6,10637322,2,60,0.10704636573791504,42,67,25,53,52,52,0,52,1.0,False
28,96372106,6,10637323,2,60,0.1885836124420166,44,70,26,59,59,59,0,59,1.0,False
29,96372106,6,10637324,2,60,0.07034707069396973,40,58,18,47,47,47,0,47,1.0,False
30,96372106,6,10637325,2,60,0.029393672943115234,41,63,22,50,49,49,0,49,1.0,False
31,96372106,6,10637326,2,60,0.6918833255767822,58,87,29,78,78,78,0,78,1.0,False
32,96372106,6,10637327,2,60,0.021406173706054688,47,75,28,60,59,59,0,59,1.0,False
33,96372106,6,10637328,2,60,0.04664897918701172,57,82,25,67,67,67,0,67,1.0,False
34,96372106,6,10637329,2,60,0.07010197639465332,54,76,22,67,67,67,0,67,1.0,False
35,96372106,6,10637330,2,60,0.015394926071166992,40,69,29,49,49,49,0,49,1.0,False
36,96372106,6,10637331,2,60,0.1655898094177246,33,53,20,37,37,37,0,37,1.0,False
37,96372106,6,10637332,2,60,0.15083813667297363,40,59,19,47,46,46,0,46,1.0,False
38,96372106,6,10637333,2,60,3.6158676147460938,52,69,17,61,61,61,0,61,1.0,False
39,96372106,6,10637334,2,60,0.017560720443725586,50,75,25,63,63,63,0,63,1.0,False
40,96372106,6,10637335,2,60,0.007551431655883789,27,39,12,31,31,31,0,31,1.0,False
41,96372106,6,10637336,2,60,0.1279435157775879,64,101,37,82,82,82,0,82,1.0,False
42,96372106,6,10637337,2,60,0.04328298568725586,38,55,17,44,44,44,0,44,1.0,False
43,96372106,6,10637338,2,60,0.23491525650024414,52,74,22,64,64,64,0,64,1.0,False
44,96372106,6,10637339,2,60,20.310561656951904,53,81,28,68,66,66,0,66,1.0,False
45,96372106,6,10637340,2,60,0.07194066047668457,41,68,27,53,53,53,0,53,1.0,False
46,96372106,6,10637341,2,60,0.01860666275024414,39,65,26,55,55,55,0,55,1.0,False
47,96372106,6,10637342,2,60,0.05693554878234863,40,61,21,47,47,47,0,47,1.0,False
48,96372106,6,10637343,2,60,0.012957096099853516,36,57,21,43,43,43,0,43,1.0,False
49,96372106,6,10637344,2,60,0.5334115028381348,42,65,23,49,49,49,0,49,1.0,False
50,96372106,6,10637345,2,60,0.08330702781677246,59,95,36,76,76,76,0,76,1.0,False
