Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,12,10637296,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
2,96372106,12,10637297,2,60,22.408230304718018,116,151,35,131,131,0,0.75,True
3,96372106,12,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
4,96372106,12,10637299,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
5,96372106,12,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
6,96372106,12,10637301,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
7,96372106,12,10637302,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
8,96372106,12,10637303,2,60,1.112133502960205,90,132,42,108,111,3,0.75,True
9,96372106,12,10637304,2,60,0.2858424186706543,71,100,29,85,87,2,0.75,True
10,96372106,12,10637305,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
11,96372106,12,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
12,96372106,12,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
13,96372106,12,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
14,96372106,12,10637309,2,60,30.973206281661987,112,146,34,117,120,3,0.75,True
15,96372106,12,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
16,96372106,12,10637311,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
17,96372106,12,10637312,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
18,96372106,12,10637313,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
19,96372106,12,10637314,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
20,96372106,12,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
21,96372106,12,10637316,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
22,96372106,12,10637317,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
23,96372106,12,10637318,2,60,6.7996861934661865,94,133,39,117,117,0,0.75,True
24,96372106,12,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
25,96372106,12,10637320,2,60,35.89325737953186,85,124,39,104,107,3,0.75,True
26,96372106,12,10637321,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
27,96372106,12,10637322,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
28,96372106,12,10637323,2,60,24.253153800964355,101,131,30,114,115,1,0.75,True
29,96372106,12,10637324,2,60,10.640532970428467,86,113,27,94,96,2,0.75,True
30,96372106,12,10637325,2,60,18.506951808929443,91,127,36,102,103,1,0.75,True
31,96372106,12,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
32,96372106,12,10637327,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
33,96372106,12,10637328,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
34,96372106,12,10637329,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
35,96372106,12,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
36,96372106,12,10637331,2,60,7.550552129745483,84,120,36,97,105,8,0.75,True
37,96372106,12,10637332,2,60,1.2716524600982666,70,95,25,75,76,1,0.75,True
38,96372106,12,10637333,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
39,96372106,12,10637334,2,60,0.9065725803375244,107,145,38,126,127,1,0.75,True
40,96372106,12,10637335,2,60,12.870621681213379,86,120,34,95,96,1,0.75,True
41,96372106,12,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
42,96372106,12,10637337,2,60,12.693028688430786,78,111,33,91,92,1,0.75,True
43,96372106,12,10637338,2,60,47.91582465171814,94,134,40,112,113,1,0.75,True
44,96372106,12,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
45,96372106,12,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
46,96372106,12,10637341,2,60,12.952331066131592,86,121,35,104,107,3,0.75,True
47,96372106,12,10637342,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
48,96372106,12,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
49,96372106,12,10637344,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
50,96372106,12,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
