Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,11,10637296,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
2,96372106,11,10637297,2,60,4.535809278488159,92,132,40,132,128,131,3,131,0.5,uniform,True
3,96372106,11,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
4,96372106,11,10637299,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
5,96372106,11,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
6,96372106,11,10637301,2,60,59.782750606536865,84,128,44,128,120,128,8,128,0.5,uniform,True
7,96372106,11,10637302,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
8,96372106,11,10637303,2,60,0.2732701301574707,75,114,39,114,103,114,11,114,0.5,uniform,True
9,96372106,11,10637304,2,60,0.1406259536743164,63,90,27,90,87,90,3,90,0.5,uniform,True
10,96372106,11,10637305,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
11,96372106,11,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
12,96372106,11,10637307,2,60,46.419214487075806,99,136,37,136,127,131,4,131,0.5,uniform,True
13,96372106,11,10637308,2,60,38.08814811706543,97,142,45,142,133,141,8,141,0.5,uniform,True
14,96372106,11,10637309,2,60,3.8057796955108643,104,133,29,133,124,132,8,132,0.5,uniform,True
15,96372106,11,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
16,96372106,11,10637311,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
17,96372106,11,10637312,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
18,96372106,11,10637313,2,60,20.456523895263672,101,134,33,134,128,131,3,131,0.5,uniform,True
19,96372106,11,10637314,2,60,44.3952271938324,99,136,37,136,127,138,11,138,0.5,uniform,True
20,96372106,11,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
21,96372106,11,10637316,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
22,96372106,11,10637317,2,60,6.150545597076416,90,132,42,132,122,132,10,132,0.5,uniform,True
23,96372106,11,10637318,2,60,0.10867500305175781,74,115,41,115,104,114,10,114,0.5,uniform,True
24,96372106,11,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
25,96372106,11,10637320,2,60,1.227738380432129,80,118,38,118,113,115,2,115,0.5,uniform,True
26,96372106,11,10637321,2,60,19.77885675430298,84,122,38,122,109,121,12,121,0.5,uniform,True
27,96372106,11,10637322,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
28,96372106,11,10637323,2,60,7.48101019859314,95,131,36,131,117,129,12,129,0.5,uniform,True
29,96372106,11,10637324,2,60,13.276481628417969,85,112,27,112,104,109,5,109,0.5,uniform,True
30,96372106,11,10637325,2,60,50.97763109207153,84,114,30,114,110,116,6,116,0.5,uniform,True
31,96372106,11,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
32,96372106,11,10637327,2,60,0.47866392135620117,77,119,42,119,104,113,9,113,0.5,uniform,True
33,96372106,11,10637328,2,60,2.4165358543395996,93,129,36,129,135,138,3,138,0.5,uniform,True
34,96372106,11,10637329,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
35,96372106,11,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
36,96372106,11,10637331,2,60,4.082103967666626,76,106,30,106,105,109,4,109,0.5,uniform,True
37,96372106,11,10637332,2,60,1.875009536743164,69,93,24,93,89,91,2,91,0.5,uniform,True
38,96372106,11,10637333,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
39,96372106,11,10637334,2,60,0.39098525047302246,95,134,39,134,138,141,3,141,0.5,uniform,True
40,96372106,11,10637335,2,60,11.25320553779602,85,117,32,117,107,116,9,116,0.5,uniform,True
41,96372106,11,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
42,96372106,11,10637337,2,60,0.8905928134918213,74,105,31,105,103,105,2,105,0.5,uniform,True
43,96372106,11,10637338,2,60,35.91846966743469,91,130,39,130,129,130,1,130,0.5,uniform,True
44,96372106,11,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
45,96372106,11,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
46,96372106,11,10637341,2,60,0.7489423751831055,78,110,32,110,110,113,3,113,0.5,uniform,True
47,96372106,11,10637342,2,60,16.683310985565186,90,134,44,134,127,133,6,133,0.5,uniform,True
48,96372106,11,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
49,96372106,11,10637344,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
50,96372106,11,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
