Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,10,10637296,1,60,0.5036699771881104,65,81,16,71,71,0,1.0,True
2,96372106,10,10637297,1,60,1.5648384094238281,70,90,20,80,80,0,1.0,True
3,96372106,10,10637298,1,60,0.7101571559906006,72,83,11,79,79,0,1.0,True
4,96372106,10,10637299,1,60,13.75124716758728,77,97,20,86,86,0,1.0,True
5,96372106,10,10637300,1,60,1.9816968441009521,79,96,17,87,87,0,1.0,True
6,96372106,10,10637301,1,60,1.1219990253448486,56,72,16,63,63,0,1.0,True
7,96372106,10,10637302,1,60,5.544131755828857,88,108,20,94,94,0,1.0,True
8,96372106,10,10637303,1,60,0.07776594161987305,57,73,16,66,66,0,1.0,True
9,96372106,10,10637304,1,60,0.08975481986999512,47,65,18,57,57,0,1.0,True
10,96372106,10,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,1.0,True
11,96372106,10,10637306,1,60,17.77849054336548,79,89,10,76,76,0,1.0,True
12,96372106,10,10637307,1,60,5.587082147598267,71,90,19,73,73,0,1.0,True
13,96372106,10,10637308,1,60,0.4388091564178467,77,100,23,90,90,0,1.0,True
14,96372106,10,10637309,1,60,0.7090916633605957,75,95,20,84,84,0,1.0,True
15,96372106,10,10637310,1,60,26.752439975738525,80,97,17,87,87,0,1.0,True
16,96372106,10,10637311,1,60,0.4747192859649658,70,86,16,80,80,0,1.0,True
17,96372106,10,10637312,1,60,0.5126280784606934,56,69,13,59,59,0,1.0,True
18,96372106,10,10637313,1,60,0.683157205581665,78,96,18,90,90,0,1.0,True
19,96372106,10,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,1.0,True
20,96372106,10,10637315,1,60,1.351414442062378,83,102,19,88,88,0,1.0,True
21,96372106,10,10637316,1,60,37.25729417800903,81,99,18,86,86,0,1.0,True
22,96372106,10,10637317,1,60,0.6961216926574707,75,96,21,82,82,0,1.0,True
23,96372106,10,10637318,1,60,0.13464117050170898,56,75,19,63,63,0,1.0,True
24,96372106,10,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,1.0,True
25,96372106,10,10637320,1,60,0.1805412769317627,60,74,14,64,64,0,1.0,True
26,96372106,10,10637321,1,60,23.09124994277954,64,82,18,68,68,0,1.0,True
27,96372106,10,10637322,1,60,1.156905174255371,70,85,15,74,74,0,1.0,True
28,96372106,10,10637323,1,60,14.928056955337524,79,97,18,89,89,0,1.0,True
29,96372106,10,10637324,1,60,0.36702656745910645,56,69,13,64,64,0,1.0,True
30,96372106,10,10637325,1,60,2.5142462253570557,61,81,20,65,65,0,1.0,True
31,96372106,10,10637326,1,60,1.2007765769958496,72,89,17,84,84,0,1.0,True
32,96372106,10,10637327,1,60,0.2313709259033203,63,78,15,66,66,0,1.0,True
33,96372106,10,10637328,1,60,1.4361586570739746,65,84,19,77,77,0,1.0,True
34,96372106,10,10637329,1,60,0.3999335765838623,63,85,22,71,71,0,1.0,True
35,96372106,10,10637330,1,60,4.377249717712402,78,94,16,87,87,0,1.0,True
36,96372106,10,10637331,1,60,1.0541467666625977,61,75,14,63,63,0,1.0,True
37,96372106,10,10637332,1,60,0.15755176544189453,52,67,15,58,58,0,1.0,True
38,96372106,10,10637333,1,60,0.4446389675140381,67,82,15,71,71,0,1.0,True
39,96372106,10,10637334,1,60,1.6585633754730225,70,94,24,82,82,0,1.0,True
40,96372106,10,10637335,1,60,0.28623247146606445,59,74,15,68,68,0,1.0,True
41,96372106,10,10637336,1,60,7.399178743362427,84,106,22,90,90,0,1.0,True
42,96372106,10,10637337,1,60,0.21545839309692383,56,73,17,61,61,0,1.0,True
43,96372106,10,10637338,1,60,1.7612991333007812,71,85,14,74,74,0,1.0,True
44,96372106,10,10637339,1,60,1.891937494277954,81,103,22,94,94,0,1.0,True
45,96372106,10,10637340,1,60,27.293976306915283,66,80,14,72,72,0,1.0,True
46,96372106,10,10637341,1,60,0.7420134544372559,60,72,12,64,64,0,1.0,True
47,96372106,10,10637342,1,60,0.20442914962768555,67,85,18,78,78,0,1.0,True
48,96372106,10,10637343,1,60,0.4936857223510742,60,79,19,67,67,0,1.0,True
49,96372106,10,10637344,1,60,5.794510126113892,72,90,18,81,81,0,1.0,True
50,96372106,10,10637345,1,60,1.3154802322387695,81,99,18,88,88,0,1.0,True
