Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,8,10637296,0,60,0.0171201229095459,44,44,0,44,44,44,0,44,0.25,False
2,96372106,8,10637297,0,60,0.02828073501586914,47,47,0,47,47,47,0,47,0.25,False
3,96372106,8,10637298,0,60,0.009371519088745117,44,44,0,44,44,44,0,44,0.25,False
4,96372106,8,10637299,0,60,0.008794784545898438,52,52,0,52,52,52,0,52,0.25,False
5,96372106,8,10637300,0,60,0.012408018112182617,55,55,0,55,55,55,0,55,0.25,False
6,96372106,8,10637301,0,60,0.01779341697692871,40,40,0,40,40,40,0,40,0.25,False
7,96372106,8,10637302,0,60,0.015563249588012695,56,56,0,56,56,56,0,56,0.25,False
8,96372106,8,10637303,0,60,0.021704912185668945,42,42,0,42,42,42,0,42,0.25,False
9,96372106,8,10637304,0,60,0.008440732955932617,33,33,0,33,33,33,0,33,0.25,False
10,96372106,8,10637305,0,60,0.03894925117492676,41,41,0,41,41,41,0,41,0.25,False
11,96372106,8,10637306,0,60,0.015233755111694336,48,48,0,48,48,48,0,48,0.25,False
12,96372106,8,10637307,0,60,0.017271041870117188,46,46,0,46,46,46,0,46,0.25,False
13,96372106,8,10637308,0,60,0.043137550354003906,54,54,0,54,54,54,0,54,0.25,False
14,96372106,8,10637309,0,60,0.008802413940429688,42,42,0,42,42,42,0,42,0.25,False
15,96372106,8,10637310,0,60,0.018589019775390625,51,51,0,51,51,51,0,51,0.25,False
16,96372106,8,10637311,0,60,0.015921354293823242,47,47,0,47,47,47,0,47,0.25,False
17,96372106,8,10637312,0,60,0.024931907653808594,38,38,0,38,38,38,0,38,0.25,False
18,96372106,8,10637313,0,60,0.02166748046875,49,49,0,49,49,49,0,49,0.25,False
19,96372106,8,10637314,0,60,0.05686354637145996,50,50,0,50,50,50,0,50,0.25,False
20,96372106,8,10637315,0,60,0.03695249557495117,62,62,0,62,62,62,0,62,0.25,False
21,96372106,8,10637316,0,60,0.04089832305908203,52,52,0,52,52,52,0,52,0.25,False
22,96372106,8,10637317,0,60,0.014369010925292969,49,49,0,49,49,49,0,49,0.25,False
23,96372106,8,10637318,0,60,0.006306886672973633,36,36,0,36,36,36,0,36,0.25,False
24,96372106,8,10637319,0,60,0.04768824577331543,52,52,0,52,52,52,0,52,0.25,False
25,96372106,8,10637320,0,60,0.005639314651489258,32,32,0,32,32,32,0,32,0.25,False
26,96372106,8,10637321,0,60,0.03276562690734863,41,41,0,41,41,41,0,41,0.25,False
27,96372106,8,10637322,0,60,0.09311652183532715,50,50,0,50,50,50,0,50,0.25,False
28,96372106,8,10637323,0,60,0.017713546752929688,53,53,0,53,53,53,0,53,0.25,False
29,96372106,8,10637324,0,60,0.016606569290161133,34,34,0,34,34,34,0,34,0.25,False
30,96372106,8,10637325,0,60,0.01332545280456543,40,40,0,40,40,40,0,40,0.25,False
31,96372106,8,10637326,0,60,0.030777931213378906,54,54,0,54,54,54,0,54,0.25,False
32,96372106,8,10637327,0,60,0.0065991878509521484,39,39,0,39,39,39,0,39,0.25,False
33,96372106,8,10637328,0,60,0.14963865280151367,48,48,0,48,48,48,0,48,0.25,False
34,96372106,8,10637329,0,60,0.015474319458007812,45,45,0,45,45,45,0,45,0.25,False
35,96372106,8,10637330,0,60,0.013808727264404297,50,50,0,50,50,50,0,50,0.25,False
36,96372106,8,10637331,0,60,0.013065099716186523,34,34,0,34,34,34,0,34,0.25,False
37,96372106,8,10637332,0,60,0.005927085876464844,33,33,0,33,33,33,0,33,0.25,False
38,96372106,8,10637333,0,60,0.008167505264282227,42,42,0,42,42,42,0,42,0.25,False
39,96372106,8,10637334,0,60,0.006224155426025391,44,44,0,44,44,44,0,44,0.25,False
40,96372106,8,10637335,0,60,0.008585691452026367,35,35,0,35,35,35,0,35,0.25,False
41,96372106,8,10637336,0,60,0.014290809631347656,59,59,0,59,59,59,0,59,0.25,False
42,96372106,8,10637337,0,60,0.014019250869750977,36,36,0,36,36,36,0,36,0.25,False
43,96372106,8,10637338,0,60,0.0104827880859375,48,48,0,48,48,48,0,48,0.25,False
44,96372106,8,10637339,0,60,0.017183780670166016,56,56,0,56,56,56,0,56,0.25,False
45,96372106,8,10637340,0,60,0.0533747673034668,41,41,0,41,41,41,0,41,0.25,False
46,96372106,8,10637341,0,60,0.0073544979095458984,44,44,0,44,44,44,0,44,0.25,False
47,96372106,8,10637342,0,60,0.009145736694335938,44,44,0,44,44,44,0,44,0.25,False
48,96372106,8,10637343,0,60,0.009522199630737305,38,38,0,38,38,38,0,38,0.25,False
49,96372106,8,10637344,0,60,0.08773636817932129,43,43,0,43,43,43,0,43,0.25,False
50,96372106,8,10637345,0,60,0.015317916870117188,53,53,0,53,53,53,0,53,0.25,False
