Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,10,10637296,0,60,0.28324198722839355,53,53,0,53,53,0,0.75,True
2,96372106,10,10637297,0,60,0.2922182083129883,57,57,0,57,57,0,0.75,True
3,96372106,10,10637298,0,60,0.07577204704284668,57,57,0,57,57,0,0.75,True
4,96372106,10,10637299,0,60,0.10669994354248047,62,62,0,62,62,0,0.75,True
5,96372106,10,10637300,0,60,0.39400362968444824,66,66,0,66,66,0,0.75,True
6,96372106,10,10637301,0,60,0.26129841804504395,48,48,0,48,48,0,0.75,True
7,96372106,10,10637302,0,60,0.16954565048217773,71,71,0,71,71,0,0.75,True
8,96372106,10,10637303,0,60,0.14857792854309082,50,50,0,50,50,0,0.75,True
9,96372106,10,10637304,0,60,0.06581234931945801,41,41,0,41,41,0,0.75,True
10,96372106,10,10637305,0,60,0.26824307441711426,59,59,0,59,59,0,0.75,True
11,96372106,10,10637306,0,60,0.23334240913391113,58,58,0,58,58,0,0.75,True
12,96372106,10,10637307,0,60,0.32210588455200195,57,57,0,57,57,0,0.75,True
13,96372106,10,10637308,0,60,0.24434971809387207,64,64,0,64,64,0,0.75,True
14,96372106,10,10637309,0,60,0.11768317222595215,60,60,0,60,60,0,0.75,True
15,96372106,10,10637310,0,60,0.26528048515319824,63,63,0,63,63,0,0.75,True
16,96372106,10,10637311,0,60,0.1345961093902588,58,58,0,58,58,0,0.75,True
17,96372106,10,10637312,0,60,0.5425682067871094,46,46,0,46,46,0,0.75,True
18,96372106,10,10637313,0,60,0.6023914813995361,64,64,0,64,64,0,0.75,True
19,96372106,10,10637314,0,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
20,96372106,10,10637315,0,60,0.6004488468170166,70,70,0,71,71,0,0.75,True
21,96372106,10,10637316,0,60,0.2632942199707031,59,59,0,59,59,0,0.75,True
22,96372106,10,10637317,0,60,0.20844197273254395,61,61,0,61,61,0,0.75,True
23,96372106,10,10637318,0,60,0.07280516624450684,49,49,0,49,49,0,0.75,True
24,96372106,10,10637319,0,60,5.192164659500122,59,59,0,61,61,0,0.75,True
25,96372106,10,10637320,0,60,0.1545860767364502,49,49,0,49,49,0,0.75,True
26,96372106,10,10637321,0,60,0.32213830947875977,52,52,0,55,55,0,0.75,True
27,96372106,10,10637322,0,60,0.44081926345825195,58,58,0,58,58,0,0.75,True
28,96372106,10,10637323,0,60,12.921430349349976,67,67,0,69,69,0,0.75,True
29,96372106,10,10637324,0,60,0.2732686996459961,45,45,0,45,45,0,0.75,True
30,96372106,10,10637325,0,60,0.46379518508911133,49,49,0,50,50,0,0.75,True
31,96372106,10,10637326,0,60,0.23740029335021973,57,57,0,57,57,0,0.75,True
32,96372106,10,10637327,0,60,0.059839725494384766,51,51,0,51,51,0,0.75,True
33,96372106,10,10637328,0,60,2.628004550933838,54,54,0,54,54,0,0.75,True
34,96372106,10,10637329,0,60,0.17957544326782227,55,55,0,55,55,0,0.75,True
35,96372106,10,10637330,0,60,0.5047054290771484,63,63,0,63,63,0,0.75,True
36,96372106,10,10637331,0,60,0.15957260131835938,47,47,0,47,47,0,0.75,True
37,96372106,10,10637332,0,60,0.08676743507385254,44,44,0,44,44,0,0.75,True
38,96372106,10,10637333,0,60,0.10574150085449219,53,53,0,53,53,0,0.75,True
39,96372106,10,10637334,0,60,0.17256927490234375,59,59,0,59,59,0,0.75,True
40,96372106,10,10637335,0,60,0.11569046974182129,48,48,0,48,48,0,0.75,True
41,96372106,10,10637336,0,60,0.33610081672668457,72,72,0,74,74,0,0.75,True
42,96372106,10,10637337,0,60,0.2044527530670166,47,47,0,47,47,0,0.75,True
43,96372106,10,10637338,0,60,0.12466573715209961,59,59,0,59,59,0,0.75,True
44,96372106,10,10637339,0,60,0.6303138732910156,67,67,0,69,69,0,0.75,True
45,96372106,10,10637340,0,60,0.5794868469238281,54,54,0,54,54,0,0.75,True
46,96372106,10,10637341,0,60,0.10172629356384277,50,50,0,50,50,0,0.75,True
47,96372106,10,10637342,0,60,1.8769950866699219,57,57,0,57,57,0,0.75,True
48,96372106,10,10637343,0,60,0.10671281814575195,52,52,0,52,52,0,0.75,True
49,96372106,10,10637344,0,60,0.4587836265563965,55,55,0,55,55,0,0.75,True
50,96372106,10,10637345,0,60,0.24340391159057617,66,66,0,66,66,0,0.75,True
