Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,10,10637296,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
2,96372106,10,10637297,2,60,2.8504626750946045,87,121,34,103,100,105,5,103,0.5,False
3,96372106,10,10637298,2,60,6.504239082336426,89,121,32,103,98,103,5,101,0.5,False
4,96372106,10,10637299,2,60,35.056232929229736,95,129,34,112,109,111,2,110,0.5,False
5,96372106,10,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
6,96372106,10,10637301,2,60,17.36601686477661,69,103,34,85,77,87,10,83,0.5,False
7,96372106,10,10637302,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
8,96372106,10,10637303,2,60,0.08487129211425781,67,104,37,84,79,90,11,83,0.5,False
9,96372106,10,10637304,2,60,0.07003188133239746,61,87,26,70,69,73,4,70,0.5,False
10,96372106,10,10637305,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
11,96372106,10,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
12,96372106,10,10637307,2,60,31.9799587726593,95,130,35,114,109,114,5,111,0.5,False
13,96372106,10,10637308,2,60,25.457018852233887,95,140,45,112,110,115,5,111,0.5,False
14,96372106,10,10637309,2,60,0.5248363018035889,95,126,31,105,101,107,6,105,0.5,False
15,96372106,10,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
16,96372106,10,10637311,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
17,96372106,10,10637312,2,60,4.660107851028442,67,95,28,83,80,85,5,82,0.5,False
18,96372106,10,10637313,2,60,55.04014992713928,100,132,32,116,113,121,8,116,0.5,False
19,96372106,10,10637314,2,60,30.171615839004517,94,130,36,115,112,119,7,114,0.5,False
20,96372106,10,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
21,96372106,10,10637316,2,60,22.380109548568726,91,127,36,103,100,105,5,103,0.5,False
22,96372106,10,10637317,2,60,0.21402311325073242,87,126,39,104,104,104,0,104,0.5,False
23,96372106,10,10637318,2,60,0.0320429801940918,68,106,38,94,90,98,8,94,0.5,False
24,96372106,10,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
25,96372106,10,10637320,2,60,0.6411454677581787,71,106,35,80,76,79,3,78,0.5,False
26,96372106,10,10637321,2,60,3.9589860439300537,78,113,35,96,93,97,4,93,0.5,False
27,96372106,10,10637322,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
28,96372106,10,10637323,2,60,6.893688917160034,88,124,36,109,106,114,8,109,0.5,False
29,96372106,10,10637324,2,60,0.8259837627410889,71,95,24,88,84,87,3,86,0.5,False
30,96372106,10,10637325,2,60,7.920684814453125,78,112,34,90,86,98,12,89,0.5,False
31,96372106,10,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
32,96372106,10,10637327,2,60,0.14692330360412598,69,106,37,88,81,89,8,87,0.5,False
33,96372106,10,10637328,2,60,1.3674421310424805,82,112,30,94,93,95,2,94,0.5,False
34,96372106,10,10637329,2,60,0.18101191520690918,80,117,37,102,100,106,6,102,0.5,False
35,96372106,10,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
36,96372106,10,10637331,2,60,2.799729108810425,74,103,29,94,88,94,6,94,0.5,False
37,96372106,10,10637332,2,60,0.7084720134735107,66,89,23,78,74,79,5,78,0.5,False
38,96372106,10,10637333,2,60,11.374919176101685,82,116,34,101,94,103,9,99,0.5,False
39,96372106,10,10637334,2,60,0.19503569602966309,88,123,35,106,99,107,8,105,0.5,False
40,96372106,10,10637335,2,60,0.5838601589202881,75,106,31,93,91,95,4,93,0.5,False
41,96372106,10,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
42,96372106,10,10637337,2,60,0.18289971351623535,66,94,28,82,82,84,2,82,0.5,False
43,96372106,10,10637338,2,60,5.186919450759888,83,116,33,104,102,106,4,104,0.5,False
44,96372106,10,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
45,96372106,10,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
46,96372106,10,10637341,2,60,0.9209837913513184,68,99,31,86,83,88,5,86,0.5,False
47,96372106,10,10637342,2,60,0.6442201137542725,79,125,46,97,95,99,4,95,0.5,False
48,96372106,10,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
49,96372106,10,10637344,2,60,56.584550619125366,88,116,28,105,101,104,3,103,0.5,False
50,96372106,10,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
