Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,7,10637296,2,60,0.26925134658813477,49,80,31,61,59,65,6,61,0.5,False
2,96372106,7,10637297,2,60,2.6302359104156494,54,75,21,62,62,65,3,62,0.5,False
3,96372106,7,10637298,2,60,1.2075400352478027,55,80,25,68,67,70,3,68,0.5,False
4,96372106,7,10637299,2,60,10.872116327285767,75,103,28,92,86,92,6,91,0.5,False
5,96372106,7,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
6,96372106,7,10637301,2,60,0.13868379592895508,44,69,25,58,55,65,10,58,0.5,False
7,96372106,7,10637302,2,60,0.7352850437164307,68,99,31,83,83,86,3,83,0.5,False
8,96372106,7,10637303,2,60,0.09067821502685547,47,77,30,63,62,65,3,62,0.5,False
9,96372106,7,10637304,2,60,0.09973597526550293,48,69,21,58,57,60,3,58,0.5,False
10,96372106,7,10637305,2,60,3.4660184383392334,55,83,28,66,66,69,3,66,0.5,False
11,96372106,7,10637306,2,60,0.6685783863067627,57,80,23,72,71,73,2,72,0.5,False
12,96372106,7,10637307,2,60,4.63044810295105,70,99,29,85,82,89,7,85,0.5,False
13,96372106,7,10637308,2,60,0.6353988647460938,66,99,33,85,81,85,4,83,0.5,False
14,96372106,7,10637309,2,60,0.12013626098632812,53,76,23,67,60,70,10,67,0.5,False
15,96372106,7,10637310,2,60,13.481684446334839,71,105,34,86,83,88,5,85,0.5,False
16,96372106,7,10637311,2,60,0.027956247329711914,55,85,30,69,66,77,11,69,0.5,False
17,96372106,7,10637312,2,60,0.2983071804046631,42,63,21,53,51,55,4,53,0.5,False
18,96372106,7,10637313,2,60,2.5779266357421875,62,92,30,75,73,78,5,75,0.5,False
19,96372106,7,10637314,2,60,1.715224027633667,72,100,28,86,83,88,5,86,0.5,False
20,96372106,7,10637315,2,60,2.536175012588501,69,106,37,89,80,95,15,89,0.5,False
21,96372106,7,10637316,2,60,3.7217700481414795,74,104,30,88,86,90,4,88,0.5,False
22,96372106,7,10637317,2,60,0.08676815032958984,60,87,27,75,73,75,2,75,0.5,False
23,96372106,7,10637318,2,60,0.02690267562866211,39,61,22,51,49,54,5,51,0.5,False
24,96372106,7,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
25,96372106,7,10637320,2,60,0.050849199295043945,40,63,23,54,51,58,7,54,0.5,False
26,96372106,7,10637321,2,60,0.11962032318115234,46,72,26,54,50,54,4,53,0.5,False
27,96372106,7,10637322,2,60,4.089449882507324,59,85,26,71,68,75,7,71,0.5,False
28,96372106,7,10637323,2,60,0.6203403472900391,62,82,20,74,73,75,2,74,0.5,False
29,96372106,7,10637324,2,60,1.2890543937683105,50,67,17,54,53,55,2,54,0.5,False
30,96372106,7,10637325,2,60,0.5924167633056641,54,74,20,60,60,64,4,60,0.5,False
31,96372106,7,10637326,2,60,1.7757830619812012,71,103,32,89,85,92,7,88,0.5,False
32,96372106,7,10637327,2,60,0.03193402290344238,50,80,30,62,59,64,5,62,0.5,False
33,96372106,7,10637328,2,60,0.23735928535461426,65,94,29,81,79,80,1,80,0.5,False
34,96372106,7,10637329,2,60,0.15066266059875488,58,81,23,70,67,75,8,70,0.5,False
35,96372106,7,10637330,2,60,0.12163829803466797,55,87,32,71,71,72,1,71,0.5,False
36,96372106,7,10637331,2,60,0.3945348262786865,43,66,23,55,54,60,6,55,0.5,False
37,96372106,7,10637332,2,60,0.3248608112335205,45,64,19,52,51,54,3,51,0.5,False
38,96372106,7,10637333,2,60,6.9289710521698,56,74,18,63,61,64,3,62,0.5,False
39,96372106,7,10637334,2,60,0.037915945053100586,60,86,26,75,68,83,15,75,0.5,False
40,96372106,7,10637335,2,60,0.4378783702850342,42,69,27,57,57,57,0,57,0.5,False
41,96372106,7,10637336,2,60,0.31012964248657227,72,110,38,93,90,97,7,93,0.5,False
42,96372106,7,10637337,2,60,0.07976937294006348,39,58,19,46,46,48,2,46,0.5,False
43,96372106,7,10637338,2,60,9.622520923614502,55,82,27,70,70,70,0,70,0.5,False
44,96372106,7,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
45,96372106,7,10637340,2,60,0.1825423240661621,49,76,27,64,62,66,4,64,0.5,False
46,96372106,7,10637341,2,60,0.042883872985839844,48,77,29,66,63,70,7,66,0.5,False
47,96372106,7,10637342,2,60,0.30185961723327637,52,86,34,63,57,66,9,61,0.5,False
48,96372106,7,10637343,2,60,0.02194046974182129,37,58,21,47,44,50,6,47,0.5,False
49,96372106,7,10637344,2,60,1.3538901805877686,49,70,21,62,57,66,9,62,0.5,False
50,96372106,7,10637345,2,60,1.9033105373382568,67,106,39,87,85,90,5,87,0.5,False
