Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,1,60,0.24580597877502441,0.1922762393951416,44,59,15,44,44,47,3,44,0.75,uniform,True
2,96372106,7,10637297,1,60,11.416415691375732,0.8618345260620117,45,54,9,45,45,46,1,45,0.75,uniform,True
3,96372106,7,10637298,1,60,0.23814606666564941,0.2035999298095703,46,57,11,46,46,48,2,46,0.75,uniform,True
4,96372106,7,10637299,1,60,240.64896965026855,0.8059709072113037,56,78,22,56,60,60,0,60,0.75,uniform,True
5,96372106,7,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
6,96372106,7,10637301,1,60,0.451401948928833,0.11940670013427734,35,51,16,35,35,35,0,35,0.75,uniform,True
7,96372106,7,10637302,1,60,38.95986223220825,0.5935919284820557,55,76,21,55,55,56,1,55,0.75,uniform,True
8,96372106,7,10637303,1,60,0.3413693904876709,0.07348942756652832,42,53,11,42,42,43,1,42,0.75,uniform,True
9,96372106,7,10637304,1,60,0.09787321090698242,0.07125186920166016,36,52,16,36,36,38,2,36,0.75,uniform,True
10,96372106,7,10637305,1,60,13.550546884536743,0.344585657119751,45,62,17,45,47,47,0,47,0.75,uniform,True
11,96372106,7,10637306,1,60,1.336155891418457,0.2702655792236328,43,63,20,43,45,45,0,45,0.75,uniform,True
12,96372106,7,10637307,1,60,0.571068286895752,0.30303502082824707,49,70,21,49,50,52,2,50,0.75,uniform,True
13,96372106,7,10637308,1,60,2.021682024002075,0.5745935440063477,55,71,16,55,56,57,1,56,0.75,uniform,True
14,96372106,7,10637309,1,60,2.6479499340057373,0.2244093418121338,42,58,16,42,41,42,1,41,0.75,uniform,True
15,96372106,7,10637310,1,60,101.31668186187744,0.31418418884277344,55,72,17,55,55,56,1,55,0.75,uniform,True
