Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,8,10637296,2,60,0.37200117111206055,54,90,36,62,70,8,0.75,True
2,96372106,8,10637297,2,60,5.048434257507324,73,101,28,84,84,0,0.75,True
3,96372106,8,10637298,2,60,21.506436109542847,69,95,26,78,80,2,0.75,True
4,96372106,8,10637299,2,60,13.33432674407959,79,109,30,93,97,4,0.75,True
5,96372106,8,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
6,96372106,8,10637301,2,60,2.427448272705078,56,86,30,73,73,0,0.75,True
7,96372106,8,10637302,2,60,17.604898929595947,81,114,33,92,94,2,0.75,True
8,96372106,8,10637303,2,60,0.1825098991394043,52,88,36,69,69,0,0.75,True
9,96372106,8,10637304,2,60,0.1516265869140625,50,71,21,60,60,0,0.75,True
10,96372106,8,10637305,2,60,6.745249032974243,60,93,33,73,73,0,0.75,True
11,96372106,8,10637306,2,60,60.38315963745117,69,99,30,86,89,3,0.75,True
12,96372106,8,10637307,2,60,6.75895881652832,75,106,31,83,84,1,0.75,True
13,96372106,8,10637308,2,60,44.72938871383667,82,116,34,92,92,0,0.75,True
14,96372106,8,10637309,2,60,0.26530933380126953,63,88,25,75,75,0,0.75,True
15,96372106,8,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
16,96372106,8,10637311,2,60,0.12765955924987793,61,96,35,74,76,2,0.75,True
17,96372106,8,10637312,2,60,3.556483745574951,56,79,23,66,66,0,0.75,True
18,96372106,8,10637313,2,60,2.625974416732788,69,104,35,91,92,1,0.75,True
19,96372106,8,10637314,2,60,1.6495773792266846,77,110,33,91,94,3,0.75,True
20,96372106,8,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
21,96372106,8,10637316,2,60,12.932379961013794,80,112,32,94,98,4,0.75,True
22,96372106,8,10637317,2,60,0.22240304946899414,68,102,34,83,88,5,0.75,True
23,96372106,8,10637318,2,60,0.09072089195251465,49,76,27,68,69,1,0.75,True
24,96372106,8,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
25,96372106,8,10637320,2,60,0.18650054931640625,47,74,27,54,58,4,0.75,True
26,96372106,8,10637321,2,60,0.6004507541656494,58,90,32,74,77,3,0.75,True
27,96372106,8,10637322,2,60,17.530073642730713,68,98,30,86,90,4,0.75,True
28,96372106,8,10637323,2,60,1.1489126682281494,74,97,23,88,91,3,0.75,True
29,96372106,8,10637324,2,60,1.206782341003418,53,70,17,59,59,0,0.75,True
30,96372106,8,10637325,2,60,0.8407688140869141,65,92,27,72,74,2,0.75,True
31,96372106,8,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
32,96372106,8,10637327,2,60,0.06981492042541504,53,84,31,63,68,5,0.75,True
33,96372106,8,10637328,2,60,0.470750093460083,69,97,28,81,86,5,0.75,True
34,96372106,8,10637329,2,60,0.5445070266723633,64,94,30,80,83,3,0.75,True
35,96372106,8,10637330,2,60,0.7430109977722168,70,105,35,90,91,1,0.75,True
36,96372106,8,10637331,2,60,0.9075343608856201,49,73,24,56,58,2,0.75,True
37,96372106,8,10637332,2,60,0.3171510696411133,48,67,19,54,54,0,0.75,True
38,96372106,8,10637333,2,60,4.315417289733887,67,91,24,73,73,0,0.75,True
39,96372106,8,10637334,2,60,0.3510713577270508,68,93,25,85,86,1,0.75,True
40,96372106,8,10637335,2,60,1.716371774673462,55,84,29,69,69,0,0.75,True
41,96372106,8,10637336,2,60,1.5898025035858154,80,119,39,94,94,0,0.75,True
42,96372106,8,10637337,2,60,0.22536063194274902,52,74,22,63,65,2,0.75,True
43,96372106,8,10637338,2,60,8.861255884170532,64,93,29,76,76,0,0.75,True
44,96372106,8,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
45,96372106,8,10637340,2,60,25.177661418914795,57,89,32,74,75,1,0.75,True
46,96372106,8,10637341,2,60,0.12067532539367676,55,86,31,71,74,3,0.75,True
47,96372106,8,10637342,2,60,0.31318235397338867,62,101,39,82,82,0,0.75,True
48,96372106,8,10637343,2,60,0.05285811424255371,46,75,29,61,62,1,0.75,True
49,96372106,8,10637344,2,60,9.650141716003418,60,89,29,79,84,5,0.75,True
50,96372106,8,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
