Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,8,10637296,0,60,0.019839048385620117,44,44,0,44,44,44,0,44,1.0,False
2,96372106,8,10637297,0,60,0.03352665901184082,47,47,0,47,47,47,0,47,1.0,False
3,96372106,8,10637298,0,60,0.01232004165649414,44,44,0,44,44,44,0,44,1.0,False
4,96372106,8,10637299,0,60,0.01239323616027832,52,52,0,52,52,52,0,52,1.0,False
5,96372106,8,10637300,0,60,0.01531982421875,55,55,0,55,55,55,0,55,1.0,False
6,96372106,8,10637301,0,60,0.019681930541992188,40,40,0,40,40,40,0,40,1.0,False
7,96372106,8,10637302,0,60,0.019184350967407227,56,56,0,56,56,56,0,56,1.0,False
8,96372106,8,10637303,0,60,0.024564266204833984,42,42,0,42,42,42,0,42,1.0,False
9,96372106,8,10637304,0,60,0.010104894638061523,33,33,0,33,33,33,0,33,1.0,False
10,96372106,8,10637305,0,60,0.041724205017089844,41,41,0,41,41,41,0,41,1.0,False
11,96372106,8,10637306,0,60,0.0195314884185791,48,48,0,48,48,48,0,48,1.0,False
12,96372106,8,10637307,0,60,0.019454002380371094,46,46,0,46,46,46,0,46,1.0,False
13,96372106,8,10637308,0,60,0.043521881103515625,54,54,0,54,54,54,0,54,1.0,False
14,96372106,8,10637309,0,60,0.010720252990722656,42,42,0,42,42,42,0,42,1.0,False
15,96372106,8,10637310,0,60,0.02032780647277832,51,51,0,51,51,51,0,51,1.0,False
16,96372106,8,10637311,0,60,0.018754959106445312,47,47,0,47,47,47,0,47,1.0,False
17,96372106,8,10637312,0,60,0.027142763137817383,38,38,0,38,38,38,0,38,1.0,False
18,96372106,8,10637313,0,60,0.02481555938720703,49,49,0,49,49,49,0,49,1.0,False
19,96372106,8,10637314,0,60,0.0625298023223877,50,50,0,50,50,50,0,50,1.0,False
20,96372106,8,10637315,0,60,0.041466474533081055,62,62,0,62,62,62,0,62,1.0,False
21,96372106,8,10637316,0,60,0.04268455505371094,52,52,0,52,52,52,0,52,1.0,False
22,96372106,8,10637317,0,60,0.017093181610107422,49,49,0,49,49,49,0,49,1.0,False
23,96372106,8,10637318,0,60,0.008182048797607422,36,36,0,36,36,36,0,36,1.0,False
24,96372106,8,10637319,0,60,0.05143547058105469,52,52,0,52,52,52,0,52,1.0,False
25,96372106,8,10637320,0,60,0.006746530532836914,32,32,0,32,32,32,0,32,1.0,False
26,96372106,8,10637321,0,60,0.027588605880737305,41,41,0,41,41,41,0,41,1.0,False
27,96372106,8,10637322,0,60,0.09421396255493164,50,50,0,50,50,50,0,50,1.0,False
28,96372106,8,10637323,0,60,0.02213001251220703,53,53,0,53,53,53,0,53,1.0,False
29,96372106,8,10637324,0,60,0.018682241439819336,34,34,0,34,34,34,0,34,1.0,False
30,96372106,8,10637325,0,60,0.015780925750732422,40,40,0,40,40,40,0,40,1.0,False
31,96372106,8,10637326,0,60,0.036405324935913086,54,54,0,54,54,54,0,54,1.0,False
32,96372106,8,10637327,0,60,0.008036613464355469,39,39,0,39,39,39,0,39,1.0,False
33,96372106,8,10637328,0,60,0.15925884246826172,48,48,0,48,48,48,0,48,1.0,False
34,96372106,8,10637329,0,60,0.01854228973388672,45,45,0,45,45,45,0,45,1.0,False
35,96372106,8,10637330,0,60,0.0192263126373291,50,50,0,50,50,50,0,50,1.0,False
36,96372106,8,10637331,0,60,0.013780355453491211,34,34,0,34,34,34,0,34,1.0,False
37,96372106,8,10637332,0,60,0.007257223129272461,33,33,0,33,33,33,0,33,1.0,False
38,96372106,8,10637333,0,60,0.011511802673339844,42,42,0,42,42,42,0,42,1.0,False
39,96372106,8,10637334,0,60,0.008573770523071289,44,44,0,44,44,44,0,44,1.0,False
40,96372106,8,10637335,0,60,0.010753631591796875,35,35,0,35,35,35,0,35,1.0,False
41,96372106,8,10637336,0,60,0.019047975540161133,59,59,0,59,59,59,0,59,1.0,False
42,96372106,8,10637337,0,60,0.015693187713623047,36,36,0,36,36,36,0,36,1.0,False
43,96372106,8,10637338,0,60,0.014137029647827148,48,48,0,48,48,48,0,48,1.0,False
44,96372106,8,10637339,0,60,0.021560192108154297,56,56,0,56,56,56,0,56,1.0,False
45,96372106,8,10637340,0,60,0.05661153793334961,41,41,0,41,41,41,0,41,1.0,False
46,96372106,8,10637341,0,60,0.010631084442138672,44,44,0,44,44,44,0,44,1.0,False
47,96372106,8,10637342,0,60,0.012731552124023438,44,44,0,44,44,44,0,44,1.0,False
48,96372106,8,10637343,0,60,0.011693477630615234,38,38,0,38,38,38,0,38,1.0,False
49,96372106,8,10637344,0,60,0.08302664756774902,43,43,0,43,43,43,0,43,1.0,False
50,96372106,8,10637345,0,60,0.01859879493713379,53,53,0,53,53,53,0,53,1.0,False
