Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,7,10637296,0,60,0.03197979927062988,39,39,0,39,39,0,0.0,True
2,96372106,7,10637297,0,60,0.030003070831298828,36,36,0,36,36,0,0.0,True
3,96372106,7,10637298,0,60,0.019335508346557617,38,38,0,38,38,0,0.0,True
4,96372106,7,10637299,0,60,0.019951343536376953,49,49,0,49,49,0,0.0,True
5,96372106,7,10637300,0,60,0.03091883659362793,51,51,0,51,51,0,0.0,True
6,96372106,7,10637301,0,60,0.054451704025268555,33,33,0,33,33,0,0.0,True
7,96372106,7,10637302,0,60,0.044882774353027344,50,50,0,50,50,0,0.0,True
8,96372106,7,10637303,0,60,0.04724287986755371,38,38,0,38,38,0,0.0,True
9,96372106,7,10637304,0,60,0.03291893005371094,32,32,0,32,32,0,0.0,True
10,96372106,7,10637305,0,60,0.06008148193359375,37,37,0,37,37,0,0.0,True
11,96372106,7,10637306,0,60,0.04377245903015137,39,39,0,39,39,0,0.0,True
12,96372106,7,10637307,0,60,0.026050567626953125,43,43,0,43,43,0,0.0,True
13,96372106,7,10637308,0,60,0.03635573387145996,46,46,0,46,46,0,0.0,True
14,96372106,7,10637309,0,60,0.017012357711791992,37,37,0,37,37,0,0.0,True
15,96372106,7,10637310,0,60,0.03291177749633789,47,47,0,47,47,0,0.0,True
16,96372106,7,10637311,0,60,0.03397178649902344,42,42,0,42,42,0,0.0,True
17,96372106,7,10637312,0,60,0.027136564254760742,31,31,0,31,31,0,0.0,True
18,96372106,7,10637313,0,60,0.035906076431274414,43,43,0,43,43,0,0.0,True
19,96372106,7,10637314,0,60,0.07641720771789551,46,46,0,46,46,0,0.0,True
20,96372106,7,10637315,0,60,0.058583736419677734,54,54,0,54,54,0,0.0,True
21,96372106,7,10637316,0,60,0.05398988723754883,49,49,0,49,49,0,0.0,True
22,96372106,7,10637317,0,60,0.026526689529418945,43,43,0,43,43,0,0.0,True
23,96372106,7,10637318,0,60,0.015936613082885742,30,30,0,30,30,0,0.0,True
24,96372106,7,10637319,0,60,0.0735476016998291,49,49,0,49,49,0,0.0,True
25,96372106,7,10637320,0,60,0.00994729995727539,28,28,0,28,28,0,0.0,True
26,96372106,7,10637321,0,60,0.03188896179199219,33,33,0,33,33,0,0.0,True
27,96372106,7,10637322,0,60,0.048032283782958984,44,44,0,44,44,0,0.0,True
28,96372106,7,10637323,0,60,0.04210519790649414,45,45,0,45,45,0,0.0,True
29,96372106,7,10637324,0,60,0.030022621154785156,33,33,0,33,33,0,0.0,True
30,96372106,7,10637325,0,60,0.015791893005371094,34,34,0,34,34,0,0.0,True
31,96372106,7,10637326,0,60,0.028963565826416016,45,45,0,45,45,0,0.0,True
32,96372106,7,10637327,0,60,0.01102900505065918,36,36,0,36,36,0,0.0,True
33,96372106,7,10637328,0,60,0.10379505157470703,45,45,0,45,45,0,0.0,True
34,96372106,7,10637329,0,60,0.031077146530151367,40,40,0,40,40,0,0.0,True
35,96372106,7,10637330,0,60,0.027784347534179688,41,41,0,41,41,0,0.0,True
36,96372106,7,10637331,0,60,0.014997243881225586,30,30,0,30,30,0,0.0,True
37,96372106,7,10637332,0,60,0.01196432113647461,31,31,0,31,31,0,0.0,True
38,96372106,7,10637333,0,60,0.010074615478515625,31,31,0,31,31,0,0.0,True
39,96372106,7,10637334,0,60,0.012042045593261719,40,40,0,40,40,0,0.0,True
40,96372106,7,10637335,0,60,0.030877351760864258,30,30,0,30,30,0,0.0,True
41,96372106,7,10637336,0,60,0.02225327491760254,55,55,0,55,55,0,0.0,True
42,96372106,7,10637337,0,60,0.014124393463134766,28,28,0,28,28,0,0.0,True
43,96372106,7,10637338,0,60,0.022926807403564453,41,41,0,41,41,0,0.0,True
44,96372106,7,10637339,0,60,0.03984546661376953,44,44,0,44,44,0,0.0,True
45,96372106,7,10637340,0,60,0.023990392684936523,34,34,0,34,34,0,0.0,True
46,96372106,7,10637341,0,60,0.012999296188354492,39,39,0,39,39,0,0.0,True
47,96372106,7,10637342,0,60,0.02094411849975586,36,36,0,36,36,0,0.0,True
48,96372106,7,10637343,0,60,0.015026569366455078,30,30,0,30,30,0,0.0,True
49,96372106,7,10637344,0,60,0.1424257755279541,35,35,0,35,35,0,0.0,True
50,96372106,7,10637345,0,60,0.021941661834716797,50,50,0,50,50,0,0.0,True
