Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,5,10637296,4,60,0.11300802230834961,61,106,45,61,106,45,0.0,False
2,96372106,5,10637297,4,60,0.010961294174194336,44,74,30,44,74,30,0.0,False
3,96372106,5,10637298,4,60,0.34398746490478516,59,114,55,59,114,55,0.0,False
4,96372106,5,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,0.0,False
5,96372106,5,10637300,4,60,44.13063359260559,94,127,33,94,127,33,0.0,False
6,96372106,5,10637301,4,60,0.08083176612854004,54,90,36,54,90,36,0.0,False
7,96372106,5,10637302,4,60,5.671550750732422,90,139,49,90,139,49,0.0,False
8,96372106,5,10637303,4,60,0.012134313583374023,50,90,40,50,90,40,0.0,False
9,96372106,5,10637304,4,60,0.3388700485229492,52,87,35,52,87,35,0.0,False
10,96372106,5,10637305,4,60,9.461733341217041,64,107,43,64,107,43,0.0,False
11,96372106,5,10637306,4,60,0.1527690887451172,47,99,52,47,99,52,0.0,False
12,96372106,5,10637307,4,60,0.07911944389343262,57,102,45,57,102,45,0.0,False
13,96372106,5,10637308,4,60,0.5117907524108887,62,110,48,62,110,48,0.0,False
14,96372106,5,10637309,4,60,14.35101842880249,63,99,36,63,99,36,0.0,False
15,96372106,5,10637310,4,60,56.5524525642395,76,123,47,76,123,47,0.0,False
16,96372106,5,10637311,4,60,0.06907868385314941,54,99,45,54,99,45,0.0,False
17,96372106,5,10637312,4,60,3.084914207458496,49,74,25,49,74,25,0.0,False
18,96372106,5,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,0.0,False
19,96372106,5,10637314,4,60,19.353830337524414,61,91,30,61,91,30,0.0,False
20,96372106,5,10637315,4,60,0.3248717784881592,67,110,43,67,110,43,0.0,False
21,96372106,5,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,0.0,False
22,96372106,5,10637317,4,60,0.052100181579589844,43,91,48,43,91,48,0.0,False
23,96372106,5,10637318,4,60,0.9097609519958496,51,101,50,51,101,50,0.0,False
24,96372106,5,10637319,4,60,9.046072244644165,72,112,40,72,112,40,0.0,False
25,96372106,5,10637320,4,60,0.028960466384887695,46,84,38,46,84,38,0.0,False
26,96372106,5,10637321,4,60,0.009015083312988281,38,80,42,38,80,42,0.0,False
27,96372106,5,10637322,4,60,0.8733227252960205,62,97,35,62,97,35,0.0,False
28,96372106,5,10637323,4,60,12.949515581130981,64,103,39,64,103,39,0.0,False
29,96372106,5,10637324,4,60,28.192668199539185,52,89,37,52,89,37,0.0,False
30,96372106,5,10637325,4,60,0.11322569847106934,42,75,33,42,75,33,0.0,False
31,96372106,5,10637326,4,60,0.46162962913513184,65,98,33,65,98,33,0.0,False
32,96372106,5,10637327,4,60,1.655048131942749,59,100,41,59,100,41,0.0,False
33,96372106,5,10637328,4,60,0.16366124153137207,65,100,35,65,100,35,0.0,False
34,96372106,5,10637329,4,60,29.083324909210205,63,98,35,63,98,35,0.0,False
35,96372106,5,10637330,4,60,0.013966798782348633,40,80,40,40,80,40,0.0,False
36,96372106,5,10637331,4,60,0.016952991485595703,35,63,28,35,63,28,0.0,False
37,96372106,5,10637332,4,60,0.16724133491516113,42,80,38,42,80,38,0.0,False
38,96372106,5,10637333,4,60,0.42319297790527344,52,91,39,52,91,39,0.0,False
39,96372106,5,10637334,4,60,0.031987667083740234,48,86,38,48,86,38,0.0,False
40,96372106,5,10637335,4,60,0.0019991397857666016,23,45,22,23,45,22,0.0,False
41,96372106,5,10637336,4,60,38.31690526008606,86,130,44,86,130,44,0.0,False
42,96372106,5,10637337,4,60,0.43528151512145996,41,76,35,41,76,35,0.0,False
43,96372106,5,10637338,4,60,0.03606581687927246,50,103,53,50,103,53,0.0,False
44,96372106,5,10637339,4,60,9.605790376663208,62,89,27,62,89,27,0.0,False
45,96372106,5,10637340,4,60,0.2212519645690918,51,85,34,51,85,34,0.0,False
46,96372106,5,10637341,4,60,0.018935441970825195,51,95,44,51,95,44,0.0,False
47,96372106,5,10637342,4,60,0.3021128177642822,48,82,34,48,82,34,0.0,False
48,96372106,5,10637343,4,60,0.09479641914367676,52,91,39,52,91,39,0.0,False
49,96372106,5,10637344,4,60,9.572039604187012,53,91,38,53,91,38,0.0,False
50,96372106,5,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,0.0,False
