Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,2,10637296,1,6000,0.0029985904693603516,14,23,9,20,20,22,2,20,0.25,True
2,96372106,2,10637297,1,6000,0.001969575881958008,12,15,3,14,14,15,1,14,0.25,True
3,96372106,2,10637298,1,6000,0.006969451904296875,20,26,6,24,23,26,3,24,0.25,True
4,96372106,2,10637299,1,6000,0.021043777465820312,17,24,7,24,21,24,3,24,0.25,True
5,96372106,2,10637300,1,6000,0.002991199493408203,15,18,3,18,18,18,0,18,0.25,True
6,96372106,2,10637301,1,6000,0.00196075439453125,11,19,8,15,12,19,7,15,0.25,True
7,96372106,2,10637302,1,6000,0.01988506317138672,18,25,7,20,21,23,2,22,0.25,True
8,96372106,2,10637303,1,6000,0.0029675960540771484,13,18,5,18,18,18,0,18,0.25,True
9,96372106,2,10637304,1,6000,0.012024641036987305,15,22,7,18,17,18,1,17,0.25,True
10,96372106,2,10637305,1,6000,0.00799870491027832,16,23,7,20,16,23,7,20,0.25,True
11,96372106,2,10637306,1,6000,0.0010056495666503906,6,12,6,9,6,12,6,9,0.25,True
12,96372106,2,10637307,1,6000,0.0034143924713134766,14,25,11,20,17,24,7,20,0.25,True
13,96372106,2,10637308,1,6000,0.002001047134399414,11,17,6,14,11,17,6,14,0.25,True
14,96372106,2,10637309,1,6000,0.014992475509643555,18,26,8,18,18,18,0,18,0.25,True
15,96372106,2,10637310,1,6000,0.003968238830566406,13,23,10,17,15,18,3,17,0.25,True
16,96372106,2,10637311,1,6000,0.00096893310546875,9,12,3,10,9,10,1,10,0.25,True
17,96372106,2,10637312,1,6000,0.0030422210693359375,10,14,4,11,11,12,1,11,0.25,True
18,96372106,2,10637313,1,6000,0.0029811859130859375,14,21,7,16,15,19,4,16,0.25,True
19,96372106,2,10637314,1,6000,0.017972230911254883,16,20,4,17,16,16,0,16,0.25,True
20,96372106,2,10637315,1,6000,0.000980377197265625,10,17,7,15,13,15,2,15,0.25,True
21,96372106,2,10637316,1,6000,0.003153085708618164,16,27,11,24,16,26,10,24,0.25,True
22,96372106,2,10637317,1,6000,0.001994609832763672,12,16,4,14,12,16,4,14,0.25,True
23,96372106,2,10637318,1,6000,0.003994464874267578,10,15,5,14,11,15,4,14,0.25,True
24,96372106,2,10637319,1,6000,0.002004861831665039,16,24,8,20,18,22,4,20,0.25,True
25,96372106,2,10637320,1,6000,0.001993417739868164,7,10,3,9,7,10,3,9,0.25,True
26,96372106,2,10637321,1,6000,0.002988100051879883,13,15,2,13,13,13,0,13,0.25,True
27,96372106,2,10637322,1,6000,0.003989696502685547,8,10,2,10,9,10,1,10,0.25,True
28,96372106,2,10637323,1,6000,0.00893259048461914,18,24,6,20,20,23,3,20,0.25,True
29,96372106,2,10637324,1,6000,0.0009996891021728516,5,6,1,6,5,6,1,6,0.25,True
30,96372106,2,10637325,1,6000,0.002942800521850586,10,17,7,13,11,14,3,13,0.25,True
31,96372106,2,10637326,1,6000,0.0009608268737792969,12,16,4,15,13,16,3,15,0.25,True
32,96372106,2,10637327,1,6000,0.0029914379119873047,11,15,4,11,11,12,1,11,0.25,True
33,96372106,2,10637328,1,6000,0.005982398986816406,12,18,6,14,12,16,4,14,0.25,True
34,96372106,2,10637329,1,6000,0.0010204315185546875,7,13,6,11,7,13,6,11,0.25,True
35,96372106,2,10637330,1,6000,0.0009319782257080078,7,8,1,7,7,8,1,7,0.25,True
36,96372106,2,10637331,1,6000,0.002991914749145508,13,21,8,17,15,17,2,17,0.25,True
37,96372106,2,10637332,1,6000,0.001994609832763672,9,12,3,10,9,12,3,10,0.25,True
38,96372106,2,10637333,1,6000,0.0019922256469726562,11,16,5,12,11,16,5,12,0.25,True
39,96372106,2,10637334,1,6000,0.0010499954223632812,11,17,6,14,13,15,2,14,0.25,True
40,96372106,2,10637335,1,6000,0.0009400844573974609,2,2,0,2,2,2,0,2,0.25,True
41,96372106,2,10637336,1,6000,0.002985715866088867,17,22,5,19,19,20,1,19,0.25,True
42,96372106,2,10637337,1,6000,0.005023956298828125,14,21,7,19,17,19,2,19,0.25,True
43,96372106,2,10637338,1,6000,0.006053924560546875,16,26,10,20,20,20,0,20,0.25,True
44,96372106,2,10637339,1,6000,0.011946678161621094,10,12,2,11,11,11,0,11,0.25,True
45,96372106,2,10637340,1,6000,0.0009925365447998047,13,20,7,16,13,20,7,16,0.25,True
46,96372106,2,10637341,1,6000,0.0029838085174560547,11,16,5,15,13,15,2,15,0.25,True
47,96372106,2,10637342,1,6000,0.000993967056274414,9,9,0,9,9,9,0,9,0.25,True
48,96372106,2,10637343,1,6000,0.0009944438934326172,10,15,5,14,14,15,1,14,0.25,True
49,96372106,2,10637344,1,6000,0.0019989013671875,13,19,6,17,15,19,4,17,0.25,True
50,96372106,2,10637345,1,6000,0.005983591079711914,18,26,8,21,20,22,2,21,0.25,True
