Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,4,10637296,1,60,0.012957334518432617,27,40,13,31,34,3,0.5,False
2,96372106,4,10637297,1,60,0.004006385803222656,18,21,3,20,20,0,0.5,False
3,96372106,4,10637298,1,60,0.014963865280151367,32,36,4,35,35,0,0.5,False
4,96372106,4,10637299,1,60,0.024027585983276367,26,37,11,32,34,2,0.5,False
5,96372106,4,10637300,1,60,0.06239795684814453,34,43,9,39,40,1,0.5,False
6,96372106,4,10637301,1,60,0.022693157196044922,28,42,14,34,35,1,0.5,False
7,96372106,4,10637302,1,60,0.012071609497070312,33,51,18,43,45,2,0.5,False
8,96372106,4,10637303,1,60,0.006075382232666016,21,30,9,22,25,3,0.5,False
9,96372106,4,10637304,1,60,0.027890443801879883,22,29,7,23,25,2,0.5,False
10,96372106,4,10637305,1,60,0.1344003677368164,29,36,7,33,35,2,0.5,False
11,96372106,4,10637306,1,60,0.0070116519927978516,18,31,13,25,26,1,0.5,False
12,96372106,4,10637307,1,60,0.056945085525512695,32,46,14,37,42,5,0.5,False
13,96372106,4,10637308,1,60,0.029517412185668945,30,41,11,32,35,3,0.5,False
14,96372106,4,10637309,1,60,0.033254384994506836,26,38,12,33,36,3,0.5,False
15,96372106,4,10637310,1,60,0.5513429641723633,39,50,11,42,44,2,0.5,False
16,96372106,4,10637311,1,60,0.0039899349212646484,24,32,8,27,29,2,0.5,False
17,96372106,4,10637312,1,60,0.006949663162231445,24,31,7,27,27,0,0.5,False
18,96372106,4,10637313,1,60,0.0705723762512207,32,43,11,39,39,0,0.5,False
19,96372106,4,10637314,1,60,0.0892038345336914,31,41,10,37,38,1,0.5,False
20,96372106,4,10637315,1,60,0.012929677963256836,27,37,10,32,32,0,0.5,False
21,96372106,4,10637316,1,60,0.03918266296386719,34,48,14,37,40,3,0.5,False
22,96372106,4,10637317,1,60,0.01100921630859375,24,33,9,30,30,0,0.5,False
23,96372106,4,10637318,1,60,0.01025080680847168,21,28,7,24,24,0,0.5,False
24,96372106,4,10637319,1,60,0.010036706924438477,29,39,10,30,34,4,0.5,False
25,96372106,4,10637320,1,60,0.0030226707458496094,17,23,6,19,20,1,0.5,False
26,96372106,4,10637321,1,60,0.006245613098144531,21,26,5,24,24,0,0.5,False
27,96372106,4,10637322,1,60,0.005401134490966797,18,23,5,21,21,0,0.5,False
28,96372106,4,10637323,1,60,0.013000249862670898,29,38,9,34,35,1,0.5,False
29,96372106,4,10637324,1,60,0.0029938220977783203,19,26,7,21,23,2,0.5,False
30,96372106,4,10637325,1,60,0.014931440353393555,20,30,10,22,25,3,0.5,False
31,96372106,4,10637326,1,60,0.09384727478027344,31,42,11,34,35,1,0.5,False
32,96372106,4,10637327,1,60,0.018536090850830078,25,34,9,29,30,1,0.5,False
33,96372106,4,10637328,1,60,0.014958381652832031,30,41,11,37,41,4,0.5,False
34,96372106,4,10637329,1,60,0.009974241256713867,23,31,8,27,27,0,0.5,False
35,96372106,4,10637330,1,60,0.005357027053833008,18,23,5,19,20,1,0.5,False
36,96372106,4,10637331,1,60,0.002990245819091797,20,29,9,22,24,2,0.5,False
37,96372106,4,10637332,1,60,0.011011123657226562,19,28,9,24,24,0,0.5,False
38,96372106,4,10637333,1,60,0.014996051788330078,25,33,8,30,30,0,0.5,False
39,96372106,4,10637334,1,60,0.008022069931030273,23,34,11,26,28,2,0.5,False
40,96372106,4,10637335,1,60,0.0020172595977783203,9,11,2,10,11,1,0.5,False
41,96372106,4,10637336,1,60,0.02938222885131836,37,47,10,42,43,1,0.5,False
42,96372106,4,10637337,1,60,0.010072946548461914,24,34,10,27,30,3,0.5,False
43,96372106,4,10637338,1,60,0.07223773002624512,32,39,7,35,35,0,0.5,False
44,96372106,4,10637339,1,60,0.0383610725402832,22,31,9,26,28,2,0.5,False
45,96372106,4,10637340,1,60,0.013074636459350586,27,39,12,36,36,0,0.5,False
46,96372106,4,10637341,1,60,0.004060506820678711,18,27,9,25,25,0,0.5,False
47,96372106,4,10637342,1,60,0.008008956909179688,22,27,5,24,26,2,0.5,False
48,96372106,4,10637343,1,60,0.005944967269897461,20,31,11,25,25,0,0.5,False
49,96372106,4,10637344,1,60,0.01591634750366211,24,35,11,27,29,2,0.5,False
50,96372106,4,10637345,1,60,0.018708229064941406,32,44,12,36,37,1,0.5,False
