Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,10,10637296,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
2,96372106,10,10637297,2,60,4.512295722961426,87,121,34,121,117,118,1,118,0.75,uniform,True
3,96372106,10,10637298,2,60,9.427795648574829,89,121,32,121,118,119,1,119,0.75,uniform,True
4,96372106,10,10637299,2,60,45.06338286399841,95,129,34,129,127,129,2,129,0.75,uniform,True
5,96372106,10,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
6,96372106,10,10637301,2,60,24.03597855567932,69,103,34,103,94,101,7,101,0.75,uniform,True
7,96372106,10,10637302,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
8,96372106,10,10637303,2,60,0.24830937385559082,67,104,37,104,103,103,0,103,0.75,uniform,True
9,96372106,10,10637304,2,60,0.12067627906799316,61,87,26,87,85,87,2,87,0.75,uniform,True
10,96372106,10,10637305,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
11,96372106,10,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
12,96372106,10,10637307,2,60,76.7755753993988,95,130,35,130,118,122,4,122,0.75,uniform,True
13,96372106,10,10637308,2,60,33.75500130653381,95,140,45,140,132,139,7,139,0.75,uniform,True
14,96372106,10,10637309,2,60,0.859724760055542,95,126,31,126,125,125,0,125,0.75,uniform,True
15,96372106,10,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
16,96372106,10,10637311,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
17,96372106,10,10637312,2,60,6.837037086486816,67,95,28,95,98,99,1,99,0.75,uniform,True
18,96372106,10,10637313,2,60,66.78928899765015,100,132,32,132,136,137,1,137,0.75,uniform,True
19,96372106,10,10637314,2,60,41.66154170036316,94,130,36,130,134,136,2,136,0.75,uniform,True
20,96372106,10,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
21,96372106,10,10637316,2,60,29.31454634666443,91,127,36,127,128,130,2,130,0.75,uniform,True
22,96372106,10,10637317,2,60,0.4756896495819092,87,126,39,126,125,128,3,128,0.75,uniform,True
23,96372106,10,10637318,2,60,0.07380294799804688,68,106,38,106,108,109,1,109,0.75,uniform,True
24,96372106,10,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
25,96372106,10,10637320,2,60,1.09004545211792,71,106,35,106,95,102,7,102,0.75,uniform,True
26,96372106,10,10637321,2,60,5.705753326416016,78,113,35,113,105,113,8,113,0.75,uniform,True
27,96372106,10,10637322,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
28,96372106,10,10637323,2,60,24.71589994430542,88,124,36,124,123,124,1,124,0.75,uniform,True
29,96372106,10,10637324,2,60,1.317511796951294,71,95,24,95,90,91,1,91,0.75,uniform,True
30,96372106,10,10637325,2,60,11.135209083557129,78,112,34,112,107,110,3,110,0.75,uniform,True
31,96372106,10,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
32,96372106,10,10637327,2,60,0.3450782299041748,69,106,37,106,97,99,2,99,0.75,uniform,True
33,96372106,10,10637328,2,60,2.83646821975708,82,112,30,112,116,119,3,119,0.75,uniform,True
34,96372106,10,10637329,2,60,0.6033830642700195,80,117,37,117,118,118,0,118,0.75,uniform,True
35,96372106,10,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
36,96372106,10,10637331,2,60,4.546881437301636,74,103,29,103,101,102,1,102,0.75,uniform,True
37,96372106,10,10637332,2,60,1.7951619625091553,66,89,23,89,89,89,0,89,0.75,uniform,True
38,96372106,10,10637333,2,60,17.582960844039917,82,116,34,116,109,112,3,112,0.75,uniform,True
39,96372106,10,10637334,2,60,0.5844383239746094,88,123,35,123,123,129,6,129,0.75,uniform,True
40,96372106,10,10637335,2,60,1.4650814533233643,75,106,31,106,107,107,0,107,0.75,uniform,True
41,96372106,10,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
42,96372106,10,10637337,2,60,0.5066306591033936,66,94,28,94,89,93,4,93,0.75,uniform,True
43,96372106,10,10637338,2,60,8.858260869979858,83,116,33,116,113,115,2,115,0.75,uniform,True
44,96372106,10,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
45,96372106,10,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
46,96372106,10,10637341,2,60,5.979993104934692,68,99,31,99,96,97,1,97,0.75,uniform,True
47,96372106,10,10637342,2,60,1.0731289386749268,79,125,46,125,124,124,0,124,0.75,uniform,True
48,96372106,10,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
49,96372106,10,10637344,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
50,96372106,10,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
