Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,5,10637296,4,60,0.12549328804016113,61,106,45,73,75,2,0.75,False
2,96372106,5,10637297,4,60,0.013865470886230469,44,74,30,56,59,3,0.75,False
3,96372106,5,10637298,4,60,0.3552556037902832,59,114,55,87,87,0,0.75,False
4,96372106,5,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,False
5,96372106,5,10637300,4,60,53.78344130516052,94,127,33,105,107,2,0.75,False
6,96372106,5,10637301,4,60,0.09412050247192383,54,90,36,73,73,0,0.75,False
7,96372106,5,10637302,4,60,7.104197263717651,90,139,49,114,118,4,0.75,False
8,96372106,5,10637303,4,60,0.023869037628173828,50,90,40,67,71,4,0.75,False
9,96372106,5,10637304,4,60,0.39614439010620117,52,87,35,75,76,1,0.75,False
10,96372106,5,10637305,4,60,12.21367359161377,64,107,43,82,83,1,0.75,False
11,96372106,5,10637306,4,60,0.19179344177246094,47,99,52,72,72,0,0.75,False
12,96372106,5,10637307,4,60,0.10300636291503906,57,102,45,77,82,5,0.75,False
13,96372106,5,10637308,4,60,0.6088657379150391,62,110,48,77,83,6,0.75,False
14,96372106,5,10637309,4,60,18.04111957550049,63,99,36,73,76,3,0.75,False
15,96372106,5,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,False
16,96372106,5,10637311,4,60,0.10538125038146973,54,99,45,83,84,1,0.75,False
17,96372106,5,10637312,4,60,3.8968284130096436,49,74,25,61,63,2,0.75,False
18,96372106,5,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,False
19,96372106,5,10637314,4,60,23.666121006011963,61,91,30,78,78,0,0.75,False
20,96372106,5,10637315,4,60,0.4587705135345459,67,110,43,91,91,0,0.75,False
21,96372106,5,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,False
22,96372106,5,10637317,4,60,0.08383965492248535,43,91,48,73,73,0,0.75,False
23,96372106,5,10637318,4,60,1.1292853355407715,51,101,50,66,74,8,0.75,False
24,96372106,5,10637319,4,60,11.166597127914429,72,112,40,92,95,3,0.75,False
25,96372106,5,10637320,4,60,0.03844904899597168,46,84,38,62,62,0,0.75,False
26,96372106,5,10637321,4,60,0.014941930770874023,38,80,42,53,56,3,0.75,False
27,96372106,5,10637322,4,60,1.1799170970916748,62,97,35,79,79,0,0.75,False
28,96372106,5,10637323,4,60,16.478805541992188,64,103,39,78,83,5,0.75,False
29,96372106,5,10637324,4,60,33.81539273262024,52,89,37,69,69,0,0.75,False
30,96372106,5,10637325,4,60,0.17005300521850586,42,75,33,55,57,2,0.75,False
31,96372106,5,10637326,4,60,0.43809032440185547,65,98,33,83,88,5,0.75,False
32,96372106,5,10637327,4,60,1.6848015785217285,59,100,41,81,85,4,0.75,False
33,96372106,5,10637328,4,60,0.138566255569458,65,100,35,80,82,2,0.75,False
34,96372106,5,10637329,4,60,32.36499333381653,63,98,35,83,83,0,0.75,False
35,96372106,5,10637330,4,60,0.02051830291748047,40,80,40,66,67,1,0.75,False
36,96372106,5,10637331,4,60,0.0219419002532959,35,63,28,48,48,0,0.75,False
37,96372106,5,10637332,4,60,0.21477603912353516,42,80,38,53,53,0,0.75,False
38,96372106,5,10637333,4,60,0.5290260314941406,52,91,39,64,72,8,0.75,False
39,96372106,5,10637334,4,60,0.03357839584350586,48,86,38,63,68,5,0.75,False
40,96372106,5,10637335,4,60,0.002991914749145508,23,45,22,38,38,0,0.75,False
41,96372106,5,10637336,4,60,43.91885447502136,86,130,44,110,111,1,0.75,False
42,96372106,5,10637337,4,60,0.49423885345458984,41,76,35,57,60,3,0.75,False
43,96372106,5,10637338,4,60,0.044881582260131836,50,103,53,84,86,2,0.75,False
44,96372106,5,10637339,4,60,11.391907691955566,62,89,27,74,78,4,0.75,False
45,96372106,5,10637340,4,60,0.24691510200500488,51,85,34,67,72,5,0.75,False
46,96372106,5,10637341,4,60,0.022995948791503906,51,95,44,81,81,0,0.75,False
47,96372106,5,10637342,4,60,0.32275819778442383,48,82,34,63,71,8,0.75,False
48,96372106,5,10637343,4,60,0.09627032279968262,52,91,39,73,73,0,0.75,False
49,96372106,5,10637344,4,60,11.410331964492798,53,91,38,75,76,1,0.75,False
50,96372106,5,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,False
