Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,10,10637296,4,60,18.033345460891724,117,166,49,144,146,2,0.75,True
2,96372106,10,10637297,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
3,96372106,10,10637298,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
4,96372106,10,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
5,96372106,10,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
6,96372106,10,10637301,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
7,96372106,10,10637302,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
8,96372106,10,10637303,4,60,2.649920701980591,105,163,58,133,133,0,0.75,True
9,96372106,10,10637304,4,60,0.9454145431518555,91,149,58,113,118,5,0.75,True
10,96372106,10,10637305,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
11,96372106,10,10637306,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
12,96372106,10,10637307,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
13,96372106,10,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
14,96372106,10,10637309,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
15,96372106,10,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
16,96372106,10,10637311,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
17,96372106,10,10637312,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
18,96372106,10,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
19,96372106,10,10637314,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
20,96372106,10,10637315,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
21,96372106,10,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
22,96372106,10,10637317,4,60,12.113122463226318,128,206,78,167,175,8,0.75,True
23,96372106,10,10637318,4,60,4.01485800743103,109,172,63,139,145,6,0.75,True
24,96372106,10,10637319,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
25,96372106,10,10637320,4,60,6.950920581817627,110,181,71,143,145,2,0.75,True
26,96372106,10,10637321,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
27,96372106,10,10637322,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
28,96372106,10,10637323,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
29,96372106,10,10637324,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
30,96372106,10,10637325,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
31,96372106,10,10637326,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
32,96372106,10,10637327,4,60,2.618807554244995,108,163,55,128,131,3,0.75,True
33,96372106,10,10637328,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
34,96372106,10,10637329,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
35,96372106,10,10637330,4,60,10.722254037857056,130,195,65,150,151,1,0.75,True
36,96372106,10,10637331,4,60,1.537461519241333,93,151,58,108,114,6,0.75,True
37,96372106,10,10637332,4,60,31.399441957473755,97,161,64,114,116,2,0.75,True
38,96372106,10,10637333,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
39,96372106,10,10637334,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
40,96372106,10,10637335,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
41,96372106,10,10637336,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
42,96372106,10,10637337,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
43,96372106,10,10637338,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
44,96372106,10,10637339,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
45,96372106,10,10637340,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
46,96372106,10,10637341,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
47,96372106,10,10637342,4,60,21.07923674583435,129,192,63,161,162,1,0.75,True
48,96372106,10,10637343,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
49,96372106,10,10637344,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
50,96372106,10,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,0.75,True
