Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,8,10637296,0,60,0.03301572799682617,44,44,0,44,44,0,0.0,False
2,96372106,8,10637297,0,60,0.06591987609863281,47,47,0,47,47,0,0.0,False
3,96372106,8,10637298,0,60,0.01603245735168457,44,44,0,44,44,0,0.0,False
4,96372106,8,10637299,0,60,0.009977340698242188,52,52,0,52,52,0,0.0,False
5,96372106,8,10637300,0,60,0.01999068260192871,55,55,0,55,55,0,0.0,False
6,96372106,8,10637301,0,60,0.022006750106811523,40,40,0,40,40,0,0.0,False
7,96372106,8,10637302,0,60,0.019910573959350586,56,56,0,56,56,0,0.0,False
8,96372106,8,10637303,0,60,0.04818153381347656,42,42,0,42,42,0,0.0,False
9,96372106,8,10637304,0,60,0.011049985885620117,33,33,0,33,33,0,0.0,False
10,96372106,8,10637305,0,60,0.07637882232666016,41,41,0,41,41,0,0.0,False
11,96372106,8,10637306,0,60,0.022388219833374023,48,48,0,48,48,0,0.0,False
12,96372106,8,10637307,0,60,0.02859950065612793,46,46,0,46,46,0,0.0,False
13,96372106,8,10637308,0,60,0.08266186714172363,54,54,0,54,54,0,0.0,False
14,96372106,8,10637309,0,60,0.00998234748840332,42,42,0,42,42,0,0.0,False
15,96372106,8,10637310,0,60,0.03187394142150879,51,51,0,51,51,0,0.0,False
16,96372106,8,10637311,0,60,0.031995534896850586,47,47,0,47,47,0,0.0,False
17,96372106,8,10637312,0,60,0.04321002960205078,38,38,0,38,38,0,0.0,False
18,96372106,8,10637313,0,60,0.04474377632141113,49,49,0,49,49,0,0.0,False
19,96372106,8,10637314,0,60,0.11190128326416016,50,50,0,50,50,0,0.0,False
20,96372106,8,10637315,0,60,0.06461143493652344,62,62,0,62,62,0,0.0,False
21,96372106,8,10637316,0,60,0.059842824935913086,52,52,0,52,52,0,0.0,False
22,96372106,8,10637317,0,60,0.029909372329711914,49,49,0,49,49,0,0.0,False
23,96372106,8,10637318,0,60,0.013949871063232422,36,36,0,36,36,0,0.0,False
24,96372106,8,10637319,0,60,0.09146595001220703,52,52,0,52,52,0,0.0,False
25,96372106,8,10637320,0,60,0.006981372833251953,32,32,0,32,32,0,0.0,False
26,96372106,8,10637321,0,60,0.037238121032714844,41,41,0,41,41,0,0.0,False
27,96372106,8,10637322,0,60,0.17623567581176758,50,50,0,50,50,0,0.0,False
28,96372106,8,10637323,0,60,0.036080121994018555,53,53,0,53,53,0,0.0,False
29,96372106,8,10637324,0,60,0.033783912658691406,34,34,0,34,34,0,0.0,False
30,96372106,8,10637325,0,60,0.023009061813354492,40,40,0,40,40,0,0.0,False
31,96372106,8,10637326,0,60,0.048172712326049805,54,54,0,54,54,0,0.0,False
32,96372106,8,10637327,0,60,0.014372110366821289,39,39,0,39,39,0,0.0,False
33,96372106,8,10637328,0,60,0.2547452449798584,48,48,0,48,48,0,0.0,False
34,96372106,8,10637329,0,60,0.03277945518493652,45,45,0,45,45,0,0.0,False
35,96372106,8,10637330,0,60,0.031311750411987305,50,50,0,50,50,0,0.0,False
36,96372106,8,10637331,0,60,0.026485919952392578,34,34,0,34,34,0,0.0,False
37,96372106,8,10637332,0,60,0.01006174087524414,33,33,0,33,33,0,0.0,False
38,96372106,8,10637333,0,60,0.013962507247924805,42,42,0,42,42,0,0.0,False
39,96372106,8,10637334,0,60,0.009977579116821289,44,44,0,44,44,0,0.0,False
40,96372106,8,10637335,0,60,0.017314672470092773,35,35,0,35,35,0,0.0,False
41,96372106,8,10637336,0,60,0.01902151107788086,59,59,0,59,59,0,0.0,False
42,96372106,8,10637337,0,60,0.022916078567504883,36,36,0,36,36,0,0.0,False
43,96372106,8,10637338,0,60,0.01779794692993164,48,48,0,48,48,0,0.0,False
44,96372106,8,10637339,0,60,0.0280916690826416,56,56,0,56,56,0,0.0,False
45,96372106,8,10637340,0,60,0.10446739196777344,41,41,0,41,41,0,0.0,False
46,96372106,8,10637341,0,60,0.013790607452392578,44,44,0,44,44,0,0.0,False
47,96372106,8,10637342,0,60,0.013961076736450195,44,44,0,44,44,0,0.0,False
48,96372106,8,10637343,0,60,0.014146566390991211,38,38,0,38,38,0,0.0,False
49,96372106,8,10637344,0,60,0.13986754417419434,43,43,0,43,43,0,0.0,False
50,96372106,8,10637345,0,60,0.021007776260375977,53,53,0,53,53,0,0.0,False
