Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,6,10637296,4,60,0.1515946388244629,65,112,47,85,85,0,1.0,False
2,96372106,6,10637297,4,60,3.853745460510254,74,109,35,93,93,0,1.0,False
3,96372106,6,10637298,4,60,0.38496971130371094,62,118,56,90,90,0,1.0,False
4,96372106,6,10637299,4,60,11.974964141845703,86,144,58,107,107,0,1.0,False
5,96372106,6,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,1.0,False
6,96372106,6,10637301,4,60,0.09973311424255371,59,98,39,74,74,0,1.0,False
7,96372106,6,10637302,4,60,6.3012003898620605,98,155,57,126,126,0,1.0,False
8,96372106,6,10637303,4,60,0.042910099029541016,58,99,41,75,75,0,1.0,False
9,96372106,6,10637304,4,60,0.3201432228088379,61,101,40,82,82,0,1.0,False
10,96372106,6,10637305,4,60,9.234349966049194,71,120,49,95,95,0,1.0,False
11,96372106,6,10637306,4,60,0.3730034828186035,62,118,56,89,89,0,1.0,False
12,96372106,6,10637307,4,60,2.0415892601013184,85,128,43,104,104,0,1.0,False
13,96372106,6,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,1.0,False
14,96372106,6,10637309,4,60,10.02721095085144,54,104,50,75,75,0,1.0,False
15,96372106,6,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,1.0,False
16,96372106,6,10637311,4,60,0.09973335266113281,75,116,41,103,103,0,1.0,False
17,96372106,6,10637312,4,60,3.199479818344116,54,98,44,72,72,0,1.0,False
18,96372106,6,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,1.0,False
19,96372106,6,10637314,4,60,20.891143083572388,80,127,47,106,106,0,1.0,False
20,96372106,6,10637315,4,60,1.0442540645599365,89,148,59,111,111,0,1.0,False
21,96372106,6,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,1.0,False
22,96372106,6,10637317,4,60,0.07378005981445312,61,105,44,79,79,0,1.0,False
23,96372106,6,10637318,4,60,1.0093047618865967,53,89,36,69,69,0,1.0,False
24,96372106,6,10637319,4,60,12.796800374984741,94,147,53,121,121,0,1.0,False
25,96372106,6,10637320,4,60,0.03291177749633789,51,95,44,78,78,0,1.0,False
26,96372106,6,10637321,4,60,0.7938759326934814,52,92,40,64,64,0,1.0,False
27,96372106,6,10637322,4,60,0.8666813373565674,79,132,53,108,108,0,1.0,False
28,96372106,6,10637323,4,60,15.870574235916138,76,116,40,96,96,0,1.0,False
29,96372106,6,10637324,4,60,26.206886529922485,78,109,31,86,86,0,1.0,False
30,96372106,6,10637325,4,60,0.13065052032470703,57,96,39,75,75,0,1.0,False
31,96372106,6,10637326,4,60,0.421872615814209,81,125,44,106,106,0,1.0,False
32,96372106,6,10637327,4,60,2.0206549167633057,67,120,53,101,101,0,1.0,False
33,96372106,6,10637328,4,60,0.1296544075012207,78,124,46,100,100,0,1.0,False
34,96372106,6,10637329,4,60,29.289654970169067,75,120,45,95,95,0,1.0,False
35,96372106,6,10637330,4,60,0.03097057342529297,55,103,48,77,77,0,1.0,False
36,96372106,6,10637331,4,60,0.02293848991394043,41,76,35,61,61,0,1.0,False
37,96372106,6,10637332,4,60,1.0711705684661865,55,101,46,87,87,0,1.0,False
38,96372106,6,10637333,4,60,10.965698957443237,71,109,38,85,85,0,1.0,False
39,96372106,6,10637334,4,60,0.15857529640197754,72,115,43,94,94,0,1.0,False
40,96372106,6,10637335,4,60,0.10770869255065918,36,66,30,50,50,0,1.0,False
41,96372106,6,10637336,4,60,-1,-1,-1,-1,-1,-1,-1,1.0,False
42,96372106,6,10637337,4,60,0.42586231231689453,46,87,41,60,60,0,1.0,False
43,96372106,6,10637338,4,60,2.55121111869812,69,121,52,91,91,0,1.0,False
44,96372106,6,10637339,4,60,49.30514740943909,75,127,52,103,103,0,1.0,False
45,96372106,6,10637340,4,60,0.2263927459716797,66,102,36,88,88,0,1.0,False
46,96372106,6,10637341,4,60,0.31116747856140137,67,129,62,92,92,0,1.0,False
47,96372106,6,10637342,4,60,0.2643277645111084,56,93,37,80,80,0,1.0,False
48,96372106,6,10637343,4,60,7.730374574661255,68,100,32,77,77,0,1.0,False
49,96372106,6,10637344,4,60,9.016910791397095,64,105,41,90,90,0,1.0,False
50,96372106,6,10637345,4,60,37.50243043899536,99,156,57,128,128,0,1.0,False
