Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,5,10637296,4,60,0.10677313804626465,61,106,45,73,78,5,0.5,False
2,96372106,5,10637297,4,60,0.009973526000976562,44,74,30,56,59,3,0.5,False
3,96372106,5,10637298,4,60,0.3582427501678467,59,114,55,87,87,0,0.5,False
4,96372106,5,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,0.5,False
5,96372106,5,10637300,4,60,46.06992173194885,94,127,33,104,108,4,0.5,False
6,96372106,5,10637301,4,60,0.07836174964904785,54,90,36,73,73,0,0.5,False
7,96372106,5,10637302,4,60,6.122818470001221,90,139,49,110,121,11,0.5,False
8,96372106,5,10637303,4,60,0.01695394515991211,50,90,40,66,71,5,0.5,False
9,96372106,5,10637304,4,60,0.3893704414367676,52,87,35,69,77,8,0.5,False
10,96372106,5,10637305,4,60,9.681573390960693,64,107,43,82,83,1,0.5,False
11,96372106,5,10637306,4,60,0.13176441192626953,47,99,52,70,72,2,0.5,False
12,96372106,5,10637307,4,60,0.10113668441772461,57,102,45,75,83,8,0.5,False
13,96372106,5,10637308,4,60,0.605975866317749,62,110,48,72,89,17,0.5,False
14,96372106,5,10637309,4,60,15.328763246536255,63,99,36,71,77,6,0.5,False
15,96372106,5,10637310,4,60,59.99461221694946,76,123,47,97,108,11,0.5,False
16,96372106,5,10637311,4,60,0.09141016006469727,54,99,45,78,85,7,0.5,False
17,96372106,5,10637312,4,60,3.451338052749634,49,74,25,61,63,2,0.5,False
18,96372106,5,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,0.5,False
19,96372106,5,10637314,4,60,20.67291831970215,61,91,30,78,79,1,0.5,False
20,96372106,5,10637315,4,60,0.3828001022338867,67,110,43,86,95,9,0.5,False
21,96372106,5,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,0.5,False
22,96372106,5,10637317,4,60,0.07564783096313477,43,91,48,71,73,2,0.5,False
23,96372106,5,10637318,4,60,0.9719202518463135,51,101,50,60,85,25,0.5,False
24,96372106,5,10637319,4,60,9.913358449935913,72,112,40,89,98,9,0.5,False
25,96372106,5,10637320,4,60,0.037319183349609375,46,84,38,61,64,3,0.5,False
26,96372106,5,10637321,4,60,0.012003183364868164,38,80,42,51,61,10,0.5,False
27,96372106,5,10637322,4,60,1.0002706050872803,62,97,35,75,81,6,0.5,False
28,96372106,5,10637323,4,60,14.246321678161621,64,103,39,78,83,5,0.5,False
29,96372106,5,10637324,4,60,29.648732900619507,52,89,37,66,76,10,0.5,False
30,96372106,5,10637325,4,60,0.14213919639587402,42,75,33,48,63,15,0.5,False
31,96372106,5,10637326,4,60,0.38916587829589844,65,98,33,83,89,6,0.5,False
32,96372106,5,10637327,4,60,1.4374032020568848,59,100,41,81,85,4,0.5,False
33,96372106,5,10637328,4,60,0.14387202262878418,65,100,35,80,82,2,0.5,False
34,96372106,5,10637329,4,60,30.471070766448975,63,98,35,82,83,1,0.5,False
35,96372106,5,10637330,4,60,0.017960071563720703,40,80,40,66,67,1,0.5,False
36,96372106,5,10637331,4,60,0.02998828887939453,35,63,28,41,53,12,0.5,False
37,96372106,5,10637332,4,60,0.20590639114379883,42,80,38,48,61,13,0.5,False
38,96372106,5,10637333,4,60,0.471757173538208,52,91,39,64,73,9,0.5,False
39,96372106,5,10637334,4,60,0.030028104782104492,48,86,38,62,70,8,0.5,False
40,96372106,5,10637335,4,60,0.003989458084106445,23,45,22,32,38,6,0.5,False
41,96372106,5,10637336,4,60,44.10297131538391,86,130,44,110,111,1,0.5,False
42,96372106,5,10637337,4,60,0.4799199104309082,41,76,35,57,64,7,0.5,False
43,96372106,5,10637338,4,60,0.04491996765136719,50,103,53,82,86,4,0.5,False
44,96372106,5,10637339,4,60,10.85518217086792,62,89,27,72,79,7,0.5,False
45,96372106,5,10637340,4,60,0.24358797073364258,51,85,34,64,72,8,0.5,False
46,96372106,5,10637341,4,60,0.021364450454711914,51,95,44,81,81,0,0.5,False
47,96372106,5,10637342,4,60,0.3111143112182617,48,82,34,61,72,11,0.5,False
48,96372106,5,10637343,4,60,0.11125922203063965,52,91,39,71,76,5,0.5,False
49,96372106,5,10637344,4,60,11.039647102355957,53,91,38,75,76,1,0.5,False
50,96372106,5,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,0.5,False
