Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,7,10637296,1,60,1.2386870384216309,0.015900850296020508,326,412,86,375,326,412,86,375,0.0,uniform,Min Worst Case,True,314,410
2,96372106,7,10637297,1,60,1.7483253479003906,0.01296234130859375,332,412,80,375,332,412,80,375,0.0,uniform,Min Worst Case,True,327,412
3,96372106,7,10637298,1,60,0.30316948890686035,0.011944055557250977,266,340,74,303,266,340,74,303,0.0,uniform,Min Worst Case,True,259,336
4,96372106,7,10637299,1,60,0.09172987937927246,0.014968395233154297,279,359,80,313,279,359,80,313,0.0,uniform,Min Worst Case,True,278,365
5,96372106,7,10637300,1,60,5.1003923416137695,0.011955976486206055,334,410,76,372,334,410,76,372,0.0,uniform,Min Worst Case,True,326,401
6,96372106,7,10637301,1,60,0.011003732681274414,0.011957406997680664,230,287,57,260,230,287,57,260,0.0,uniform,Min Worst Case,True,230,287
7,96372106,7,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,True,-1,-1
8,96372106,7,10637303,1,60,0.029930830001831055,0.00997304916381836,227,284,57,262,227,284,57,262,0.0,uniform,Min Worst Case,True,226,283
9,96372106,7,10637304,1,60,0.007012844085693359,0.007963418960571289,187,237,50,207,187,237,50,207,0.0,uniform,Min Worst Case,True,187,237
10,96372106,7,10637305,1,60,0.7001090049743652,0.01096963882446289,256,320,64,285,256,320,64,285,0.0,uniform,Min Worst Case,True,247,318
11,96372106,7,10637306,1,60,0.013938188552856445,0.007977485656738281,200,246,46,221,200,246,46,221,0.0,uniform,Min Worst Case,True,200,247
12,96372106,7,10637307,1,60,5.057477235794067,0.016178369522094727,289,363,74,332,289,363,74,332,0.0,uniform,Min Worst Case,True,283,350
13,96372106,7,10637308,1,60,0.16060900688171387,0.013962984085083008,300,365,65,331,300,365,65,331,0.0,uniform,Min Worst Case,True,293,367
14,96372106,7,10637309,1,60,0.031920433044433594,0.014966726303100586,245,311,66,274,245,311,66,274,0.0,uniform,Min Worst Case,True,245,317
15,96372106,7,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,True,-1,-1
16,96372106,7,10637311,1,60,0.09372448921203613,0.011964797973632812,218,272,54,247,218,272,54,247,0.0,uniform,Min Worst Case,True,215,278
17,96372106,7,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,True,-1,-1
18,96372106,7,10637313,1,60,0.20641183853149414,0.018949508666992188,337,426,89,380,337,426,89,380,0.0,uniform,Min Worst Case,True,332,432
19,96372106,7,10637314,1,60,0.19547176361083984,0.012967348098754883,336,417,81,367,336,417,81,367,0.0,uniform,Min Worst Case,True,329,417
20,96372106,7,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,True,-1,-1
21,96372106,7,10637316,1,60,0.08578085899353027,0.01594853401184082,315,398,83,361,315,398,83,361,0.0,uniform,Min Worst Case,True,311,398
22,96372106,7,10637317,1,60,0.05984020233154297,0.012945413589477539,279,357,78,320,279,357,78,320,0.0,uniform,Min Worst Case,True,274,357
