Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,8,10637296,1,60,0.3894658088684082,0.15469861030578613,368,474,106,423,420,422,2,421,0.5,uniform,Min Worst Case,False
2,96372106,8,10637297,1,60,54.190542221069336,1.0541670322418213,409,503,94,451,439,440,1,439,0.5,uniform,Min Worst Case,False
3,96372106,8,10637298,1,60,0.31191110610961914,0.15757369995117188,309,389,80,349,345,348,3,346,0.5,uniform,Min Worst Case,False
4,96372106,8,10637299,1,60,0.48288631439208984,0.16948580741882324,330,426,96,390,386,388,2,387,0.5,uniform,Min Worst Case,False
5,96372106,8,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
6,96372106,8,10637301,1,60,79.60296297073364,0.8058426380157471,287,343,56,313,309,309,0,309,0.5,uniform,Min Worst Case,False
7,96372106,8,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
8,96372106,8,10637303,1,60,1.0901103019714355,0.10172843933105469,304,380,76,336,334,337,3,336,0.5,uniform,Min Worst Case,False
9,96372106,8,10637304,1,60,0.012964010238647461,0.04390549659729004,193,245,52,222,220,222,2,222,0.5,uniform,Min Worst Case,False
10,96372106,8,10637305,1,60,0.41588664054870605,0.16869091987609863,279,348,69,317,308,309,1,309,0.5,uniform,Min Worst Case,False
11,96372106,8,10637306,1,60,0.01297903060913086,0.06106972694396973,206,253,47,234,231,236,5,234,0.5,uniform,Min Worst Case,False
12,96372106,8,10637307,1,60,5.278998613357544,0.1680312156677246,352,441,89,400,400,400,0,400,0.5,uniform,Min Worst Case,False
13,96372106,8,10637308,1,60,39.49845480918884,0.22298312187194824,332,401,69,374,370,374,4,372,0.5,uniform,Min Worst Case,False
14,96372106,8,10637309,1,60,0.047037601470947266,0.15193510055541992,308,389,81,353,352,354,2,353,0.5,uniform,Min Worst Case,False
15,96372106,8,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
16,96372106,8,10637311,1,60,0.0920417308807373,0.08682489395141602,241,300,59,272,270,275,5,272,0.5,uniform,Min Worst Case,False
17,96372106,8,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
18,96372106,8,10637313,1,60,0.5023517608642578,0.13965129852294922,362,452,90,400,397,398,1,398,0.5,uniform,Min Worst Case,False
19,96372106,8,10637314,1,60,0.8534572124481201,0.16753315925598145,379,469,90,433,432,432,0,432,0.5,uniform,Min Worst Case,False
20,96372106,8,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
21,96372106,8,10637316,1,60,0.11755490303039551,0.1645522117614746,365,460,95,410,409,410,1,410,0.5,uniform,Min Worst Case,False
22,96372106,8,10637317,1,60,0.11769223213195801,0.1176910400390625,321,406,85,362,361,363,2,362,0.5,uniform,Min Worst Case,False
23,96372106,8,10637318,1,60,0.02895331382751465,0.07187366485595703,229,280,51,254,251,255,4,253,0.5,uniform,Min Worst Case,False
24,96372106,8,10637319,1,60,0.05720019340515137,0.0639045238494873,243,305,62,274,274,275,1,274,0.5,uniform,Min Worst Case,False
25,96372106,8,10637320,1,60,0.013922452926635742,0.12714242935180664,347,428,81,393,392,394,2,393,0.5,uniform,Min Worst Case,False
26,96372106,8,10637321,1,60,0.8009841442108154,0.13677716255187988,308,385,77,346,341,343,2,342,0.5,uniform,Min Worst Case,False
27,96372106,8,10637322,1,60,0.07279181480407715,0.09001731872558594,243,303,60,274,271,274,3,273,0.5,uniform,Min Worst Case,False
28,96372106,8,10637323,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
29,96372106,8,10637324,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
30,96372106,8,10637325,1,60,1.0301282405853271,0.15960168838500977,331,395,64,368,365,368,3,368,0.5,uniform,Min Worst Case,False
31,96372106,8,10637326,1,60,0.04100847244262695,0.08974599838256836,257,333,76,286,284,289,5,286,0.5,uniform,Min Worst Case,False
32,96372106,8,10637327,1,60,0.09974336624145508,0.2124314308166504,359,447,88,400,398,401,3,399,0.5,uniform,Min Worst Case,False
33,96372106,8,10637328,1,60,0.46860742568969727,0.08774518966674805,256,327,71,302,301,302,1,302,0.5,uniform,Min Worst Case,False
34,96372106,8,10637329,1,60,0.04886937141418457,0.05983996391296387,270,333,63,289,288,288,0,288,0.5,uniform,Min Worst Case,False
35,96372106,8,10637330,1,60,1.232555866241455,0.05784940719604492,198,240,42,217,217,219,2,217,0.5,uniform,Min Worst Case,False
36,96372106,8,10637331,1,60,0.02391362190246582,0.07390356063842773,270,338,68,303,303,303,0,303,0.5,uniform,Min Worst Case,False
37,96372106,8,10637332,1,60,0.5909819602966309,0.12185192108154297,323,398,75,362,360,361,1,361,0.5,uniform,Min Worst Case,False
38,96372106,8,10637333,1,60,0.04288530349731445,0.10113310813903809,278,353,75,310,309,310,1,310,0.5,uniform,Min Worst Case,False
39,96372106,8,10637334,1,60,0.1905229091644287,0.11202359199523926,329,410,81,374,368,374,6,372,0.5,uniform,Min Worst Case,False
40,96372106,8,10637335,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
41,96372106,8,10637336,1,60,0.7583601474761963,0.0920255184173584,287,356,69,320,319,322,3,320,0.5,uniform,Min Worst Case,False
42,96372106,8,10637337,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
43,96372106,8,10637338,1,60,0.3769500255584717,0.13508224487304688,296,381,85,345,345,346,1,345,0.5,uniform,Min Worst Case,False
44,96372106,8,10637339,1,60,0.13433313369750977,0.3271522521972656,401,521,120,465,463,467,4,465,0.5,uniform,Min Worst Case,False
45,96372106,8,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
46,96372106,8,10637341,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
47,96372106,8,10637342,1,60,0.04587292671203613,0.09073972702026367,291,368,77,338,337,338,1,338,0.5,uniform,Min Worst Case,False
48,96372106,8,10637343,1,60,2.0850417613983154,0.10172796249389648,264,324,60,299,297,301,4,299,0.5,uniform,Min Worst Case,False
49,96372106,8,10637344,1,60,0.04115033149719238,0.0850830078125,230,298,68,260,260,261,1,260,0.5,uniform,Min Worst Case,False
50,96372106,8,10637345,1,60,0.4063117504119873,0.1628410816192627,356,443,87,398,396,396,0,396,0.5,uniform,Min Worst Case,False
