Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
26,96372106,5,10637321,0,60,13.811043500900269,0.5873961448669434,10333,10333,0,10333,10333,10333,0,10333,0.5,min,False
27,96372106,5,10637322,0,60,18.615196228027344,0.5964035987854004,8427,8427,0,8427,8427,8427,0,8427,0.5,min,False
28,96372106,5,10637323,0,60,6.039841651916504,0.47575974464416504,7139,7139,0,7139,7139,7139,0,7139,0.5,min,False
29,96372106,5,10637324,0,60,2.8842809200286865,0.4697413444519043,3614,3614,0,3614,3614,3614,0,3614,0.5,min,False
30,96372106,5,10637325,0,60,13.2226243019104,0.6911253929138184,11973,11973,0,11973,11973,11973,0,11973,0.5,min,False
31,96372106,5,10637326,0,60,16.058039665222168,0.8975980281829834,7084,7084,0,7084,7084,7084,0,7084,0.5,min,False
32,96372106,5,10637327,0,60,29.21188187599182,0.503652811050415,9065,9065,0,9065,9065,9065,0,9065,0.5,min,False
33,96372106,5,10637328,0,60,10.162811040878296,0.31615304946899414,6087,6087,0,6087,6087,6087,0,6087,0.5,min,False
34,96372106,5,10637329,0,60,6.693093776702881,0.8237957954406738,10283,10283,0,10283,10283,10283,0,10283,0.5,min,False
35,96372106,5,10637330,0,60,6.887571573257446,0.6233327388763428,5987,5987,0,5987,5987,5987,0,5987,0.5,min,False
36,96372106,5,10637331,0,60,5.982993841171265,0.759967565536499,8542,8542,0,8542,8542,8542,0,8542,0.5,min,False
37,96372106,5,10637332,0,60,5.720695972442627,0.7400209903717041,8846,8846,0,8846,8846,8846,0,8846,0.5,min,False
38,96372106,5,10637333,0,60,10.856955766677856,0.5106346607208252,6245,6245,0,6245,6245,6245,0,6245,0.5,min,False
39,96372106,5,10637334,0,60,48.97996139526367,0.7958700656890869,13548,13548,0,13548,13548,13548,0,13548,0.5,min,False
40,96372106,5,10637335,0,60,50.487924575805664,0.6592378616333008,9615,9615,0,9615,9615,9615,0,9615,0.5,min,False
41,96372106,5,10637336,0,60,5.6588592529296875,0.4418165683746338,9177,9177,0,9177,9177,9177,0,9177,0.5,min,False
42,96372106,5,10637337,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,False
43,96372106,5,10637338,0,60,0.6961371898651123,0.2921922206878662,5258,5258,0,5258,5258,5258,0,5258,0.5,min,False
44,96372106,5,10637339,0,60,2.90921688079834,0.579448938369751,9305,9305,0,9305,9305,9305,0,9305,0.5,min,False
45,96372106,5,10637340,0,60,11.404488563537598,0.7689576148986816,9702,9702,0,9702,9702,9702,0,9702,0.5,min,False
46,96372106,5,10637341,0,60,3.3799595832824707,0.28025031089782715,3354,3354,0,3354,3354,3354,0,3354,0.5,min,False
47,96372106,5,10637342,0,60,23.644739389419556,0.8417222499847412,7621,7621,0,7621,7621,7621,0,7621,0.5,min,False
48,96372106,5,10637343,0,60,2.957091808319092,0.31113600730895996,6636,6636,0,6636,6636,6636,0,6636,0.5,min,False
49,96372106,5,10637344,0,60,5.916172504425049,0.44383859634399414,7498,7498,0,7498,7498,7498,0,7498,0.5,min,False
50,96372106,5,10637345,0,60,2.44146990776062,0.27526378631591797,3080,3080,0,3080,3080,3080,0,3080,0.5,min,False
