Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC
Open Map,96372106,1,10,10637309,True,0.5,90.9947235584259,0.026057004928588867,1,73,96,23,85,81,87,6,uniform,84,Min Best Case,Increased True Cost,-1,67,100
Open Map,96372106,1,10,10637310,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637311,True,0.5,0.7342422008514404,0.035617828369140625,1,69,91,22,83,80,83,3,uniform,83,Min Best Case,No Change,0,64,88
Open Map,96372106,1,10,10637312,True,0.5,0.29028820991516113,0.09242105484008789,1,56,70,14,57,58,62,4,uniform,59,Min Best Case,Reduced True Cost,2,50,65
Open Map,96372106,1,10,10637313,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637314,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637315,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637316,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637317,True,0.5,1.080336332321167,0.07562375068664551,1,72,94,22,80,80,83,3,uniform,80,Min Best Case,No Change,0,68,98
Open Map,96372106,1,10,10637318,True,0.5,0.21072912216186523,0.027298927307128906,1,56,77,21,63,60,63,3,uniform,62,Min Best Case,Increased True Cost,-1,52,77
Open Map,96372106,1,10,10637319,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637320,True,0.5,0.03930091857910156,0.00996255874633789,1,59,78,19,68,66,69,3,uniform,68,Min Best Case,No Change,0,54,80
Open Map,96372106,1,10,10637321,True,0.5,9.358658790588379,6.9080164432525635,1,61,81,20,69,67,68,1,uniform,68,Min Best Case,Increased True Cost,-1,55,81
Open Map,96372106,1,10,10637322,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637323,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637324,True,0.5,1.3308136463165283,0.055512189865112305,1,56,69,13,63,62,63,1,uniform,63,Min Best Case,No Change,0,51,70
Open Map,96372106,1,10,10637325,True,0.5,268.0815534591675,0.041030168533325195,1,60,84,24,67,66,70,4,uniform,67,Min Best Case,No Change,0,53,83
Open Map,96372106,1,10,10637326,True,0.5,24.84974718093872,0.12856173515319824,1,71,92,21,84,81,83,2,uniform,82,Min Best Case,Increased True Cost,-2,65,94
Open Map,96372106,1,10,10637327,True,0.5,0.0968163013458252,0.10735869407653809,1,58,79,21,68,64,66,2,uniform,65,Min Best Case,Increased True Cost,-3,54,82
Open Map,96372106,1,10,10637328,True,0.5,235.1942069530487,0.056223392486572266,1,65,85,20,76,73,77,4,uniform,76,Min Best Case,No Change,0,59,88
Open Map,96372106,1,10,10637329,True,0.5,2.648956775665283,0.26882362365722656,1,63,90,27,73,67,74,7,uniform,70,Min Best Case,Increased True Cost,-3,58,91
Open Map,96372106,1,10,10637330,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637331,True,0.5,0.4473898410797119,0.043764591217041016,1,58,75,17,64,62,66,4,uniform,63,Min Best Case,Increased True Cost,-1,52,73
Open Map,96372106,1,10,10637332,True,0.5,0.10075211524963379,0.019594192504882812,1,50,68,18,59,55,60,5,uniform,58,Min Best Case,Increased True Cost,-1,46,67
Open Map,96372106,1,10,10637333,True,0.5,101.6694507598877,0.05843925476074219,1,66,89,23,73,69,73,4,uniform,70,Min Best Case,Increased True Cost,-3,59,88
Open Map,96372106,1,10,10637334,True,0.5,0.2797675132751465,0.11281871795654297,1,68,94,26,80,78,84,6,uniform,82,Min Best Case,Reduced True Cost,2,63,96
Open Map,96372106,1,10,10637335,True,0.5,0.214630126953125,0.14500069618225098,1,59,74,15,68,67,68,1,uniform,68,Min Best Case,No Change,0,53,76
Open Map,96372106,1,10,10637336,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637337,True,0.5,0.07643508911132812,0.05228757858276367,1,54,74,20,62,58,62,4,uniform,61,Min Best Case,Increased True Cost,-1,51,79
Open Map,96372106,1,10,10637338,True,0.5,5.382346868515015,0.05826544761657715,1,65,86,21,74,73,76,3,uniform,74,Min Best Case,No Change,0,61,94
Open Map,96372106,1,10,10637339,True,0.5,250.03017377853394,0.29979491233825684,1,76,101,25,90,96,96,0,uniform,96,Min Best Case,Reduced True Cost,6,68,107
Open Map,96372106,1,10,10637340,True,0.5,8.513285160064697,0.07700037956237793,1,65,84,19,71,70,73,3,uniform,71,Min Best Case,No Change,0,57,76
Open Map,96372106,1,10,10637341,True,0.5,0.2383592128753662,0.07056379318237305,1,55,71,16,62,60,63,3,uniform,62,Min Best Case,No Change,0,51,74
Open Map,96372106,1,10,10637342,True,0.5,7.43511700630188,0.10333681106567383,1,66,85,19,73,71,73,2,uniform,71,Min Best Case,Increased True Cost,-2,61,93
Open Map,96372106,1,10,10637343,True,0.5,1.1125056743621826,0.18436217308044434,1,60,79,19,68,66,69,3,uniform,68,Min Best Case,No Change,0,55,81
Open Map,96372106,1,10,10637344,True,0.5,24.917839527130127,0.20525503158569336,1,67,93,26,80,76,80,4,uniform,79,Min Best Case,Increased True Cost,-1,59,89
Open Map,96372106,1,10,10637345,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Best Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637296,True,0.5,0.03436398506164551,0.11054301261901855,1,65,80,15,80,78,80,2,max,80,Min Worst Case,No Change,0,57,86
Open Map,96372106,1,10,10637297,True,0.5,0.12105894088745117,0.03690838813781738,1,71,89,18,89,84,88,4,max,88,Min Worst Case,Increased True Cost,-1,63,89
Open Map,96372106,1,10,10637298,True,0.5,0.14107155799865723,0.17537450790405273,1,74,84,10,84,81,84,3,max,84,Min Worst Case,No Change,0,63,84
Open Map,96372106,1,10,10637299,True,0.5,0.1049051284790039,0.12000370025634766,1,74,95,21,95,91,94,3,max,94,Min Worst Case,Increased True Cost,-1,63,103
Open Map,96372106,1,10,10637300,True,0.5,0.24593186378479004,0.18610310554504395,1,80,98,18,98,93,97,4,max,97,Min Worst Case,Increased True Cost,-1,68,99
Open Map,96372106,1,10,10637301,True,0.5,0.1917273998260498,0.22777676582336426,1,58,70,12,70,66,70,4,max,70,Min Worst Case,No Change,0,50,73
Open Map,96372106,1,10,10637302,True,0.5,0.6297986507415771,0.466494083404541,1,86,106,20,106,108,111,3,max,111,Min Worst Case,Reduced True Cost,5,75,111
Open Map,96372106,1,10,10637303,True,0.5,0.005135059356689453,0.03645586967468262,1,57,75,18,75,71,75,4,max,75,Min Worst Case,No Change,0,54,79
Open Map,96372106,1,10,10637304,True,0.5,0.006484508514404297,0.02240729331970215,1,47,65,18,65,64,66,2,max,66,Min Worst Case,Reduced True Cost,1,44,68
Open Map,96372106,1,10,10637305,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637306,True,0.5,1.3033180236816406,0.4426436424255371,1,73,86,13,86,81,83,2,max,83,Min Worst Case,Increased True Cost,-3,59,96
Open Map,96372106,1,10,10637307,True,0.5,2.670269012451172,0.25803065299987793,1,73,90,17,90,86,93,7,max,93,Min Worst Case,Reduced True Cost,3,61,94
Open Map,96372106,1,10,10637308,True,0.5,0.03464245796203613,0.0737004280090332,1,78,100,22,100,98,100,2,max,100,Min Worst Case,No Change,0,72,104
Open Map,96372106,1,10,10637309,True,0.5,0.09488701820373535,0.07720494270324707,1,77,97,20,97,93,95,2,max,95,Min Worst Case,Increased True Cost,-2,67,100
Open Map,96372106,1,10,10637310,True,0.5,1.2830479145050049,0.3009936809539795,1,79,97,18,97,94,96,2,max,96,Min Worst Case,Increased True Cost,-1,69,103
Open Map,96372106,1,10,10637311,True,0.5,0.02504563331604004,0.03754734992980957,1,70,87,17,87,81,87,6,max,87,Min Worst Case,No Change,0,64,88
Open Map,96372106,1,10,10637312,True,0.5,0.042388916015625,0.03689765930175781,1,56,68,12,68,68,69,1,max,69,Min Worst Case,Reduced True Cost,1,50,65
Open Map,96372106,1,10,10637313,True,0.5,0.06407642364501953,0.04801297187805176,1,77,96,19,96,93,94,1,max,94,Min Worst Case,Increased True Cost,-2,68,104
Open Map,96372106,1,10,10637314,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637315,True,0.5,0.13391757011413574,0.3475522994995117,1,85,102,17,102,102,103,1,max,103,Min Worst Case,Reduced True Cost,1,73,113
Open Map,96372106,1,10,10637316,True,0.5,2.887582540512085,0.990962028503418,1,82,99,17,99,95,97,2,max,97,Min Worst Case,Increased True Cost,-2,65,103
Open Map,96372106,1,10,10637317,True,0.5,0.07751655578613281,0.36344337463378906,1,76,94,18,94,90,95,5,max,95,Min Worst Case,Reduced True Cost,1,68,98
Open Map,96372106,1,10,10637318,True,0.5,0.014473199844360352,0.055738210678100586,1,56,75,19,75,71,75,4,max,75,Min Worst Case,No Change,0,52,77
Open Map,96372106,1,10,10637319,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637320,True,0.5,0.013340950012207031,0.028842926025390625,1,60,74,14,74,71,75,4,max,75,Min Worst Case,Reduced True Cost,1,54,80
Open Map,96372106,1,10,10637321,True,0.5,17.2618088722229,4.121790170669556,1,67,81,14,81,78,81,3,max,81,Min Worst Case,No Change,0,55,81
Open Map,96372106,1,10,10637322,True,0.5,0.19629621505737305,0.41054725646972656,1,69,86,17,86,80,85,5,max,85,Min Worst Case,Increased True Cost,-1,59,85
Open Map,96372106,1,10,10637323,True,0.5,2.6363160610198975,0.2805294990539551,1,80,99,19,99,94,101,7,max,101,Min Worst Case,Reduced True Cost,2,67,99
Open Map,96372106,1,10,10637324,True,0.5,0.055626869201660156,0.05847930908203125,1,57,69,12,69,66,69,3,max,69,Min Worst Case,No Change,0,51,70
Open Map,96372106,1,10,10637325,True,0.5,0.537482738494873,0.28939080238342285,1,61,81,20,81,78,81,3,max,81,Min Worst Case,No Change,0,53,83
Open Map,96372106,1,10,10637326,True,0.5,0.130112886428833,0.09566164016723633,1,73,91,18,91,91,91,0,max,91,Min Worst Case,No Change,0,65,94
Open Map,96372106,1,10,10637327,True,0.5,0.02592158317565918,0.0276641845703125,1,61,78,17,78,74,76,2,max,76,Min Worst Case,Increased True Cost,-2,54,82
Open Map,96372106,1,10,10637328,True,0.5,0.7750463485717773,0.0317225456237793,1,68,85,17,85,81,85,4,max,85,Min Worst Case,No Change,0,59,88
Open Map,96372106,1,10,10637329,True,0.5,0.03649544715881348,0.1691734790802002,1,63,85,22,85,79,84,5,max,84,Min Worst Case,Increased True Cost,-1,58,91
Open Map,96372106,1,10,10637330,True,0.5,1.8081388473510742,0.03366518020629883,1,78,94,16,94,95,96,1,max,96,Min Worst Case,Reduced True Cost,2,67,94
Open Map,96372106,1,10,10637331,True,0.5,0.6219029426574707,0.058084964752197266,1,60,76,16,76,74,75,1,max,75,Min Worst Case,Increased True Cost,-1,52,73
Open Map,96372106,1,10,10637332,True,0.5,0.01931595802307129,0.0204927921295166,1,50,68,18,68,64,68,4,max,68,Min Worst Case,No Change,0,46,67
Open Map,96372106,1,10,10637333,True,0.5,0.0996239185333252,0.03650927543640137,1,67,83,16,83,76,80,4,max,80,Min Worst Case,Increased True Cost,-3,59,88
Open Map,96372106,1,10,10637334,True,0.5,1.0349268913269043,0.0268552303314209,1,75,93,18,93,83,92,9,max,92,Min Worst Case,Increased True Cost,-1,63,96
Open Map,96372106,1,10,10637335,True,0.5,0.04448866844177246,0.049224138259887695,1,59,74,15,74,73,74,1,max,74,Min Worst Case,No Change,0,53,76
Open Map,96372106,1,10,10637336,True,0.5,2.265169858932495,0.06580114364624023,1,85,108,23,108,103,106,3,max,106,Min Worst Case,Increased True Cost,-2,75,117
Open Map,96372106,1,10,10637337,True,0.5,0.02227187156677246,0.060240983963012695,1,57,73,16,73,69,73,4,max,73,Min Worst Case,No Change,0,51,79
Open Map,96372106,1,10,10637338,True,0.5,0.06292510032653809,0.08503508567810059,1,67,86,19,86,82,85,3,max,85,Min Worst Case,Increased True Cost,-1,61,94
Open Map,96372106,1,10,10637339,True,0.5,0.741891622543335,0.771625280380249,1,81,99,18,99,98,98,0,max,98,Min Worst Case,Increased True Cost,-1,68,107
Open Map,96372106,1,10,10637340,True,0.5,3.088684558868408,0.02406907081604004,1,66,80,14,80,78,80,2,max,80,Min Worst Case,No Change,0,57,76
Open Map,96372106,1,10,10637341,True,0.5,0.1814258098602295,0.12113475799560547,1,58,75,17,75,72,74,2,max,74,Min Worst Case,Increased True Cost,-1,51,74
Open Map,96372106,1,10,10637342,True,0.5,0.025750160217285156,0.053635358810424805,1,67,84,17,84,84,86,2,max,86,Min Worst Case,Reduced True Cost,2,61,93
Open Map,96372106,1,10,10637343,True,0.5,0.04411578178405762,0.025806188583374023,1,60,79,19,79,73,77,4,max,77,Min Worst Case,Increased True Cost,-2,55,81
Open Map,96372106,1,10,10637344,True,0.5,1.1647906303405762,0.702653169631958,1,71,89,18,89,83,86,3,max,86,Min Worst Case,Increased True Cost,-3,59,89
Open Map,96372106,1,10,10637345,True,0.5,0.17632460594177246,0.07259058952331543,1,80,101,21,101,98,101,3,max,101,Min Worst Case,No Change,0,74,108
Open Map,96372106,1,10,10637296,True,0.5,0.03436398506164551,0.08186721801757812,1,65,80,15,65,63,70,7,min,63,Min Worst Case,Increased True Cost,-2,57,86
Open Map,96372106,1,10,10637297,True,0.5,0.12105894088745117,0.028020620346069336,1,71,89,18,71,70,73,3,min,70,Min Worst Case,Increased True Cost,-1,63,89
Open Map,96372106,1,10,10637298,True,0.5,0.14107155799865723,0.09548068046569824,1,74,84,10,74,70,72,2,min,70,Min Worst Case,Increased True Cost,-4,63,84
Open Map,96372106,1,10,10637299,True,0.5,0.1049051284790039,0.12589430809020996,1,74,95,21,74,74,81,7,min,74,Min Worst Case,No Change,0,63,103
Open Map,96372106,1,10,10637300,True,0.5,0.24593186378479004,0.12872862815856934,1,80,98,18,80,79,82,3,min,79,Min Worst Case,Increased True Cost,-1,68,99
Open Map,96372106,1,10,10637301,True,0.5,0.1917273998260498,0.13570284843444824,1,58,70,12,58,56,56,0,min,56,Min Worst Case,Increased True Cost,-2,50,73
Open Map,96372106,1,10,10637302,True,0.5,0.6297986507415771,0.36731648445129395,1,86,106,20,86,86,88,2,min,86,Min Worst Case,No Change,0,75,111
Open Map,96372106,1,10,10637303,True,0.5,0.005135059356689453,0.027346134185791016,1,57,75,18,57,55,59,4,min,55,Min Worst Case,Increased True Cost,-2,54,79
Open Map,96372106,1,10,10637304,True,0.5,0.006484508514404297,0.020185232162475586,1,47,65,18,47,46,51,5,min,46,Min Worst Case,Increased True Cost,-1,44,68
Open Map,96372106,1,10,10637305,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,min,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637306,True,0.5,1.3033180236816406,0.24499082565307617,1,73,86,13,73,69,74,5,min,69,Min Worst Case,Increased True Cost,-4,59,96
Open Map,96372106,1,10,10637307,True,0.5,2.670269012451172,0.20319104194641113,1,73,90,17,73,71,76,5,min,71,Min Worst Case,Increased True Cost,-2,61,94
Open Map,96372106,1,10,10637308,True,0.5,0.03464245796203613,0.019269943237304688,1,78,100,22,78,78,86,8,min,78,Min Worst Case,No Change,0,72,104
Open Map,96372106,1,10,10637309,True,0.5,0.09488701820373535,0.07919001579284668,1,77,97,20,77,77,81,4,min,77,Min Worst Case,No Change,0,67,100
Open Map,96372106,1,10,10637310,True,0.5,1.2830479145050049,0.17353391647338867,1,79,97,18,79,77,77,0,min,77,Min Worst Case,Increased True Cost,-2,69,103
Open Map,96372106,1,10,10637311,True,0.5,0.02504563331604004,0.03138923645019531,1,70,87,17,70,69,71,2,min,69,Min Worst Case,Increased True Cost,-1,64,88
Open Map,96372106,1,10,10637312,True,0.5,0.042388916015625,0.02494955062866211,1,56,68,12,56,56,58,2,min,56,Min Worst Case,No Change,0,50,65
Open Map,96372106,1,10,10637313,True,0.5,0.06407642364501953,0.041562795639038086,1,77,96,19,77,76,80,4,min,76,Min Worst Case,Increased True Cost,-1,68,104
Open Map,96372106,1,10,10637314,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,min,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637315,True,0.5,0.13391757011413574,0.2646474838256836,1,85,102,17,85,85,88,3,min,85,Min Worst Case,No Change,0,73,113
Open Map,96372106,1,10,10637316,True,0.5,2.887582540512085,4.301413297653198,1,82,99,17,82,80,83,3,min,80,Min Worst Case,Increased True Cost,-2,65,103
Open Map,96372106,1,10,10637317,True,0.5,0.07751655578613281,0.234541654586792,1,76,94,18,76,73,74,1,min,73,Min Worst Case,Increased True Cost,-3,68,98
Open Map,96372106,1,10,10637318,True,0.5,0.014473199844360352,0.036635637283325195,1,56,75,19,56,56,60,4,min,56,Min Worst Case,No Change,0,52,77
Open Map,96372106,1,10,10637319,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,min,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637320,True,0.5,0.013340950012207031,0.03810858726501465,1,60,74,14,60,60,67,7,min,60,Min Worst Case,No Change,0,54,80
Open Map,96372106,1,10,10637321,True,0.5,17.2618088722229,2.6584901809692383,1,67,81,14,67,65,69,4,min,65,Min Worst Case,Increased True Cost,-2,55,81
Open Map,96372106,1,10,10637322,True,0.5,0.19629621505737305,0.26674890518188477,1,69,86,17,69,69,74,5,min,69,Min Worst Case,No Change,0,59,85
Open Map,96372106,1,10,10637323,True,0.5,2.6363160610198975,0.2078723907470703,1,80,99,19,80,78,84,6,min,78,Min Worst Case,Increased True Cost,-2,67,99
Open Map,96372106,1,10,10637324,True,0.5,0.055626869201660156,0.04461503028869629,1,57,69,12,57,57,58,1,min,57,Min Worst Case,No Change,0,51,70
Open Map,96372106,1,10,10637325,True,0.5,0.537482738494873,0.1874840259552002,1,61,81,20,61,60,66,6,min,60,Min Worst Case,Increased True Cost,-1,53,83
Open Map,96372106,1,10,10637326,True,0.5,0.130112886428833,0.06894731521606445,1,73,91,18,73,72,76,4,min,72,Min Worst Case,Increased True Cost,-1,65,94
Open Map,96372106,1,10,10637327,True,0.5,0.02592158317565918,0.020407915115356445,1,61,78,17,61,59,60,1,min,59,Min Worst Case,Increased True Cost,-2,54,82
Open Map,96372106,1,10,10637328,True,0.5,0.7750463485717773,0.050115108489990234,1,68,85,17,68,68,71,3,min,68,Min Worst Case,No Change,0,59,88
Open Map,96372106,1,10,10637329,True,0.5,0.03649544715881348,0.1819596290588379,1,63,85,22,63,62,66,4,min,62,Min Worst Case,Increased True Cost,-1,58,91
Open Map,96372106,1,10,10637330,True,0.5,1.8081388473510742,0.04594159126281738,1,78,94,16,78,76,78,2,min,76,Min Worst Case,Increased True Cost,-2,67,94
Open Map,96372106,1,10,10637331,True,0.5,0.6219029426574707,0.05195450782775879,1,60,76,16,60,58,61,3,min,58,Min Worst Case,Increased True Cost,-2,52,73
Open Map,96372106,1,10,10637332,True,0.5,0.01931595802307129,0.0272367000579834,1,50,68,18,50,49,52,3,min,49,Min Worst Case,Increased True Cost,-1,46,67
Open Map,96372106,1,10,10637333,True,0.5,0.0996239185333252,0.044019460678100586,1,67,83,16,67,66,68,2,min,66,Min Worst Case,Increased True Cost,-1,59,88
Open Map,96372106,1,10,10637334,True,0.5,1.0349268913269043,0.0378422737121582,1,75,93,18,75,70,74,4,min,70,Min Worst Case,Increased True Cost,-5,63,96
Open Map,96372106,1,10,10637335,True,0.5,0.04448866844177246,0.038381338119506836,1,59,74,15,59,59,60,1,min,59,Min Worst Case,No Change,0,53,76
Open Map,96372106,1,10,10637336,True,0.5,2.265169858932495,0.0878446102142334,1,85,108,23,85,83,94,11,min,83,Min Worst Case,Increased True Cost,-2,75,117
Open Map,96372106,1,10,10637337,True,0.5,0.02227187156677246,0.06421613693237305,1,57,73,16,57,56,59,3,min,56,Min Worst Case,Increased True Cost,-1,51,79
Open Map,96372106,1,10,10637338,True,0.5,0.06292510032653809,1.162308931350708,1,67,86,19,67,68,71,3,min,68,Min Worst Case,Reduced True Cost,1,61,94
Open Map,96372106,1,10,10637339,True,0.5,0.741891622543335,0.813063383102417,1,81,99,18,81,77,79,2,min,77,Min Worst Case,Increased True Cost,-4,68,107
Open Map,96372106,1,10,10637340,True,0.5,3.088684558868408,0.025533437728881836,1,66,80,14,66,66,68,2,min,66,Min Worst Case,No Change,0,57,76
Open Map,96372106,1,10,10637341,True,0.5,0.1814258098602295,0.13869571685791016,1,58,75,17,58,58,60,2,min,58,Min Worst Case,No Change,0,51,74
Open Map,96372106,1,10,10637342,True,0.5,0.025750160217285156,0.04648590087890625,1,67,84,17,67,67,72,5,min,67,Min Worst Case,No Change,0,61,93
Open Map,96372106,1,10,10637343,True,0.5,0.04411578178405762,0.058777570724487305,1,60,79,19,60,59,66,7,min,59,Min Worst Case,Increased True Cost,-1,55,81
Open Map,96372106,1,10,10637344,True,0.5,1.1647906303405762,0.731151819229126,1,71,89,18,71,69,75,6,min,69,Min Worst Case,Increased True Cost,-2,59,89
Open Map,96372106,1,10,10637345,True,0.5,0.17632460594177246,0.16083431243896484,1,80,101,21,80,79,80,1,min,79,Min Worst Case,Increased True Cost,-1,74,108
Open Map,96372106,1,10,10637296,True,0.5,0.03436398506164551,0.0926046371459961,1,65,80,15,72,72,76,4,uniform,72,Min Worst Case,No Change,0,57,86
Open Map,96372106,1,10,10637297,True,0.5,0.12105894088745117,0.09171843528747559,1,71,89,18,82,77,80,3,uniform,80,Min Worst Case,Increased True Cost,-2,63,89
Open Map,96372106,1,10,10637298,True,0.5,0.14107155799865723,0.08194518089294434,1,74,84,10,79,79,80,1,uniform,80,Min Worst Case,Reduced True Cost,1,63,84
Open Map,96372106,1,10,10637299,True,0.5,0.1049051284790039,0.48481011390686035,1,74,95,21,91,84,89,5,uniform,87,Min Worst Case,Increased True Cost,-4,63,103
Open Map,96372106,1,10,10637300,True,0.5,0.24593186378479004,0.11458683013916016,1,80,98,18,90,86,91,5,uniform,88,Min Worst Case,Increased True Cost,-2,68,99
Open Map,96372106,1,10,10637301,True,0.5,0.1917273998260498,0.12584471702575684,1,58,70,12,64,62,63,1,uniform,63,Min Worst Case,Increased True Cost,-1,50,73
Open Map,96372106,1,10,10637302,True,0.5,0.6297986507415771,0.1525273323059082,1,86,106,20,94,90,96,6,uniform,93,Min Worst Case,Increased True Cost,-1,75,111
Open Map,96372106,1,10,10637303,True,0.5,0.005135059356689453,0.03336668014526367,1,57,75,18,66,65,67,2,uniform,66,Min Worst Case,No Change,0,54,79
Open Map,96372106,1,10,10637304,True,0.5,0.006484508514404297,0.008355379104614258,1,47,65,18,58,56,61,5,uniform,57,Min Worst Case,Increased True Cost,-1,44,68
Open Map,96372106,1,10,10637305,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637306,True,0.5,1.3033180236816406,0.10447406768798828,1,73,86,13,80,73,77,4,uniform,77,Min Worst Case,Increased True Cost,-3,59,96
Open Map,96372106,1,10,10637307,True,0.5,2.670269012451172,0.3462798595428467,1,73,90,17,79,80,83,3,uniform,80,Min Worst Case,Reduced True Cost,1,61,94
Open Map,96372106,1,10,10637308,True,0.5,0.03464245796203613,0.055002689361572266,1,78,100,22,88,87,89,2,uniform,88,Min Worst Case,No Change,0,72,104
Open Map,96372106,1,10,10637309,True,0.5,0.09488701820373535,0.02943873405456543,1,77,97,20,87,82,86,4,uniform,83,Min Worst Case,Increased True Cost,-4,67,100
Open Map,96372106,1,10,10637310,True,0.5,1.2830479145050049,0.9985604286193848,1,79,97,18,85,82,85,3,uniform,82,Min Worst Case,Increased True Cost,-3,69,103
Open Map,96372106,1,10,10637311,True,0.5,0.02504563331604004,0.05836796760559082,1,70,87,17,79,76,80,4,uniform,78,Min Worst Case,Increased True Cost,-1,64,88
Open Map,96372106,1,10,10637312,True,0.5,0.042388916015625,0.09414958953857422,1,56,68,12,58,58,62,4,uniform,59,Min Worst Case,Reduced True Cost,1,50,65
Open Map,96372106,1,10,10637313,True,0.5,0.06407642364501953,0.029020309448242188,1,77,96,19,90,86,92,6,uniform,89,Min Worst Case,Increased True Cost,-1,68,104
Open Map,96372106,1,10,10637314,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637315,True,0.5,0.13391757011413574,0.0814809799194336,1,85,102,17,90,87,89,2,uniform,88,Min Worst Case,Increased True Cost,-2,73,113
Open Map,96372106,1,10,10637316,True,0.5,2.887582540512085,1.4480524063110352,1,82,99,17,89,83,87,4,uniform,85,Min Worst Case,Increased True Cost,-4,65,103
Open Map,96372106,1,10,10637317,True,0.5,0.07751655578613281,0.055046796798706055,1,76,94,18,82,81,85,4,uniform,82,Min Worst Case,No Change,0,68,98
Open Map,96372106,1,10,10637318,True,0.5,0.014473199844360352,0.026509761810302734,1,56,75,19,65,63,66,3,uniform,65,Min Worst Case,No Change,0,52,77
Open Map,96372106,1,10,10637319,True,0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,uniform,-1,Min Worst Case,No Change,0,-1,-1
Open Map,96372106,1,10,10637320,True,0.5,0.013340950012207031,0.009434223175048828,1,60,74,14,66,65,66,1,uniform,66,Min Worst Case,No Change,0,54,80
Open Map,96372106,1,10,10637321,True,0.5,17.2618088722229,0.08943343162536621,1,67,81,14,71,68,72,4,uniform,69,Min Worst Case,Increased True Cost,-2,55,81
Open Map,96372106,1,10,10637322,True,0.5,0.19629621505737305,0.14255142211914062,1,69,86,17,77,71,74,3,uniform,73,Min Worst Case,Increased True Cost,-4,59,85
Open Map,96372106,1,10,10637323,True,0.5,2.6363160610198975,0.052652597427368164,1,80,99,19,86,83,87,4,uniform,84,Min Worst Case,Increased True Cost,-2,67,99
Open Map,96372106,1,10,10637324,True,0.5,0.055626869201660156,0.029973745346069336,1,57,69,12,63,63,65,2,uniform,63,Min Worst Case,No Change,0,51,70
Open Map,96372106,1,10,10637325,True,0.5,0.537482738494873,0.04755663871765137,1,61,81,20,66,64,69,5,uniform,66,Min Worst Case,No Change,0,53,83
Open Map,96372106,1,10,10637326,True,0.5,0.130112886428833,0.07177901268005371,1,73,91,18,84,83,84,1,uniform,84,Min Worst Case,No Change,0,65,94
