Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC
Open Map,96372106,0,10,10637334,False,0.0,0.01533961296081543,0.0027163028717041016,1,59,59,0,59,59,59,0,max,59,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637335,False,0.0,0.0030465126037597656,0.004149913787841797,1,48,48,0,48,48,48,0,max,48,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637336,False,0.0,0.010934114456176758,0.004870176315307617,1,72,72,0,72,72,72,0,max,72,Min Best Case,No Change,0,72,72
Open Map,96372106,0,10,10637337,False,0.0,0.007744312286376953,0.0037202835083007812,1,47,47,0,47,47,47,0,max,47,Min Best Case,No Change,0,47,47
Open Map,96372106,0,10,10637338,False,0.0,0.004098176956176758,0.002972841262817383,1,59,59,0,59,59,59,0,max,59,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637339,False,0.0,0.02068638801574707,0.003519773483276367,1,67,67,0,67,67,67,0,max,67,Min Best Case,No Change,0,65,65
Open Map,96372106,0,10,10637340,False,0.0,0.098602294921875,0.0034821033477783203,1,54,54,0,54,54,54,0,max,54,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637341,False,0.0,0.006619691848754883,0.0028252601623535156,1,50,50,0,50,50,50,0,max,50,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637342,False,0.0,2.2977688312530518,0.0030641555786132812,1,57,57,0,57,57,57,0,max,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637343,False,0.0,0.006325483322143555,0.0026979446411132812,1,52,52,0,52,52,52,0,max,52,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637344,False,0.0,0.1291637420654297,0.0025320053100585938,1,55,55,0,55,55,55,0,max,55,Min Best Case,No Change,0,54,54
Open Map,96372106,0,10,10637345,False,0.0,0.010699272155761719,0.0031578540802001953,1,66,66,0,66,66,66,0,max,66,Min Best Case,No Change,0,66,66
Open Map,96372106,0,10,10637296,False,0.0,0.027156352996826172,0.003069162368774414,1,53,53,0,53,53,53,0,min,53,Min Best Case,No Change,0,53,53
Open Map,96372106,0,10,10637297,False,0.0,0.013514280319213867,0.0032851696014404297,1,57,57,0,57,57,57,0,min,57,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637298,False,0.0,0.005269050598144531,0.002681732177734375,1,57,57,0,57,57,57,0,min,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637299,False,0.0,0.005989789962768555,0.0026280879974365234,1,62,62,0,62,62,62,0,min,62,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637300,False,0.0,0.060393333435058594,0.0030815601348876953,1,66,66,0,66,66,66,0,min,66,Min Best Case,No Change,0,66,66
Open Map,96372106,0,10,10637301,False,0.0,0.01838970184326172,0.003204822540283203,1,48,48,0,48,48,48,0,min,48,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637302,False,0.0,0.008793830871582031,0.003374338150024414,1,71,71,0,71,71,71,0,min,71,Min Best Case,No Change,0,71,71
Open Map,96372106,0,10,10637303,False,0.0,0.008780717849731445,0.002825021743774414,1,50,50,0,50,50,50,0,min,50,Min Best Case,No Change,0,50,50
Open Map,96372106,0,10,10637304,False,0.0,0.00524592399597168,0.0025262832641601562,1,41,41,0,41,41,41,0,min,41,Min Best Case,No Change,0,41,41
Open Map,96372106,0,10,10637305,False,0.0,0.02837228775024414,0.0033326148986816406,1,59,59,0,59,59,59,0,min,59,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637306,False,0.0,0.018838167190551758,0.0033364295959472656,1,58,58,0,58,58,58,0,min,58,Min Best Case,No Change,0,58,58
Open Map,96372106,0,10,10637307,False,0.0,0.01666259765625,0.00372314453125,1,57,57,0,57,57,57,0,min,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637308,False,0.0,0.011952638626098633,0.0027718544006347656,1,64,64,0,64,64,64,0,min,64,Min Best Case,No Change,0,64,64
Open Map,96372106,0,10,10637309,False,0.0,0.01853799819946289,0.002916097640991211,1,60,60,0,60,60,60,0,min,60,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637310,False,0.0,0.020766019821166992,0.0036783218383789062,1,63,63,0,63,63,63,0,min,63,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637311,False,0.0,0.006704092025756836,0.0037202835083007812,1,58,58,0,58,58,58,0,min,58,Min Best Case,No Change,0,58,58
Open Map,96372106,0,10,10637312,False,0.0,0.06692290306091309,0.0026459693908691406,1,46,46,0,46,46,46,0,min,46,Min Best Case,No Change,0,43,43
Open Map,96372106,0,10,10637313,False,0.0,0.059682369232177734,0.003111600875854492,1,64,64,0,64,64,64,0,min,64,Min Best Case,No Change,0,63,63
Open Map,96372106,0,10,10637314,False,0.0,153.10397815704346,0.003023386001586914,1,60,60,0,60,60,60,0,min,60,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637315,False,0.0,0.36551833152770996,0.0038950443267822266,1,70,70,0,70,70,70,0,min,70,Min Best Case,No Change,0,70,70
Open Map,96372106,0,10,10637316,False,0.0,0.01779341697692871,0.00293731689453125,1,59,59,0,59,59,59,0,min,59,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637317,False,0.0,0.009061336517333984,0.0029757022857666016,1,61,61,0,61,61,61,0,min,61,Min Best Case,No Change,0,61,61
Open Map,96372106,0,10,10637318,False,0.0,0.0027577877044677734,0.0024213790893554688,1,49,49,0,49,49,49,0,min,49,Min Best Case,No Change,0,49,49
Open Map,96372106,0,10,10637319,False,0.0,1.5877037048339844,0.0031015872955322266,1,59,59,0,59,59,59,0,min,59,Min Best Case,No Change,0,56,56
