Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,4,10637296,4,60,0.008666753768920898,0.03893136978149414,45,81,36,60,58,58,0,58,1.0,uniform,Min Worst Case,True,43,84
2,96372106,4,10637297,4,60,0.0010786056518554688,0.006931781768798828,34,51,17,42,42,42,0,42,1.0,uniform,Min Worst Case,True,33,53
3,96372106,4,10637298,4,60,0.027069091796875,0.09175491333007812,50,94,44,72,72,72,0,72,1.0,uniform,Min Worst Case,True,45,99
4,96372106,4,10637299,4,60,0.14528274536132812,0.2612490653991699,42,85,43,68,70,70,0,70,1.0,uniform,Min Worst Case,True,37,88
5,96372106,4,10637300,4,60,0.39054369926452637,0.8098018169403076,68,98,30,80,78,78,0,78,1.0,uniform,Min Worst Case,True,49,107
6,96372106,4,10637301,4,60,0.014970541000366211,0.05588340759277344,50,85,35,72,73,73,0,73,1.0,uniform,Min Worst Case,True,46,82
7,96372106,4,10637302,4,60,0.13037967681884766,0.264293909072876,57,106,49,86,83,83,0,83,1.0,uniform,Min Worst Case,True,49,116
8,96372106,4,10637303,4,60,0.0009951591491699219,0.011954545974731445,38,72,34,63,63,63,0,63,1.0,uniform,Min Worst Case,True,38,72
9,96372106,4,10637304,4,60,0.001806497573852539,0.010971546173095703,34,65,31,43,43,43,0,43,1.0,uniform,Min Worst Case,True,33,68
10,96372106,4,10637305,4,60,0.5356144905090332,1.110994815826416,47,80,33,65,65,65,0,65,1.0,uniform,Min Worst Case,True,41,86
11,96372106,4,10637306,4,60,0.0026934146881103516,0.013929367065429688,28,61,33,42,41,41,0,41,1.0,uniform,Min Worst Case,True,26,61
